Date,High,Low,Open,Close,Volume,Adj Close
2017-01-04,64.5,63.0,63.25,64.0,14341900.0,53.87773895263672
2017-01-05,64.75,63.75,64.25,64.25,12762900.0,54.08819580078125
2017-01-06,64.5,63.75,64.5,64.0,8106700.0,53.87773895263672
2017-01-09,64.0,63.0,64.0,63.25,10983300.0,53.24635314941406
2017-01-10,63.5,62.75,63.0,63.5,8163200.0,53.456809997558594
2017-01-11,63.5,63.0,63.0,63.25,10420400.0,53.24635314941406
2017-01-12,63.25,62.5,63.25,62.75,7840800.0,52.825435638427734
2017-01-16,66.0,63.5,63.5,65.25,38089600.0,54.93003463745117
2017-01-17,66.75,64.0,65.5,64.0,32161600.0,53.87773895263672
2017-01-18,66.0,64.0,64.25,65.25,13563200.0,54.93003463745117
2017-01-19,66.0,64.25,65.25,65.5,13297500.0,55.1404914855957
2017-01-20,66.25,65.0,65.5,66.0,10176200.0,55.56140899658203
2017-01-23,67.5,65.75,66.25,67.5,12896200.0,56.82417297363281
2017-01-24,68.75,67.0,67.5,68.25,17467400.0,57.45553970336914
2017-01-25,69.0,68.0,68.75,68.5,13834200.0,57.66600799560547
2017-01-26,69.5,67.25,69.0,68.25,13345400.0,57.45553970336914
2017-01-27,68.5,67.5,68.0,68.0,3693600.0,57.24509811401367
2017-01-30,68.75,67.75,68.25,68.5,9861100.0,57.66600799560547
2017-01-31,69.0,67.5,68.25,67.75,10462500.0,57.03463363647461
2017-02-01,67.25,65.75,67.0,66.5,21208200.0,55.982337951660156
2017-02-02,67.0,65.5,66.25,66.5,16250400.0,55.982337951660156
2017-02-03,68.5,66.0,66.5,68.25,11547500.0,57.45553970336914
2017-02-06,70.25,69.0,69.25,69.75,19071600.0,58.71831130981445
2017-02-07,70.0,68.75,69.75,69.0,14081900.0,58.08692932128906
2017-02-08,70.5,68.25,68.5,70.25,16180100.0,59.13923263549805
2017-02-09,70.5,68.25,70.25,68.25,13551200.0,57.45553970336914
2017-02-10,68.75,67.0,68.25,67.5,21683500.0,56.82417297363281
2017-02-14,68.25,67.25,67.75,67.5,16333200.0,56.82417297363281
2017-02-15,70.0,67.75,68.75,70.0,21113200.0,58.92877197265625
2017-02-16,70.0,68.75,69.75,69.25,10338300.0,58.297393798828125
2017-02-17,70.25,69.5,69.75,69.75,11859100.0,58.71831130981445
2017-02-20,70.25,69.5,70.0,69.75,6057400.0,58.71831130981445
2017-02-21,70.25,69.0,70.0,69.0,7905300.0,58.08692932128906
2017-02-22,71.5,69.25,69.25,71.5,20219100.0,60.1915283203125
2017-02-23,74.0,71.25,71.75,73.75,27123800.0,62.08567428588867
2017-02-24,73.75,72.25,73.5,73.25,12846600.0,61.66474914550781
2017-02-27,73.25,71.75,72.75,71.75,10653400.0,60.4019889831543
2017-02-28,72.5,71.25,71.75,71.25,9583900.0,59.9810676574707
2017-03-01,73.0,71.75,72.0,72.75,11076700.0,61.243831634521484
2017-03-02,73.5,72.25,72.25,72.75,16562300.0,62.797584533691406
2017-03-03,73.0,72.25,72.25,72.75,3616700.0,62.797584533691406
2017-03-06,72.75,71.5,72.75,72.25,5178900.0,62.36598587036133
2017-03-07,73.5,72.25,72.5,72.25,11391500.0,62.36598587036133
2017-03-08,73.5,71.5,72.25,73.0,11994900.0,63.01337814331055
2017-03-09,72.75,71.5,72.0,72.0,12423200.0,62.150184631347656
2017-03-10,72.75,71.75,72.0,72.5,6653200.0,62.58177947998047
2017-03-13,72.5,71.5,72.25,72.25,5076300.0,62.36598587036133
2017-03-14,74.0,72.5,72.75,74.0,14816600.0,63.87657165527344
2017-03-15,74.5,72.75,74.25,73.0,12683700.0,63.01337814331055
2017-03-16,73.5,71.75,73.5,72.25,18499200.0,62.36598587036133
2017-03-17,72.75,70.75,72.25,71.25,18160400.0,61.502784729003906
2017-03-20,71.5,70.5,70.75,70.75,10249700.0,61.071189880371094
2017-03-21,72.5,71.0,71.0,72.25,12833900.0,62.36598587036133
2017-03-22,72.5,71.25,71.75,71.75,11733500.0,61.93437957763672
2017-03-23,72.0,71.0,71.75,71.25,9236900.0,61.502784729003906
2017-03-24,72.0,71.5,72.0,71.75,8613500.0,61.93437957763672
2017-03-27,72.0,70.25,71.75,71.0,7339800.0,61.286991119384766
2017-03-28,71.75,70.5,71.0,71.0,8058100.0,61.286991119384766
2017-03-29,72.5,71.25,71.5,72.0,8612700.0,62.150184631347656
2017-03-30,73.5,72.25,72.5,73.5,18338800.0,63.444984436035156
2017-03-31,74.5,73.25,73.75,73.25,15108000.0,63.22917938232422
2017-04-03,74.0,73.0,73.25,73.25,5681100.0,63.22917938232422
2017-04-04,73.75,71.75,73.5,72.0,9978400.0,62.150184631347656
2017-04-05,73.25,71.75,72.25,73.25,8617600.0,63.22917938232422
2017-04-07,73.75,72.5,73.5,72.75,10325400.0,62.797584533691406
2017-04-10,73.0,72.25,72.75,72.25,5508100.0,62.36598587036133
2017-04-11,73.75,72.5,72.5,73.0,12227800.0,63.01337814331055
2017-04-12,73.75,73.0,73.25,73.5,7007600.0,63.444984436035156
2017-04-17,74.25,73.5,73.5,73.5,6702100.0,63.444984436035156
2017-04-18,74.25,73.0,73.75,73.0,6220500.0,63.01337814331055
2017-04-19,74.25,73.0,73.25,73.25,12439200.0,63.22917938232422
2017-04-20,73.75,73.0,73.25,73.25,4075500.0,63.22917938232422
2017-04-21,74.25,73.5,73.5,74.0,8511600.0,63.87657165527344
2017-04-24,74.5,73.5,74.0,74.25,15006800.0,64.09237670898438
2017-04-25,75.75,74.5,74.5,75.5,16685100.0,65.17137145996094
2017-04-26,75.75,75.0,75.25,75.0,7035300.0,64.73977661132812
2017-04-27,76.0,75.0,75.5,75.75,8339400.0,65.38716888427734
2017-04-28,76.0,74.75,76.0,75.0,9082400.0,64.73977661132812
2017-05-02,75.0,73.5,74.75,74.25,9559900.0,64.09237670898438
2017-05-03,74.75,74.0,74.5,74.75,6120200.0,64.52397155761719
2017-05-04,75.25,74.25,75.0,74.75,7697200.0,64.52397155761719
2017-05-08,74.75,72.5,74.75,72.75,24280300.0,62.797584533691406
2017-05-09,73.75,72.75,73.25,73.5,10175300.0,63.444984436035156
2017-05-11,73.75,71.5,73.75,72.0,14788800.0,62.150184631347656
2017-05-12,73.0,71.0,72.0,71.75,19040700.0,61.93437957763672
2017-05-15,72.75,72.75,72.75,72.75,662200.0,62.797584533691406
2017-05-16,73.75,72.5,72.75,73.75,10853300.0,63.66078567504883
2017-05-17,73.75,73.0,73.5,73.5,6448500.0,63.444984436035156
2017-05-18,73.25,72.25,73.0,72.5,6458200.0,62.58177947998047
2017-05-19,73.5,72.5,73.0,72.75,7396000.0,62.797584533691406
2017-05-22,73.25,72.25,73.0,72.75,5570100.0,62.797584533691406
2017-05-23,73.5,72.25,73.0,72.75,9140600.0,62.797584533691406
2017-05-24,74.0,73.0,73.25,73.75,11033500.0,63.66078567504883
2017-05-25,73.75,72.75,73.75,73.0,5184000.0,63.01337814331055
2017-05-26,73.0,72.25,72.5,73.0,5992900.0,63.01337814331055
2017-05-29,73.0,71.25,72.75,71.5,11200700.0,61.71858596801758
2017-05-30,72.25,71.5,71.75,71.5,4777900.0,61.71858596801758
2017-05-31,72.5,70.5,71.75,71.0,17440600.0,61.286991119384766
2017-06-01,71.75,70.5,71.0,70.75,17881200.0,61.071189880371094
2017-06-02,71.25,70.25,71.0,70.5,8238500.0,60.85539245605469
2017-06-05,71.25,69.75,70.75,70.0,6457200.0,60.423789978027344
2017-06-06,71.25,70.0,70.25,71.0,8811600.0,61.286991119384766
2017-06-07,71.75,71.0,71.25,71.5,6149700.0,61.71858596801758
2017-06-08,71.5,69.0,71.25,70.0,15422600.0,60.423789978027344
2017-06-09,69.75,67.75,69.5,67.75,24516600.0,58.481597900390625
2017-06-12,69.0,67.5,68.0,67.5,20546100.0,58.26580047607422
2017-06-13,69.75,68.0,68.0,69.5,25214500.0,59.9921989440918
2017-06-14,70.5,69.5,70.0,70.0,8633000.0,60.423789978027344
2017-06-15,70.5,69.5,70.0,69.75,6278100.0,60.20799255371094
2017-06-16,70.5,69.5,70.0,69.75,7624800.0,60.20799255371094
2017-06-19,70.5,69.5,70.0,69.75,4951100.0,60.20799255371094
2017-06-20,70.0,69.0,69.75,69.25,6389300.0,59.776397705078125
2017-06-21,68.75,68.0,68.5,68.25,14884100.0,58.91318893432617
2017-06-22,69.25,68.25,68.25,68.5,13090400.0,59.12899398803711
2017-06-23,69.5,68.75,68.75,69.25,5948700.0,59.776397705078125
2017-06-26,69.75,69.0,69.25,69.5,3491500.0,59.9921989440918
2017-06-27,70.0,69.0,70.0,69.5,3520600.0,59.9921989440918
2017-06-28,70.0,68.5,69.5,68.75,7337400.0,59.34479522705078
2017-06-29,69.5,68.5,69.0,68.5,7450500.0,59.12899398803711
2017-06-30,69.25,68.0,68.75,68.5,7620500.0,59.12899398803711
2017-07-03,69.0,68.5,68.75,68.75,3554900.0,59.34479522705078
2017-07-04,69.0,68.75,68.75,69.0,4191800.0,59.56059265136719
2017-07-05,70.0,69.0,69.0,69.75,8285700.0,60.20799255371094
2017-07-06,70.0,68.75,69.75,69.25,11445600.0,59.776397705078125
2017-07-07,70.0,69.25,69.75,70.0,10693400.0,60.423789978027344
2017-07-11,70.25,68.75,70.0,68.75,13067300.0,59.34479522705078
2017-07-12,69.75,68.75,69.25,69.0,11076900.0,59.56059265136719
2017-07-13,70.5,69.0,69.5,69.5,12191200.0,59.9921989440918
2017-07-14,70.0,68.75,69.5,69.25,9897500.0,59.776397705078125
2017-07-17,69.25,68.5,69.25,69.0,9878700.0,59.56059265136719
2017-07-18,69.5,68.5,69.0,69.5,16959400.0,59.9921989440918
2017-07-19,70.0,69.5,69.75,69.75,6562100.0,60.20799255371094
2017-07-20,70.5,69.5,70.25,70.0,16473100.0,60.423789978027344
2017-07-21,70.5,69.5,70.0,70.0,9543400.0,60.423789978027344
2017-07-24,70.25,69.5,70.25,70.0,8155100.0,60.423789978027344
2017-07-25,71.25,70.0,70.25,70.75,22085300.0,61.071189880371094
2017-07-26,71.75,71.0,71.0,71.25,11916100.0,61.502784729003906
2017-07-27,72.0,71.25,71.5,72.0,11274100.0,62.150184631347656
2017-07-31,72.75,71.75,72.0,71.75,16170100.0,61.93437957763672
2017-08-01,73.5,71.5,71.75,73.0,15060300.0,63.01337814331055
2017-08-02,73.5,72.25,73.25,72.5,9052200.0,62.58177947998047
2017-08-03,73.0,72.0,72.75,72.25,5044900.0,62.36598587036133
2017-08-04,73.0,72.25,73.0,72.75,6225700.0,62.797584533691406
2017-08-07,73.25,71.75,73.0,72.0,6025500.0,62.150184631347656
2017-08-08,72.5,71.5,72.25,72.0,7690600.0,62.150184631347656
2017-08-09,72.75,72.0,72.25,72.25,5678000.0,62.36598587036133
2017-08-10,72.5,71.5,72.25,72.0,9536000.0,62.150184631347656
2017-08-11,72.5,70.75,72.0,71.0,12125100.0,61.286991119384766
2017-08-15,71.75,71.0,71.5,71.0,6150200.0,61.286991119384766
2017-08-16,72.75,71.0,71.25,72.5,9883300.0,62.58177947998047
2017-08-17,74.5,72.5,73.0,73.75,25875400.0,63.66078567504883
2017-08-18,74.0,73.25,73.5,73.75,6829300.0,63.66078567504883
2017-08-21,74.25,73.5,74.25,74.0,4846000.0,63.87657165527344
2017-08-22,75.25,74.25,74.5,74.75,14934600.0,64.52397155761719
2017-08-23,75.25,73.5,74.75,74.25,11539000.0,64.09237670898438
2017-08-24,75.0,74.0,74.5,74.25,7022100.0,64.09237670898438
2017-08-25,74.5,73.75,74.25,74.0,5796200.0,63.87657165527344
2017-08-28,76.0,76.0,76.0,76.0,1718900.0,65.60296630859375
2017-08-29,78.75,75.5,76.0,78.25,31326000.0,67.545166015625
2017-08-30,78.0,76.5,77.75,76.5,19701300.0,66.03458404541016
2017-08-31,76.5,75.0,75.25,76.5,18577100.0,67.5805435180664
2017-09-01,76.75,75.75,76.5,76.0,4463400.0,67.13883209228516
2017-09-04,76.25,74.75,76.25,75.0,8775600.0,66.25543212890625
2017-09-05,76.25,75.25,75.25,76.25,6894700.0,67.35968780517578
2017-09-06,76.25,75.5,76.0,76.0,5390600.0,67.13883209228516
2017-09-07,77.0,75.75,76.0,77.0,12290900.0,68.02223205566406
2017-09-08,78.0,77.25,77.5,77.25,15003800.0,68.24308776855469
2017-09-11,77.5,76.0,77.25,76.5,10707200.0,67.5805435180664
2017-09-12,77.5,76.75,76.75,77.5,9539200.0,68.46393585205078
2017-09-13,77.5,76.5,77.5,77.25,12801400.0,68.24308776855469
2017-09-14,78.0,77.0,77.5,78.0,18142200.0,68.9056396484375
2017-09-15,78.5,77.5,78.0,78.0,9360400.0,68.9056396484375
2017-09-18,78.5,77.5,78.0,78.0,13221700.0,68.9056396484375
2017-09-19,79.25,77.75,78.0,79.25,14788700.0,70.00990295410156
2017-09-20,80.0,79.5,80.0,79.5,11915400.0,70.23075103759766
2017-09-21,79.5,78.75,79.5,78.75,6866200.0,69.56819152832031
2017-09-22,78.75,77.75,78.75,78.0,7599600.0,68.9056396484375
2017-09-25,79.0,78.0,78.0,78.75,6780700.0,69.56819152832031
2017-09-26,79.75,78.5,79.0,78.5,9774900.0,69.34734344482422
2017-09-27,78.75,77.0,78.75,78.0,11349000.0,68.9056396484375
2017-09-28,78.25,76.5,78.0,77.25,17010700.0,68.24308776855469
