,symbol,market-cap,VA100
337,PTT,1313897.0,3131422.09
26,AOT,917855.9,1467982.0339999988
104,CPALL,617588.0,2357170.754000001
373,SCC,523200.4,900054.6950000012
5,ADVANC,512858.8,999060.3859999978
372,SCB,453295.8,852132.2320000008
338,PTTEP,450593.1,1868653.9349999984
215,KBANK,442753.3,1269509.968999999
56,BDMS,388590.1,724780.7959999986
51,BBL,387494.8,770077.7549999991
109,CPN,335477.9,446150.98599999904
339,PTTGC,321255.4,1322027.7279999987
204,IVL,304589.3,1112608.828000001
50,BAY,281357.8,14457.838000000005
224,KTB,268340.3,588921.0279999983
105,CPF,211836.3,496973.76
65,BJC,203136.6,329733.90099999914
183,HMPRO,199898.1,275475.15200000023
177,GULF,173864.0,627546.9290000002
495,TRUE,173514.6,562690.3670000021
132,EA,158524.9,924006.5430000008
269,MINT,157043.0,435551.9949999989
252,MAKRO,153600.0,23343.11800000005
199,INTUCH,153106.1,317741.5729999992
59,BEM,148264.4,392615.9960000008
126,DIF,138786.3,152129.79400000005
63,BH,136640.8,260979.07999999984
480,TOP,135151.8,660374.55
138,EGCO,130563.3,216532.34299999988
233,LH,118302.1,386378.3519999998
201,IRPC,117497.6,528070.0470000018
79,BTS,113122.0,201714.7880000008
280,MTC,103879.9,570966.8579999985
129,DTAC,102407.8,300834.8980000014
472,TMB,96474.06,413394.34500000026
173,GPSC,87650.5,200603.33000000005
124,DELTA,86692.94,61920.691999999915
225,KTC,78639.13,454647.3359999993
169,GLOBAL,78028.63,147367.23700000026
505,TU,77303.19,184533.1369999996
48,BANPU,76396.38,695842.5159999984
299,OSP,73591.75,
347,RATCH,73587.5,60306.34199999981
62,BGRIM,69082.81,190810.39100000059
249,M,68835.56,25164.5489999999
80,BTSGIF,68298.38,51318.08100000008
73,BPP,68037.75,51419.001999999804
478,TOA,66956.94,70127.55599999941
521,VGI,66742.06,109542.43600000002
466,TISCO,62650.49,258487.20699999944
530,WHA,61350.63,389277.0730000003
374,SCCC,61090.0,24837.776999999867
442,TCAP,57964.54,149401.22400000037
111,CPNREIT,56418.14,28032.257999999998
221,KKP,56097.21,219120.66599999962
207,JASIF,54999.98,80315.12700000005
86,CENTEL,54000.02,148193.447
452,TFMAMA,52752.63,692.5500000000017
369,SAWAD,51649.78,476735.3119999996
504,TTW,49475.99,37713.73300000012
486,TPIPP,47459.98,80795.63099999994
449,TFFIF,46156.96,
471,TLGF,46108.91,16197.657999999983
7,AEONTS,45499.96,93886.64399999993
70,BLA,44823.59,43766.03200000009
432,SVH,44000.01,616.7439999999992
53,BCP,43717.26,98223.66699999961
95,CK,42347.42,171734.55100000036
411,SPI,42292.11,3079.595000000003
52,BCH,41645.56,218559.20800000025
412,SPRC,41624.64,204202.34700000015
485,TPIPL,40222.91,39823.45600000032
406,SPALI,39004.02,106938.53599999976
332,PSH,37861.14,27013.313999999977
96,CKP,36555.19,223510.8529999996
206,JAS,35612.96,115982.70500000007
145,ESSO,35300.76,148584.51199999935
68,BKI,35028.65,1912.6010000000056
257,MBK,34915.42,62332.92900000004
346,RAM,31920.0,439.5170000000005
426,STEC,31112.52,343502.6969999997
218,KCE,30785.86,233758.82399999985
82,CBG,30750.0,137004.9360000005
54,BCPG,30351.77,234037.3579999997
156,FTREIT,29927.45,10341.892000000002
234,LHFG,29021.61,5421.095999999863
194,IMPACT,28167.5,7384.556999999985
71,BLAND,28080.85,51137.83100000047
342,QH,28071.67,170676.80100000006
459,THG,28019.64,17348.22599999997
303,PB,27337.5,835.7210000000003
93,CIMBT,26813.13,1752.2470000000146
181,HANA,26560.99,117250.60799999992
455,THAI,26411.53,82079.54900000077
522,VIBHA,26398.73,7247.22399999995
532,WHART,25182.69,10757.970999999996
153,FPT,25127.75,775.9629999999944
263,MEGA,24875.89,53641.47100000013
46,BA,24360.0,25717.794999999933
525,VNT,23703.86,38397.97999999994
137,EGATIF,23357.6,26994.695
226,KTIS,22966.99,301.22000000006284
22,AMATAR,22859.41,90368.70300000008
21,AMATA,22859.41,488659.2850000004
439,TASCO,22820.43,95829.07600000028
456,THANI,22501.1,77730.13600000017
409,SPF,21850.0,4486.1770000000015
423,STA,21657.61,218186.57500000016
312,PLANB,21530.59,48296.98699999997
507,TVO,21428.19,29133.34199999993
360,S,21246.52,55471.81500000038
533,WHAUP,21228.72,33882.308999999885
90,CHG,21120.0,138435.7680000001
