,symbol,VA100
0,7UP,4087.8110000000042
1,A,278.64999999999986
2,AAV,64606.73799999942
3,ABPIF,2412.2539999999954
4,ACC,319.37100000001186
5,ADVANC,999060.3859999978
6,AEC,180.6860000000177
7,AEONTS,93886.64399999993
8,AFC,74.17599999999914
9,AH,24943.67300000002
10,AHC,347.35000000000605
11,AIMIRT,2140.1670000000017
12,AIT,4524.9380000000165
13,AJ,1104.171000000035
14,AJA,2942.498999999803
15,AKR,3812.804999999916
16,ALLA,3764.163000000011
17,ALT,928.6290000001283
18,ALUCON,324.5829999999989
19,AMANAH,18100.68999999998
20,AMARIN,325.01399999999774
21,AMATA,488659.2850000004
22,AMATAR,90368.70300000007
23,AMATAV,3255.6879999999887
24,AMC,293.37200000000865
25,ANAN,54614.32100000024
26,AOT,1467982.0339999988
27,AP,86989.55599999988
28,APCO,680.0859999999842
29,APCS,997.0110000000019
30,APEX,239.53900000001002
31,APURE,1459.91500000004
32,AQ,1154.6489999999014
33,AQUA,6612.88500000002
34,AS,60.307000000025226
35,ASAP,21859.360000000055
36,ASEFA,1168.4269999997978
37,ASIA,249.81399999999846
38,ASIAN,68663.86000000022
39,ASIMAR,799.447000000041
40,ASK,4132.843999999984
41,ASP,11769.263
42,AYUD,3384.410000000011
43,BWORK,2650.2040000000025
44,B,807.0500000001366
45,B52,290.78900000010975
46,BA,25717.79499999993
47,BAFS,5099.239000000009
48,BANPU,695842.5159999984
49,BAT3K,138.7830000000291
50,BAY,14457.838000000003
51,BBL,770077.7549999991
52,BCH,218559.20800000022
53,BCP,98223.66699999961
54,BCPG,234037.35799999966
55,BCT,1284.0950000000053
56,BDMS,724780.7959999986
57,BEAUTY,1221160.081999999
58,BEC,57232.20399999989
59,BEM,392615.99600000074
60,BFIT,4989.386999999979
61,BGC,
62,BGRIM,190810.3910000006
63,BH,260979.07999999984
64,BIG,17256.349999999817
65,BJC,329733.90099999914
66,BJCHI,1759.2709999999252
67,BKD,1784.6640000000161
68,BKI,1912.6010000000058
69,BKKCP,248.21800000000002
70,BLA,43766.03200000009
71,BLAND,51137.831000000464
72,BOFFICE,3704.17200000001
73,BPP,51419.001999999804
74,BR,6922.126000000019
75,BROCK,70.27800000002286
76,BRR,1512.5689999999706
77,BRRGIF,2170.298000000002
78,BSBM,306.2069999999948
79,BTS,201714.7880000008
80,BTSGIF,51318.08100000008
81,BWG,37554.733000000364
82,CBG,137004.9360000005
83,CCET,2898.520000000048
84,CCP,1071.5989999999913
85,CEN,1237.924000000028
86,CENTEL,148193.447
87,CFRESH,358.09699999999503
88,CGD,3576.878000000415
89,CGH,1112.204999999999
90,CHG,138435.7680000001
91,CHOTI,129.06500000000125
92,CI,425.9290000000763
93,CIMBT,1752.2470000000146
94,CITY,160.96499999999975
95,CK,171734.55100000036
96,CKP,223510.85299999962
97,CM,946.622999999989
98,CMAN,6087.9070000000365
99,CMR,399.29600000001665
100,CNT,5594.927999999997
101,COL,15193.223999999957
102,COM7,133879.41400000037
103,COTTO,10746.982000000007
104,CPALL,2357170.7540000007
105,CPF,496973.76
106,CPH,207.89600000000146
107,CPI,822.4869999999949
108,CPL,21.20700000000048
109,CPN,446150.9859999991
110,CPNCG,2918.9670000000006
111,CPNREIT,28032.258
112,CPT,20929.31100000001
113,CPTGF,1690.6669999999901
114,CRANE,327.2229999999245
115,CSC,128.12799999999942
116,CSP,49.9909999999906
117,CSS,4309.754999999816
118,CTARAF,345.2200000000016
119,CTW,1280.138000000005
120,CWT,2001.9590000001276
121,DCC,23555.083999999988
122,DCON,1056.6899999999753
123,DDD,57730.523999999816
124,DELTA,61920.69199999991
125,DEMCO,4188.756000000199
126,DIF,152129.79400000005
127,DREIT,327.7329999999999
128,DRT,1665.8420000000206
129,DTAC,300834.8980000014
130,DTC,6390.770000000002
131,DTCI,67.72500000000024
132,EA,924006.5430000008
133,EASON,4206.629
134,EASTW,6393.319000000006
135,ECL,10411.682000000057
136,EE,4703.781999999914
137,EGATIF,26994.695
138,EGCO,216532.3429999999
139,EKH,6891.573999999955
140,EMC,3038.108000000043
141,EP,10846.632999999923
142,EPG,57961.52799999977
143,ERW,56147.692
144,ERWPF,146.5369999999979
145,ESSO,148584.51199999935
146,ESTAR,2841.9090000000865
147,EVER,9763.918999999876
148,F&D,79.59799999999846
149,FANCY,2672.495999999958
150,FN,1377.0400000000188
151,FNS,851.2059999999999
152,FORTH,368.6240000000231
153,FPT,775.9629999999944
154,FSS,243.31199999999862
155,FTE,2258.076999999972
156,FTREIT,10341.892000000002
157,FUTUREPF,4471.706000000011
158,GAHREIT,348.0109999999999
159,GBX,101.17699999998383
160,GC,516.7379999999933
161,GEN,2305.731000000097
162,GENCO,1503.2800000000686
163,GFPT,51308.25200000003
164,GGC,24787.068000000265
165,GIFT,816.8739999999815
166,GJS,1414.3200000000534
167,GL,28661.713000000527
168,GLAND,55958.02499999993
169,GLOBAL,147367.23700000026
170,GLOCON,21074.479999999996
171,GOLD,25982.639000000017
172,GPI,765.8439999999927
173,GPSC,200603.33000000005
174,GRAMMY,139.97300000000018
175,GRAND,3518.9300000002013
176,GREEN,1284.4639999999258
177,GULF,627546.9290000002
178,GUNKUL,60109.509000000005
179,GVREIT,5794.927000000022
180,GYT,252.1730000000004
181,HANA,117250.60799999993
182,HFT,912.8120000000652
183,HMPRO,275475.15200000023
184,HPF,237.46800000000152
185,HREIT,3700.7180000000094
186,HTC,1988.7209999999884
187,HTECH,8017.094999999935
188,HUMAN,18853.830999999893
189,ICHI,5343.511999999837
190,IFS,736.8099999999708
191,IHL,4537.936999999963
192,III,14135.831999999993
193,ILINK,2522.753999999854
194,IMPACT,7384.556999999985
195,INET,1502.8139999999757
196,INGRS,1379.1119999999717
197,INOX,793.0839999999796
198,INSURE,33.37399999999999
199,INTUCH,317741.5729999992
200,IRC,220.6859999999997
201,IRPC,528070.0470000017
202,IT,1281.4260000000058
203,ITD,46031.82499999925
204,IVL,1112608.828000001
205,J,130.25500000011226
206,JAS,115982.70500000007
207,JASIF,80315.12700000005
208,JCK,3340.9739999999647
209,JCT,72.57400000000035
210,JMART,25592.544000000264
211,JMT,35983.62900000005
212,JTS,627.6720000000144
213,JWD,19209.394000000084
214,KAMART,6208.291999999969
215,KBANK,1269509.968999999
216,KBS,1013.8540000000136
217,KCAR,1141.4709999999925
218,KCE,233758.82399999985
219,KGI,10043.746000000016
220,KKC,248.8130000000105
221,KKP,219120.66599999956
222,KPNPF,188.80900000000008
223,KSL,7468.9470000000365
224,KTB,588921.0279999983
225,KTC,454647.33599999925
226,KTIS,301.2200000000629
227,KWG,927.6650000000294
228,KYE,6426.15900000001
229,L&E,499.59899999999834
230,LALIN,1531.6140000000041
231,LANNA,2144.084999999981
232,LEE,1113.7680000000285
233,LH,386378.3519999998
234,LHFG,5421.095999999863
235,LHHOTEL,1442.3810000000026
236,LHK,1412.7720000000043
237,LHPF,931.7610000000006
238,LHSC,2226.8460000000046
239,LOXLEY,3359.6070000001455
240,LPH,4388.873999999993
241,LPN,91054.3779999996
242,LRH,464.76599999999956
243,LST,883.2340000000135
244,LUXF,413.0319999999989
245,MCHAI,186.63399999999913
246,MII,79.82700000000041
247,MPAT,124.9699999999998
248,MSTOR,47.95299999999992
249,M,25164.5489999999
250,MACO,23721.527000000002
251,MAJOR,30487.759999999904
252,MAKRO,23343.118000000046
253,MALEE,19143.42999999984
254,MANRIN,63.699999999999775
255,MATCH,1319.0610000000042
256,MAX,1719.5619999999014
257,MBK,62332.92900000004
258,MBKET,2885.8419999999956
259,MC,7390.862000000114
260,MCOT,750.64999999998
261,MCS,11026.40700000013
262,MDX,1139.0019999999247
263,MEGA,53641.47100000013
264,METCO,193.947
265,MFC,865.0520000000027
266,MFEC,804.1540000000244
267,MIDA,224.02000000009338
268,MILL,7191.121999999953
269,MINT,435551.9949999989
270,MIT,258.855
271,MJD,904.2760000000047
272,MJLF,741.9229999999985
273,MK,7465.822999999996
274,ML,408.33500000009604
275,MNIT,37.13500000000003
276,MNRF,76.61600000000006
277,MODERN,1227.3789999999933
278,MONO,15387.235000000235
279,MSC,1170.5800000000002
280,MTC,570966.8579999984
281,MTI,676.8160000000008
282,NCH,200.48400000011054
283,NEP,285.23000000001645
284,NER,
285,NEX,5068.361999999988
286,NFC,531.5360000000034
287,NNCL,2213.3370000000245
288,NOBLE,3980.642999999988
289,NOK,2511.190000000008
290,NSI,228.1389999999987
291,NTV,1588.8759999999977
292,NUSA,15717.92899999983
293,NVD,1439.4850000000026
294,NWR,8669.141999999982
295,NYT,5334.98700000001
296,OGC,171.73399999999805
297,OISHI,323.1910000000182
298,ORI,119552.17899999996
299,OSP,
300,PAF,1779.2800000002205
301,PAP,305.68000000000563
302,PATO,599.1149999999953
303,PB,835.7210000000003
304,PCSGH,6013.57399999997
305,PDI,7477.635999999862
306,PDJ,574.6869999999996
307,PERM,328.57800000004727
308,PF,60447.20100000009
309,PG,63.4870000000041
310,PK,3046.5750000000025
311,PL,466.51599999999416
