Date,High,Low,Open,Close,Volume,Adj Close
2014-01-02,31.75,30.25,31.75,30.75,4390000.0,18.752567291259766
2014-01-03,31.0,30.0,30.25,31.0,1279200.0,18.9050235748291
2014-01-06,31.75,30.0,30.5,31.75,1705300.0,19.362398147583008
2014-01-07,32.25,31.5,31.75,32.25,1007800.0,19.667320251464844
2014-01-08,33.0,31.5,32.0,32.0,2980700.0,19.51486587524414
2014-01-09,32.75,32.0,32.5,32.5,1123800.0,19.81978416442871
2014-01-10,32.5,31.75,32.25,32.0,981700.0,19.51486587524414
2014-01-13,32.25,31.75,32.0,32.25,1267700.0,19.667320251464844
2014-01-14,32.75,32.0,32.25,32.5,919100.0,19.81978416442871
2014-01-15,32.75,32.0,32.5,32.5,1053100.0,19.81978416442871
2014-01-16,33.0,32.25,32.25,32.75,1018100.0,19.972244262695312
2014-01-17,32.75,32.25,32.75,32.5,1199100.0,19.81978416442871
2014-01-20,32.75,32.0,32.25,32.75,1280800.0,19.972244262695312
2014-01-21,32.75,32.0,32.75,32.0,2402400.0,19.51486587524414
2014-01-22,32.25,31.5,31.75,31.75,1816000.0,19.362398147583008
2014-01-23,31.75,31.0,31.5,31.25,6279900.0,19.057483673095703
2014-01-24,32.0,31.25,31.5,31.75,2544100.0,19.362398147583008
2014-01-27,31.5,31.0,31.25,31.0,1570200.0,18.9050235748291
2014-01-28,31.25,30.5,31.0,30.5,1511100.0,18.6001033782959
2014-01-29,31.0,30.5,30.75,30.75,1722900.0,18.752567291259766
2014-01-30,31.0,30.5,30.5,30.5,1104100.0,18.6001033782959
2014-01-31,31.0,30.5,30.75,31.0,3879800.0,18.9050235748291
2014-02-03,31.5,31.0,31.25,31.25,3816000.0,19.057483673095703
2014-02-04,31.25,30.75,31.0,30.75,2444400.0,18.752567291259766
2014-02-05,31.5,30.75,31.25,31.0,2559900.0,18.9050235748291
2014-02-06,31.5,31.0,31.5,31.5,1126800.0,19.209941864013672
2014-02-07,31.75,31.25,31.75,31.25,2059600.0,19.057483673095703
2014-02-10,31.5,30.5,31.5,30.75,2938600.0,18.752567291259766
2014-02-11,31.25,30.75,31.0,31.25,942600.0,19.057483673095703
2014-02-12,31.5,31.0,31.25,31.5,1294900.0,19.209941864013672
2014-02-13,31.75,31.25,31.5,31.5,1414000.0,19.209941864013672
2014-02-17,32.0,31.5,31.75,32.0,668000.0,19.51486587524414
2014-02-18,32.0,31.5,31.75,31.75,1759300.0,19.362398147583008
2014-02-19,32.0,31.5,31.75,31.75,1380500.0,19.362398147583008
