Date,Price,Open,High,Low,Vol.,Change %,Close,Volume,Date,Ticker,Type
2015-01-05,"1,483.25",1499.7,1502.1,1482.87,7.13B,-0.96,1483.25,7130000000.0,2015-01-05,SET,StockIndex
2015-01-06,"1,477.58",1467.97,1478.35,1459.22,31.34B,-0.38,1477.58,31340000000.0,2015-01-06,SET,StockIndex
2015-01-07,"1,500.75",1478.84,1500.83,1478.26,12.40B,1.57,1500.75,12400000000.0,2015-01-07,SET,StockIndex
2015-01-08,"1,521.62",1514.9,1523.32,1514.18,18.00B,1.39,1521.62,18000000000.0,2015-01-08,SET,StockIndex
2015-01-09,"1,529.42",1529.5,1531.21,1522.75,32.28B,0.51,1529.42,32280000000.0,2015-01-09,SET,StockIndex
2015-01-12,"1,531.21",1527.42,1538.93,1522.17,11.35B,0.12,1531.21,11350000000.0,2015-01-12,SET,StockIndex
2015-01-13,"1,534.97",1520.71,1537.08,1515.08,12.73B,0.25,1534.97,12730000000.0,2015-01-13,SET,StockIndex
2015-01-14,"1,523.24",1539.58,1548.24,1521.81,18.59B,-0.76,1523.24,18590000000.0,2015-01-14,SET,StockIndex
2015-01-15,"1,523.38",1528.83,1535.56,1521.01,9.33B,0.01,1523.38,9330000000.0,2015-01-15,SET,StockIndex
2015-01-16,"1,517.74",1515.71,1525.65,1514.83,9.61B,-0.37,1517.74,9610000000.0,2015-01-16,SET,StockIndex
2015-01-19,"1,535.37",1528.03,1536.14,1524.62,9.19B,1.16,1535.37,9190000000.0,2015-01-19,SET,StockIndex
2015-01-20,"1,535.09",1539.46,1542.6,1531.55,12.45B,-0.02,1535.09,12450000000.0,2015-01-20,SET,StockIndex
2015-01-21,"1,537.36",1538.31,1540.08,1530.83,12.52B,0.15,1537.36,12520000000.0,2015-01-21,SET,StockIndex
2015-01-22,"1,560.34",1546.76,1561.3,1543.67,14.02B,1.49,1560.34,14020000000.0,2015-01-22,SET,StockIndex
2015-01-23,"1,598.33",1570.81,1601.05,1569.52,14.42B,2.43,1598.33,14420000000.0,2015-01-23,SET,StockIndex
2015-01-26,"1,588.31",1602.13,1610.78,1588.04,12.42B,-0.63,1588.31,12420000000.0,2015-01-26,SET,StockIndex
2015-01-27,"1,589.81",1589.44,1605.67,1586.94,13.41B,0.09,1589.81,13410000000.0,2015-01-27,SET,StockIndex
2015-01-28,"1,592.81",1594.5,1603.12,1582.66,15.50B,0.19,1592.81,15500000000.0,2015-01-28,SET,StockIndex
2015-01-29,"1,586.40",1591.94,1599.49,1582.36,20.48B,-0.4,1586.4,20480000000.0,2015-01-29,SET,StockIndex
2015-01-30,"1,581.25",1591.54,1592.83,1581.01,12.63B,-0.32,1581.25,12630000000.0,2015-01-30,SET,StockIndex
2015-02-02,"1,582.70",1577.65,1583.99,1571.69,20.48B,0.09,1582.7,20480000000.0,2015-02-02,SET,StockIndex
2015-02-03,"1,602.54",1592.08,1604.84,1591.85,17.02B,1.25,1602.54,17020000000.0,2015-02-03,SET,StockIndex
2015-02-04,"1,599.81",1616.41,1619.77,1599.81,13.78B,-0.17,1599.81,13780000000.0,2015-02-04,SET,StockIndex
2015-02-05,"1,607.92",1595.06,1607.92,1588.06,10.84B,0.51,1607.92,10840000000.0,2015-02-05,SET,StockIndex
2015-02-06,"1,613.63",1614.47,1615.78,1609.07,10.77B,0.36,1613.63,10770000000.0,2015-02-06,SET,StockIndex
2015-02-09,"1,601.77",1609.78,1614.97,1601.77,14.94B,-0.73,1601.77,14940000000.0,2015-02-09,SET,StockIndex
2015-02-10,"1,594.96",1600.57,1606.69,1592.59,13.26B,-0.43,1594.96,13260000000.0,2015-02-10,SET,StockIndex
2015-02-11,"1,605.11",1599.42,1605.69,1583.93,11.62B,0.64,1605.11,11620000000.0,2015-02-11,SET,StockIndex
2015-02-12,"1,613.40",1606.06,1613.44,1598.64,10.71B,0.52,1613.4,10710000000.0,2015-02-12,SET,StockIndex
2015-02-13,"1,615.89",1616.79,1619.65,1611.58,11.98B,0.15,1615.89,11980000000.0,2015-02-13,SET,StockIndex
2015-02-16,"1,608.04",1616.89,1619.17,1607.83,10.87B,-0.49,1608.04,10870000000.0,2015-02-16,SET,StockIndex
2015-02-17,"1,587.75",1607.32,1610.21,1587.75,14.62B,-1.26,1587.75,14620000000.0,2015-02-17,SET,StockIndex
2015-02-18,"1,603.14",1590.71,1603.7,1590.21,18.19B,0.97,1603.14,18190000000.0,2015-02-18,SET,StockIndex
2015-02-19,"1,599.96",1603.22,1608.0,1598.18,12.52B,-0.2,1599.96,12520000000.0,2015-02-19,SET,StockIndex
2015-02-20,"1,603.45",1604.56,1609.15,1600.63,11.44B,0.22,1603.45,11440000000.0,2015-02-20,SET,StockIndex
2015-02-23,"1,593.89",1608.53,1610.24,1593.48,15.78B,-0.6,1593.89,15780000000.0,2015-02-23,SET,StockIndex
2015-02-24,"1,598.66",1597.0,1604.96,1595.48,12.82B,0.3,1598.66,12820000000.0,2015-02-24,SET,StockIndex
2015-02-25,"1,589.33",1602.16,1603.1,1584.12,13.57B,-0.58,1589.33,13570000000.0,2015-02-25,SET,StockIndex
2015-02-26,"1,593.55",1590.29,1593.56,1566.96,15.84B,0.27,1593.55,15840000000.0,2015-02-26,SET,StockIndex
2015-02-27,"1,587.01",1590.93,1594.44,1586.1,15.49B,-0.41,1587.01,15490000000.0,2015-02-27,SET,StockIndex
2015-03-02,"1,582.14",1588.14,1590.02,1573.64,16.55B,-0.31,1582.14,16550000000.0,2015-03-02,SET,StockIndex
2015-03-03,"1,562.84",1580.36,1582.67,1562.84,19.97B,-1.22,1562.84,19970000000.0,2015-03-03,SET,StockIndex
2015-03-05,"1,553.33",1559.4,1561.88,1545.1,15.07B,-0.61,1553.33,15070000000.0,2015-03-05,SET,StockIndex
2015-03-06,"1,568.29",1553.05,1568.7,1552.06,9.32B,0.96,1568.29,9320000000.0,2015-03-06,SET,StockIndex
2015-03-09,"1,559.71",1558.54,1565.19,1553.17,9.54B,-0.55,1559.71,9540000000.0,2015-03-09,SET,StockIndex
2015-03-10,"1,531.04",1560.94,1562.82,1531.0,10.42B,-1.84,1531.04,10420000000.0,2015-03-10,SET,StockIndex
2015-03-11,"1,543.84",1524.38,1544.19,1520.2,11.39B,0.84,1543.84,11390000000.0,2015-03-11,SET,StockIndex
2015-03-12,"1,544.34",1543.06,1549.02,1534.11,8.93B,0.03,1544.34,8930000000.0,2015-03-12,SET,StockIndex
2015-03-13,"1,541.55",1547.68,1551.86,1539.56,8.88B,-0.18,1541.55,8880000000.0,2015-03-13,SET,StockIndex
2015-03-16,"1,515.57",1534.47,1535.9,1512.17,11.99B,-1.69,1515.57,11990000000.0,2015-03-16,SET,StockIndex
2015-03-17,"1,512.84",1525.5,1527.95,1511.4,9.92B,-0.18,1512.84,9920000000.0,2015-03-17,SET,StockIndex
2015-03-18,"1,531.50",1513.99,1533.14,1512.25,8.28B,1.23,1531.5,8279999999.999999,2015-03-18,SET,StockIndex
2015-03-19,"1,532.13",1543.63,1544.69,1529.66,8.93B,0.04,1532.13,8930000000.0,2015-03-19,SET,StockIndex
2015-03-20,"1,529.96",1533.91,1535.36,1517.3,10.20B,-0.14,1529.96,10200000000.0,2015-03-20,SET,StockIndex
2015-03-23,"1,520.01",1535.86,1539.57,1518.79,16.69B,-0.65,1520.01,16690000000.000002,2015-03-23,SET,StockIndex
2015-03-24,"1,514.45",1518.47,1519.09,1499.88,14.81B,-0.37,1514.45,14810000000.0,2015-03-24,SET,StockIndex
2015-03-25,"1,512.80",1514.04,1520.88,1512.77,8.42B,-0.11,1512.8,8420000000.0,2015-03-25,SET,StockIndex
2015-03-26,"1,496.41",1506.08,1512.76,1496.38,9.84B,-1.08,1496.41,9840000000.0,2015-03-26,SET,StockIndex
2015-03-27,"1,495.22",1494.22,1496.02,1484.91,7.94B,-0.08,1495.22,7940000000.0,2015-03-27,SET,StockIndex
2015-03-30,"1,496.51",1501.08,1504.54,1495.37,7.02B,0.09,1496.51,7020000000.0,2015-03-30,SET,StockIndex
2015-03-31,"1,505.94",1502.25,1509.33,1498.89,52.94B,0.63,1505.94,52940000000.0,2015-03-31,SET,StockIndex
2015-04-01,"1,525.58",1506.35,1525.63,1502.74,33.80B,1.3,1525.58,33799999999.999996,2015-04-01,SET,StockIndex
2015-04-02,"1,532.23",1530.84,1539.65,1525.3,11.29B,0.44,1532.23,11290000000.0,2015-04-02,SET,StockIndex
2015-04-03,"1,536.05",1536.04,1537.97,1530.63,7.49B,0.25,1536.05,7490000000.0,2015-04-03,SET,StockIndex
2015-04-07,"1,549.53",1545.21,1555.1,1543.58,7.46B,0.88,1549.53,7460000000.0,2015-04-07,SET,StockIndex
2015-04-08,"1,544.86",1553.11,1556.13,1544.14,10.23B,-0.3,1544.86,10230000000.0,2015-04-08,SET,StockIndex
2015-04-09,"1,545.11",1545.86,1550.83,1542.25,5.39B,0.02,1545.11,5390000000.0,2015-04-09,SET,StockIndex
2015-04-10,"1,547.83",1547.92,1549.66,1540.25,5.53B,0.18,1547.83,5530000000.0,2015-04-10,SET,StockIndex
2015-04-16,"1,570.00",1560.86,1570.0,1555.96,6.43B,1.43,1570.0,6430000000.0,2015-04-16,SET,StockIndex
2015-04-17,"1,566.85",1572.88,1575.39,1566.65,8.83B,-0.2,1566.85,8830000000.0,2015-04-17,SET,StockIndex
2015-04-20,"1,560.32",1565.67,1567.04,1556.25,7.92B,-0.42,1560.32,7920000000.0,2015-04-20,SET,StockIndex
2015-04-21,"1,569.35",1566.35,1572.04,1565.3,7.54B,0.58,1569.35,7540000000.0,2015-04-21,SET,StockIndex
2015-04-22,"1,552.01",1571.15,1571.5,1552.0,7.64B,-1.1,1552.01,7640000000.0,2015-04-22,SET,StockIndex
2015-04-23,"1,544.84",1556.61,1562.32,1543.47,8.68B,-0.46,1544.84,8680000000.0,2015-04-23,SET,StockIndex
2015-04-24,"1,555.46",1549.68,1556.1,1545.83,8.50B,0.69,1555.46,8500000000.0,2015-04-24,SET,StockIndex
2015-04-27,"1,548.83",1559.2,1562.64,1546.66,8.52B,-0.43,1548.83,8520000000.0,2015-04-27,SET,StockIndex
2015-04-28,"1,531.53",1549.2,1549.53,1525.92,8.71B,-1.12,1531.53,8710000000.0,2015-04-28,SET,StockIndex
2015-04-29,"1,522.47",1521.55,1529.29,1513.42,8.42B,-0.59,1522.47,8420000000.0,2015-04-29,SET,StockIndex
2015-04-30,"1,526.74",1520.55,1531.5,1520.01,6.37B,0.28,1526.74,6370000000.0,2015-04-30,SET,StockIndex
2015-05-06,"1,519.88",1529.56,1531.75,1514.79,7.95B,-0.45,1519.88,7950000000.0,2015-05-06,SET,StockIndex
2015-05-07,"1,498.31",1514.84,1521.86,1498.31,14.24B,-1.42,1498.31,14240000000.0,2015-05-07,SET,StockIndex
2015-05-08,"1,510.51",1502.29,1514.64,1494.92,7.16B,0.81,1510.51,7160000000.0,2015-05-08,SET,StockIndex
2015-05-11,"1,501.30",1517.05,1520.49,1501.3,6.64B,-0.61,1501.3,6640000000.0,2015-05-11,SET,StockIndex
2015-05-12,"1,485.72",1499.28,1501.12,1478.9,7.86B,-1.04,1485.72,7860000000.0,2015-05-12,SET,StockIndex
2015-05-13,"1,495.95",1490.93,1497.02,1487.46,6.35B,0.69,1495.95,6350000000.0,2015-05-13,SET,StockIndex
2015-05-14,"1,497.40",1496.2,1500.38,1484.95,6.55B,0.1,1497.4,6550000000.0,2015-05-14,SET,StockIndex
2015-05-15,"1,512.19",1496.98,1512.19,1494.79,7.15B,0.99,1512.19,7150000000.0,2015-05-15,SET,StockIndex
2015-05-18,"1,510.41",1510.21,1515.65,1505.67,6.21B,-0.12,1510.41,6210000000.0,2015-05-18,SET,StockIndex
2015-05-19,"1,525.96",1513.83,1527.6,1513.13,6.58B,1.03,1525.96,6580000000.0,2015-05-19,SET,StockIndex
2015-05-20,"1,520.11",1527.65,1530.85,1518.38,6.95B,-0.38,1520.11,6950000000.0,2015-05-20,SET,StockIndex
2015-05-21,"1,526.25",1523.33,1529.94,1522.59,7.69B,0.4,1526.25,7690000000.0,2015-05-21,SET,StockIndex
2015-05-22,"1,523.86",1533.17,1536.3,1522.06,6.93B,-0.16,1523.86,6930000000.0,2015-05-22,SET,StockIndex
2015-05-25,"1,508.16",1526.3,1528.13,1508.16,5.61B,-1.03,1508.16,5610000000.0,2015-05-25,SET,StockIndex
2015-05-26,"1,497.98",1508.12,1513.02,1497.98,8.26B,-0.67,1497.98,8260000000.0,2015-05-26,SET,StockIndex
2015-05-27,"1,500.84",1491.43,1501.61,1486.63,5.54B,0.19,1500.84,5540000000.0,2015-05-27,SET,StockIndex
2015-05-28,"1,493.61",1502.49,1503.38,1487.15,5.68B,-0.48,1493.61,5680000000.0,2015-05-28,SET,StockIndex
2015-05-29,"1,496.05",1495.64,1500.5,1491.57,6.07B,0.16,1496.05,6070000000.0,2015-05-29,SET,StockIndex
2015-06-02,"1,476.87",1492.45,1494.19,1476.28,6.17B,-1.28,1476.87,6170000000.0,2015-06-02,SET,StockIndex
2015-06-03,"1,482.07",1480.36,1487.38,1477.15,6.25B,0.35,1482.07,6250000000.0,2015-06-03,SET,StockIndex
2015-06-04,"1,490.90",1484.57,1491.81,1476.16,9.38B,0.6,1490.9,9380000000.0,2015-06-04,SET,StockIndex
2015-06-05,"1,507.37",1490.51,1509.06,1490.29,7.56B,1.1,1507.37,7560000000.0,2015-06-05,SET,StockIndex
