Date,Price,Open,High,Low,Vol.,Change %,Close,Volume,Date,Ticker
2015-01-05,987.40,1002.19,1003.83,986.94,674.13M,-1.36,987.4,674130000.0,2015-01-05,SET50
2015-01-06,980.50,974.75,981.66,967.74,1.05B,-0.7,980.5,1050000000.0,2015-01-06,SET50
2015-01-07,998.05,980.88,998.1,980.18,784.32M,1.79,998.05,784320000.0,2015-01-07,SET50
2015-01-08,"1,013.24",1009.68,1015.52,1008.11,1.07B,1.52,1013.24,1070000000.0000001,2015-01-08,SET50
2015-01-09,"1,017.87",1018.89,1019.91,1013.03,813.37M,0.46,1017.87,813370000.0,2015-01-09,SET50
2015-01-12,"1,019.38",1014.95,1025.69,1010.78,803.23M,0.15,1019.38,803230000.0,2015-01-12,SET50
2015-01-13,"1,020.22",1010.05,1023.08,1005.37,837.96M,0.08,1020.22,837960000.0,2015-01-13,SET50
2015-01-14,"1,010.98",1023.22,1030.91,1009.73,744.21M,-0.91,1010.98,744210000.0,2015-01-14,SET50
2015-01-15,"1,009.97",1015.62,1020.78,1008.99,553.09M,-0.1,1009.97,553090000.0,2015-01-15,SET50
2015-01-16,"1,005.51",1003.45,1011.44,1002.71,512.66M,-0.44,1005.51,512659999.99999994,2015-01-16,SET50
2015-01-19,"1,019.92",1013.63,1020.12,1010.54,528.17M,1.43,1019.92,528169999.99999994,2015-01-19,SET50
2015-01-20,"1,018.99",1021.97,1024.53,1015.64,820.53M,-0.09,1018.99,820530000.0,2015-01-20,SET50
2015-01-21,"1,019.07",1020.83,1022.06,1013.73,994.26M,0.01,1019.07,994260000.0,2015-01-21,SET50
2015-01-22,"1,039.12",1027.23,1040.25,1023.73,1.16B,1.97,1039.12,1160000000.0,2015-01-22,SET50
2015-01-23,"1,073.00",1046.98,1075.19,1046.4,1.29B,3.26,1073.0,1290000000.0,2015-01-23,SET50
2015-01-26,"1,062.93",1075.58,1083.47,1062.68,1.01B,-0.94,1062.93,1010000000.0,2015-01-26,SET50
2015-01-27,"1,061.12",1062.67,1073.84,1058.75,1.39B,-0.17,1061.12,1390000000.0,2015-01-27,SET50
2015-01-28,"1,062.01",1064.6,1071.03,1055.1,883.15M,0.08,1062.01,883150000.0,2015-01-28,SET50
2015-01-29,"1,056.23",1061.59,1067.65,1052.86,943.23M,-0.54,1056.23,943230000.0,2015-01-29,SET50
2015-01-30,"1,050.29",1059.76,1060.92,1050.18,1.10B,-0.56,1050.29,1100000000.0,2015-01-30,SET50
2015-02-02,"1,051.38",1047.72,1053.1,1043.58,870.12M,0.1,1051.38,870120000.0,2015-02-02,SET50
2015-02-03,"1,068.91",1058.95,1070.92,1058.72,1.35B,1.67,1068.91,1350000000.0,2015-02-03,SET50
2015-02-04,"1,066.10",1080.05,1082.59,1066.1,1.68B,-0.26,1066.1,1680000000.0,2015-02-04,SET50
2015-02-05,"1,071.36",1061.39,1071.36,1055.58,1.12B,0.49,1071.36,1120000000.0,2015-02-05,SET50
2015-02-06,"1,074.39",1076.1,1077.04,1070.6,965.89M,0.28,1074.39,965890000.0,2015-02-06,SET50
2015-02-09,"1,063.80",1070.07,1074.63,1063.8,1.35B,-0.99,1063.8,1350000000.0,2015-02-09,SET50
2015-02-10,"1,057.54",1062.62,1066.92,1056.44,1.06B,-0.59,1057.54,1060000000.0,2015-02-10,SET50
2015-02-11,"1,064.61",1060.33,1066.0,1048.93,1.21B,0.67,1064.61,1210000000.0,2015-02-11,SET50
2015-02-12,"1,070.50",1064.51,1070.5,1057.99,1.21B,0.55,1070.5,1210000000.0,2015-02-12,SET50
2015-02-13,"1,071.02",1072.17,1074.59,1067.93,937.10M,0.05,1071.02,937100000.0,2015-02-13,SET50
2015-02-16,"1,064.75",1070.37,1072.49,1064.69,483.77M,-0.59,1064.75,483770000.0,2015-02-16,SET50
2015-02-17,"1,050.81",1063.3,1065.61,1050.81,742.95M,-1.31,1050.81,742950000.0,2015-02-17,SET50
2015-02-18,"1,061.45",1053.0,1061.94,1052.55,560.55M,1.01,1061.45,560550000.0,2015-02-18,SET50
2015-02-19,"1,056.48",1060.0,1063.99,1055.07,923.61M,-0.47,1056.48,923610000.0,2015-02-19,SET50
2015-02-20,"1,058.77",1058.77,1062.73,1056.27,740.02M,0.22,1058.77,740020000.0,2015-02-20,SET50
2015-02-23,"1,049.93",1062.27,1063.26,1049.79,1.53B,-0.83,1049.93,1530000000.0,2015-02-23,SET50
2015-02-24,"1,052.61",1052.26,1058.17,1051.0,1.40B,0.26,1052.61,1400000000.0,2015-02-24,SET50
2015-02-25,"1,045.80",1054.21,1055.59,1041.96,2.30B,-0.65,1045.8,2300000000.0,2015-02-25,SET50
2015-02-26,"1,051.10",1046.05,1051.1,1031.37,1.69B,0.51,1051.1,1690000000.0,2015-02-26,SET50
2015-02-27,"1,042.80",1047.62,1050.62,1042.12,1.20B,-0.79,1042.8,1200000000.0,2015-02-27,SET50
2015-03-02,"1,039.47",1043.9,1045.39,1033.23,1.45B,-0.32,1039.47,1450000000.0,2015-03-02,SET50
2015-03-03,"1,027.89",1037.64,1039.39,1027.89,1.11B,-1.11,1027.89,1110000000.0,2015-03-03,SET50
2015-03-05,"1,022.09",1025.86,1026.93,1016.62,1.52B,-0.56,1022.09,1520000000.0,2015-03-05,SET50
2015-03-06,"1,032.49",1022.24,1032.49,1020.59,1.07B,1.02,1032.49,1070000000.0000001,2015-03-06,SET50
2015-03-09,"1,027.02",1025.51,1031.27,1021.47,1.06B,-0.53,1027.02,1060000000.0,2015-03-09,SET50
2015-03-10,"1,005.25",1027.77,1029.31,1005.25,1.19B,-2.12,1005.25,1190000000.0,2015-03-10,SET50
2015-03-11,"1,015.94",1001.88,1016.07,998.63,1.55B,1.06,1015.94,1550000000.0,2015-03-11,SET50
2015-03-12,"1,013.98",1014.17,1017.9,1006.31,1.05B,-0.19,1013.98,1050000000.0,2015-03-12,SET50
2015-03-13,"1,012.25",1016.55,1020.29,1010.55,997.08M,-0.17,1012.25,997080000.0,2015-03-13,SET50
2015-03-16,996.39,1006.45,1007.66,993.95,1.17B,-1.57,996.39,1170000000.0,2015-03-16,SET50
2015-03-17,997.43,1003.58,1005.45,996.87,1.43B,0.1,997.43,1430000000.0,2015-03-17,SET50
2015-03-18,"1,010.99",998.55,1012.4,997.3,1.23B,1.36,1010.99,1230000000.0,2015-03-18,SET50
2015-03-19,"1,012.18",1020.44,1020.44,1009.63,1.08B,0.12,1012.18,1080000000.0,2015-03-19,SET50
2015-03-20,"1,010.67",1013.31,1015.42,1002.18,1.68B,-0.15,1010.67,1680000000.0,2015-03-20,SET50
2015-03-23,"1,006.03",1015.28,1017.45,1004.23,1.42B,-0.46,1006.03,1420000000.0,2015-03-23,SET50
2015-03-24,"1,005.12",1005.09,1005.94,994.65,1.33B,-0.09,1005.12,1330000000.0,2015-03-24,SET50
2015-03-25,"1,002.56",1005.46,1008.78,1002.56,846.58M,-0.25,1002.56,846580000.0,2015-03-25,SET50
2015-03-26,992.82,997.76,1003.01,992.49,1.15B,-0.97,992.82,1150000000.0,2015-03-26,SET50
2015-03-27,993.33,991.74,995.17,986.78,1.00B,0.05,993.33,1000000000.0,2015-03-27,SET50
2015-03-30,993.27,998.46,1000.68,993.12,919.71M,-0.01,993.27,919710000.0,2015-03-30,SET50
2015-03-31,997.66,997.28,1001.88,993.58,831.54M,0.44,997.66,831540000.0,2015-03-31,SET50
2015-04-01,"1,010.04",998.13,1010.13,995.03,965.19M,1.24,1010.04,965190000.0,2015-04-01,SET50
2015-04-02,"1,015.30",1013.6,1020.45,1009.24,1.01B,0.52,1015.3,1010000000.0,2015-04-02,SET50
2015-04-03,"1,017.08",1016.82,1018.42,1012.88,653.90M,0.18,1017.08,653900000.0,2015-04-03,SET50
2015-04-07,"1,027.62",1024.32,1032.17,1022.23,829.59M,1.04,1027.62,829590000.0,2015-04-07,SET50
2015-04-08,"1,023.97",1029.9,1033.19,1023.92,929.98M,-0.36,1023.97,929980000.0,2015-04-08,SET50
2015-04-09,"1,023.65",1024.24,1027.84,1020.71,638.55M,-0.03,1023.65,638550000.0,2015-04-09,SET50
2015-04-10,"1,025.38",1024.94,1026.56,1019.45,873.28M,0.17,1025.38,873280000.0,2015-04-10,SET50
2015-04-16,"1,043.73",1035.9,1043.79,1031.09,984.07M,1.79,1043.73,984070000.0,2015-04-16,SET50
2015-04-17,"1,039.53",1045.69,1046.62,1039.53,1.77B,-0.4,1039.53,1770000000.0,2015-04-17,SET50
2015-04-20,"1,033.75",1038.24,1039.24,1031.02,1.31B,-0.56,1033.75,1310000000.0,2015-04-20,SET50
2015-04-21,"1,040.23",1038.4,1042.31,1036.62,951.36M,0.63,1040.23,951360000.0,2015-04-21,SET50
2015-04-22,"1,024.61",1040.82,1041.14,1024.61,1.08B,-1.5,1024.61,1080000000.0,2015-04-22,SET50
2015-04-23,"1,019.38",1027.86,1032.91,1017.82,1.29B,-0.51,1019.38,1290000000.0,2015-04-23,SET50
2015-04-24,"1,028.41",1023.0,1028.41,1020.33,834.99M,0.89,1028.41,834990000.0,2015-04-24,SET50
2015-04-27,"1,023.45",1030.52,1033.32,1021.51,1.06B,-0.48,1023.45,1060000000.0,2015-04-27,SET50
