Date,Price,MV,VA,VO,DY,Date,Ticker,Sector,Industry,High,Low,Open,Close,Volume,Adj Close,FF-01,FF-02,FF-03,FF-04,FF-05,FF-06,FF-07,FF-08,FF-09,FF-11,FF-12
2014-01-02,187.0,555968.6,2440094.0,12696.6,6.1,2014-01-02,ADVANC,Information & Communication Technology,Technology,198.5,187.0,198.0,187.0,12694200.0,135.28713989257812,,,,,,,,,,,
2014-01-03,196.0,582726.4,3262103.0,16987.9,5.82,2014-01-03,ADVANC,Information & Communication Technology,Technology,196.0,186.5,187.0,196.0,16987100.0,141.7982635498047,187.0,-0.0470060423759306,,,,,,,,,
2014-01-06,201.0,597591.9,2028124.0,10295.5,5.67,2014-01-06,ADVANC,Information & Communication Technology,Technology,203.0,191.0,195.0,201.0,10294700.0,145.4155731201172,196.0,-0.02519024882855852,,,,,,,,,
2014-01-07,210.0,624349.8,2341293.0,11479.9,5.43,2014-01-07,ADVANC,Information & Communication Technology,Technology,210.0,200.0,205.0,210.0,11479200.0,151.9267578125,201.0,-0.04380262265839289,,,,,,,,,
2014-01-08,206.0,612457.4,2822571.0,13653.9,5.53,2014-01-08,ADVANC,Information & Communication Technology,Technology,210.0,203.0,208.0,206.0,13653100.0,149.03289794921875,210.0,0.019231361927887592,200.0,203.46666666666667,200.0,,,,,,
2014-01-09,203.0,603538.1,2321534.0,11307.8,5.62,2014-01-09,ADVANC,Information & Communication Technology,Technology,208.0,202.0,204.0,203.0,11307400.0,146.86253356933594,206.0,0.01467018974779384,203.2,204.46666666666667,201.0,,,,,,
2014-01-10,199.5,593132.3,3202425.0,16142.3,5.71,2014-01-10,ADVANC,Information & Communication Technology,Technology,203.0,196.0,197.0,199.5,16141500.0,144.33042907714844,203.0,0.01739174271186924,203.9,203.23333333333332,200.5,,,,,,
2014-01-13,209.0,621376.7,2318742.0,11362.9,5.45,2014-01-13,ADVANC,Information & Communication Technology,Technology,210.0,197.0,197.0,209.0,11361800.0,151.20327758789062,199.5,-0.04652001563489282,205.5,204.93333333333334,203.33333333333334,,,,,,
2014-01-14,212.0,630296.0,2162178.0,10310.6,5.38,2014-01-14,ADVANC,Information & Communication Technology,Technology,213.0,206.0,207.0,212.0,9223500.0,153.37368774414062,209.0,-0.014252022707201502,205.9,207.1,206.22222222222223,,,77.23721067374316,70.82741271200528,,
2014-01-15,205.0,609484.3,2150728.0,10261.0,5.56,2014-01-15,ADVANC,Information & Communication Technology,Technology,214.0,204.0,213.0,205.0,10260300.0,148.3094482421875,212.0,0.033576295533604306,205.7,206.8,205.8148148148148,,,78.99159663865545,75.16590809522762,,
2014-01-16,215.0,639215.3,2233753.0,10518.3,5.3,2014-01-16,ADVANC,Information & Communication Technology,Technology,215.0,206.0,207.0,215.0,10517500.0,155.5440673828125,205.0,-0.04762804898925459,208.1,209.9,208.87654320987653,,28.0,81.37254901960783,79.20045211066882,,
2014-01-17,214.0,636242.1,1497915.0,7063.3,5.33,2014-01-17,ADVANC,Information & Communication Technology,Technology,215.0,208.0,214.0,214.0,7062500.0,154.8206024169922,215.0,0.004662013105811371,211.0,211.86666666666667,210.5843621399177,,18.0,81.48148148148147,80.61520904658158,,
2014-01-20,210.0,624349.8,1479273.0,7021.6,5.43,2014-01-20,ADVANC,Information & Communication Technology,Technology,213.0,209.0,211.0,210.0,7021300.0,151.9267578125,214.0,0.018868484304382736,211.2,211.53333333333333,210.38957475994513,,9.0,82.99663299663298,81.95022116590742,,
2014-01-21,211.0,627322.9,1141401.0,5386.6,5.4,2014-01-21,ADVANC,Information & Communication Technology,Technology,214.0,210.0,212.0,211.0,5386300.0,152.65023803710938,210.0,-0.004750602758597865,211.0,211.46666666666667,210.5930498399634,,1.0,70.87542087542086,78.45117845117842,-14.035087719298247,
