Date,Price,MV,VA,VO,DY
2014-01-01,28.0,38553.84,NA,NA,5.36
2014-01-02,26.0,35799.99,120021.4,4435.4,5.77
2014-01-03,25.5,35111.53,88034.4,3401.9,5.88
2014-01-06,25.5,35111.53,210569.6,8228.3,5.88
2014-01-07,26.25,36144.22,152936.4,5876.5,5.71
2014-01-08,26.0,35799.99,212987.5,8127.8,5.77
2014-01-09,26.0,35799.99,149284.2,5672.5,5.77
2014-01-10,25.75,35455.76,76327.3,2966.2,5.83
2014-01-13,26.5,36488.45,126363.4,4841.2,5.66
2014-01-14,27.75,38209.61,114282.8,4212.4,5.41
2014-01-15,27.0,37176.91,72495.6,2643.5,5.56
2014-01-16,27.5,37865.38,66783.9,2431.8,5.45
2014-01-17,27.25,37521.14,79793.5,2928.3,5.5
2014-01-20,27.25,37521.14,42939.3,1585.5,5.5
2014-01-21,27.0,37176.91,86803.9,3177.2,5.56
2014-01-22,26.75,36832.68,66693.7,2483.6,5.61
2014-01-23,27.25,37521.14,83340.7,3084.1,5.5
2014-01-24,27.5,37865.38,98397.7,3584.3,5.45
2014-01-27,26.75,36832.68,112281.3,4203.4,5.61
2014-01-28,26.0,35799.99,133691.4,5098.8,5.77
2014-01-29,26.25,36144.22,53864.2,2052.9,5.71
2014-01-30,26.25,36144.22,39338.6,1508.7,5.71
2014-01-31,26.75,36832.68,109552.2,4110.4,5.61
2014-02-03,27.75,38209.61,136730.8,4977.4,5.41
2014-02-04,27.5,37865.38,144840.9,5283.6,5.45
2014-02-05,27.25,37521.14,87079.8,3184.7,5.5
2014-02-06,27.0,37176.91,60900.2,2246.8,5.56
2014-02-07,27.25,37521.14,67738.0,2487.8,5.5
2014-02-10,27.75,38209.61,114604.6,4144.2,5.41
2014-02-11,28.5,39242.3,219781.4,7727.3,5.26
2014-02-12,28.5,39242.3,78185.1,2754.9,5.26
2014-02-13,28.25,38898.07,113940.0,4005.3,5.31
2014-02-14,28.25,38898.07,NA,NA,5.31
2014-02-17,28.5,39242.3,83440.9,2911.6,5.26
2014-02-18,28.25,38898.07,105569.6,3728.4,4.78
2014-02-19,29.0,39930.76,151728.7,5262.6,4.66
2014-02-20,28.25,38898.07,90587.1,3166.9,4.78
2014-02-21,29.0,39930.76,143543.6,4968.2,4.66
2014-02-24,28.75,39586.53,68040.9,2366.9,4.7
2014-02-25,28.5,39242.3,81577.1,2857.6,4.74
2014-02-26,28.5,39242.3,42465.8,1490.0,4.74
2014-02-27,28.5,39242.3,107761.7,3757.5,4.74
2014-02-28,28.75,39586.53,95517.0,3324.0,4.7
2014-03-03,28.25,38898.07,102013.8,3610.8,4.78
2014-03-04,29.0,39930.76,353124.7,12008.2,4.66
2014-03-05,30.5,41996.14,358355.2,11935.8,4.43
2014-03-06,30.5,41996.14,130436.1,4294.6,4.43
2014-03-07,31.5,43373.04,135957.6,4379.2,4.29
2014-03-10,30.5,41996.14,146537.8,4773.2,4.43
2014-03-11,30.75,42340.38,63262.8,2058.0,4.39
2014-03-12,30.75,42340.38,118610.2,3889.4,4.39
2014-03-13,31.25,43028.8,134011.6,4320.0,4.32
2014-03-14,31.0,42684.61,125884.3,4016.6,4.35
2014-03-17,31.0,42684.61,73951.9,2379.0,4.35
2014-03-18,31.0,42684.61,182487.0,5906.7,4.35
2014-03-19,30.5,41996.14,110487.9,3578.4,4.43
2014-03-20,30.75,42340.38,104544.8,3419.5,4.39
2014-03-21,30.5,41996.14,138019.1,4558.5,4.43
2014-03-24,30.5,41996.14,48745.6,1614.1,4.43
2014-03-25,30.25,41651.91,111549.1,3711.1,4.46
2014-03-26,30.25,41651.91,63861.1,2097.7,4.46
2014-03-27,31.0,42684.61,120717.5,3927.4,4.35
2014-03-28,31.25,43028.8,196388.7,6247.9,4.32
