Date,Price,MV,VA,VO,DY,Date,Ticker,Sector,Industry,High,Low,Open,Close,Volume,Adj Close,FF-01,FF-02,FF-03,FF-04,FF-05,FF-06,FF-07,FF-08,FF-09,FF-11,FF-12
2014-01-02,26.0,35799.99,120021.4,4435.4,5.77,2014-01-02,BCP,Energy & Utilities,Resources,28.25,26.0,27.75,26.0,4435300.0,19.260061264038086,,,,,,,,,,,
2014-01-03,25.5,35111.53,88034.4,3401.9,5.88,2014-01-03,BCP,Energy & Utilities,Resources,26.25,25.25,25.75,25.5,3401800.0,18.889678955078125,26.0,0.019418085857101516,,,,,,,,,
2014-01-06,25.5,35111.53,210569.6,8228.3,5.88,2014-01-06,BCP,Energy & Utilities,Resources,26.25,25.25,25.5,25.5,8228200.0,18.889678955078125,25.5,0.0,,,,,,,,,
2014-01-07,26.25,36144.22,152936.4,5876.5,5.71,2014-01-07,BCP,Energy & Utilities,Resources,26.5,25.5,25.75,26.25,5876500.0,19.445255279541016,25.5,-0.028987536873252298,,,,,,,,,
2014-01-08,26.0,35799.99,212987.5,8127.8,5.77,2014-01-08,BCP,Energy & Utilities,Resources,26.5,25.75,26.25,26.0,8127700.0,19.260061264038086,26.25,0.009569451016150672,25.85,25.9,25.85,,,,,,
2014-01-09,26.0,35799.99,149284.2,5672.5,5.77,2014-01-09,BCP,Energy & Utilities,Resources,27.0,25.5,26.25,26.0,5672200.0,19.260061264038086,26.0,0.0,25.85,25.95,25.900000000000002,,,,,,
2014-01-10,25.75,35455.76,76327.3,2966.2,5.83,2014-01-10,BCP,Energy & Utilities,Resources,26.0,25.5,26.0,25.75,2966200.0,19.07486724853516,26.0,0.00966191091173689,25.9,25.916666666666668,25.85,,,,,,
2014-01-13,26.5,36488.45,126363.4,4841.2,5.66,2014-01-13,BCP,Energy & Utilities,Resources,26.5,25.5,25.5,26.5,4841200.0,19.630447387695312,25.75,-0.028710105882431367,26.1,26.116666666666667,26.066666666666666,,,,,,
2014-01-14,27.75,38209.61,114282.8,4212.4,5.41,2014-01-14,BCP,Energy & Utilities,Resources,27.75,26.25,26.25,27.75,4212300.0,20.556415557861328,26.5,-0.046091107200266976,26.4,26.666666666666668,26.627777777777776,,,65.07936507936508,47.75132275132275,,
2014-01-15,27.0,37176.91,72495.6,2643.5,5.56,2014-01-15,BCP,Energy & Utilities,Resources,28.0,27.0,27.75,27.0,2643400.0,20.00083351135254,27.75,0.027398974188114347,26.6,26.866666666666667,26.75185185185185,,,75.55555555555556,62.22222222222223,,
2014-01-16,27.5,37865.38,66783.9,2431.8,5.45,2014-01-16,BCP,Energy & Utilities,Resources,27.75,27.0,27.25,27.5,2431700.0,20.371219635009766,27.0,-0.01834913866819654,26.9,27.166666666666668,27.001234567901232,,1.5,80.0,73.54497354497356,,
2014-01-17,27.25,37521.14,79793.5,2928.3,5.5,2014-01-17,BCP,Energy & Utilities,Resources,27.75,27.0,27.5,27.25,2928300.0,20.186023712158203,27.5,0.009132483563272472,27.2,27.283333333333335,27.08415637860082,,1.75,70.0,75.1851851851852,,
2014-01-20,27.25,37521.14,42939.3,1585.5,5.5,2014-01-20,BCP,Energy & Utilities,Resources,27.5,26.75,27.0,27.25,1585500.0,20.186023712158203,27.25,0.0,27.35,27.3,27.13943758573388,,1.75,69.04761904761905,73.01587301587303,,
2014-01-21,27.0,37176.91,86803.9,3177.2,5.56,2014-01-21,BCP,Energy & Utilities,Resources,28.0,26.75,27.25,27.0,3177200.0,20.00083351135254,27.25,0.009216655104924048,27.2,27.183333333333334,27.092958390489255,,0.75,49.047619047619044,62.69841269841271,-41.66666666666667,
