Date,Price,MV,VA,VO,DY
2014-01-01,87.75,63931.14,NA,NA,2.17
2014-01-02,83.5,60834.77,67168.7,796.8,2.28
2014-01-03,85.0,61927.63,88807.1,1055.6,2.24
2014-01-06,84.0,61199.07,77513.6,931.1,2.26
2014-01-07,83.25,60652.63,65156.0,781.5,2.28
2014-01-08,82.0,59741.92,61274.7,739.5,2.32
2014-01-09,83.0,60470.52,55066.2,659.2,2.29
2014-01-10,87.0,63384.74,80504.7,946.1,2.18
2014-01-13,87.5,63749.04,43338.0,498.5,2.17
2014-01-14,87.0,63384.74,22710.4,260.6,2.18
2014-01-15,84.0,61199.07,38114.8,448.8,2.26
2014-01-16,86.0,62656.18,26404.6,308.9,2.21
2014-01-17,86.0,62656.18,39083.5,452.8,2.21
2014-01-20,85.25,62109.78,20207.8,235.2,2.23
2014-01-21,85.0,61927.63,110876.9,1304.3,2.24
2014-01-22,84.25,61381.18,51942.1,616.0,2.26
2014-01-23,84.5,61563.33,71989.2,854.2,2.25
2014-01-24,83.75,61016.92,82817.8,987.4,2.27
2014-01-27,82.75,60288.37,142522.9,1735.6,2.3
2014-01-28,82.75,60288.37,52406.6,637.3,2.3
2014-01-29,83.25,60652.63,54994.8,662.0,2.28
2014-01-30,83.0,60470.52,21314.3,258.3,2.29
2014-01-31,84.0,61199.07,48189.6,574.0,2.26
2014-02-03,84.75,61745.48,83478.5,985.2,2.24
2014-02-04,83.75,61016.92,29605.2,353.0,2.27
2014-02-05,82.75,60288.37,50583.5,609.3,2.3
2014-02-06,84.5,61563.33,52877.6,627.3,2.25
2014-02-07,84.5,61563.33,27278.9,323.0,2.25
2014-02-10,84.75,61745.48,32025.8,377.9,2.24
2014-02-11,84.5,61563.33,17512.3,207.4,2.25
2014-02-12,87.0,63384.74,48527.6,565.0,2.18
2014-02-13,86.25,62838.33,18649.6,216.7,2.2
2014-02-14,86.25,62838.33,NA,NA,2.2
2014-02-17,87.75,63931.14,28560.5,327.2,2.17
2014-02-18,89.0,64841.85,75776.9,854.3,2.13
2014-02-19,86.75,63202.59,32509.1,370.5,2.19
2014-02-20,85.25,62109.78,37182.3,433.1,2.23
2014-02-21,85.75,62474.04,104135.3,1224.5,2.22
2014-02-24,87.25,63566.89,55195.0,634.2,2.18
2014-02-25,87.25,63566.89,36474.1,417.4,2.18
2014-02-26,88.0,64113.29,51884.1,590.4,2.16
2014-02-27,89.25,65024.0,72900.1,820.6,2.13
2014-02-28,89.0,64841.85,63324.8,710.5,2.13
2014-03-03,89.5,65206.15,77493.6,866.3,2.12
2014-03-04,89.75,65388.3,67745.3,753.2,2.12
2014-03-05,89.75,65388.3,14733.9,164.0,2.12
2014-03-06,90.5,65934.69,71668.2,793.8,2.1
2014-03-07,90.75,66116.81,35968.1,396.6,2.09
2014-03-10,90.0,65570.38,23068.9,259.9,2.11
2014-03-11,89.75,65388.3,45973.6,514.3,2.12
2014-03-12,90.0,65570.38,42400.4,475.4,2.11
2014-03-13,89.5,65206.15,41693.0,467.1,2.12
2014-03-14,89.5,65209.71,28556.9,319.9,2.12
2014-03-17,89.25,65027.56,31418.3,351.2,2.13
2014-03-18,88.5,64481.11,48920.1,552.2,2.15
2014-03-19,89.5,65209.71,65714.8,730.3,2.12
2014-03-20,88.5,64481.11,58379.8,658.5,2.15
2014-03-21,89.25,65027.56,45155.6,509.7,2.13
2014-03-24,90.5,65938.25,48543.8,539.1,2.1
2014-03-25,90.25,65756.13,25744.7,286.9,2.11
2014-03-26,90.5,65938.25,37436.0,414.1,2.1
2014-03-27,92.0,67031.19,38796.3,424.7,2.07
2014-03-28,95.75,69763.44,133155.4,1411.3,1.98
2014-03-31,96.25,70127.75,80944.5,833.5,1.97
2014-04-01,97.25,70856.38,47874.1,493.5,1.95
2014-04-02,96.5,70309.88,38768.8,402.5,1.97
2014-04-03,97.0,70674.19,42384.5,441.7,1.96
2014-04-04,100.0,72860.0,88154.0,890.2,1.9
2014-04-07,100.0,72860.0,NA,NA,1.9
2014-04-08,99.0,72131.38,85234.1,857.0,1.92
2014-04-09,99.0,72131.38,26623.9,268.1,1.92
2014-04-10,98.75,71949.25,21709.6,219.1,1.92
2014-04-11,98.5,71767.06,35733.8,363.2,1.93
2014-04-14,98.5,71767.06,NA,NA,1.93
2014-04-15,98.5,71767.06,NA,NA,1.93
2014-04-16,99.75,72677.81,105637.1,1054.9,1.9
2014-04-17,99.75,72677.81,45212.5,454.2,1.9
2014-04-18,99.0,72131.38,12495.8,125.8,1.92
2014-04-21,100.0,72860.0,15025.7,150.4,1.9
2014-04-22,98.0,71402.81,31112.3,317.0,1.94
2014-04-23,97.75,71220.63,76608.6,777.3,1.94
2014-04-24,97.25,70856.38,35569.7,363.8,1.95
2014-04-25,98.5,71767.06,48650.0,493.8,1.93
2014-04-28,97.5,71038.5,34358.2,350.7,1.95
2014-04-29,97.5,71038.5,17341.6,177.5,1.95
2014-04-30,98.0,71402.81,20383.1,207.9,1.94
2014-05-01,98.0,71402.81,NA,NA,1.94
2014-05-02,104.0,75774.44,135056.9,1329.7,1.83
2014-05-05,104.0,75774.44,NA,NA,1.83
2014-05-06,99.75,72677.81,99591.7,979.6,1.9
2014-05-07,101.0,73588.56,82377.3,817.0,1.88
2014-05-08,99.5,72495.69,53279.6,534.3,1.91
2014-05-09,100.5,73224.31,56819.9,563.9,1.89
2014-05-12,102.0,74317.19,44729.8,438.4,1.86
2014-05-13,102.0,74317.19,NA,NA,1.86
2014-05-14,101.5,73952.88,49690.5,490.2,1.87
2014-05-15,112.0,81603.19,541858.9,4954.8,1.7
2014-05-16,110.0,80146.0,250578.3,2274.4,1.73
2014-05-19,110.0,80146.0,349813.3,3183.6,1.73
2014-05-20,109.0,79417.38,175759.8,1607.3,1.74
2014-05-21,109.0,79417.38,161690.1,1483.5,1.74
2014-05-22,113.0,82331.81,536157.5,4820.4,1.68
2014-05-23,113.5,82696.13,182012.7,1633.3,1.67
2014-05-26,113.0,82331.81,197610.4,1738.7,1.68
2014-05-27,115.0,83789.0,175900.6,1546.5,1.65
2014-05-28,112.0,81603.19,259425.3,2315.6,1.7
2014-05-29,112.5,81967.5,253694.6,2253.3,1.69
2014-05-30,114.0,83060.44,2749423.0,24203.7,1.67
