Date,Price,MV,VA,VO,DY
2014-01-01,1.25,50.67,,,0.0
2014-01-02,1.25,50.67,,,0.0
2014-01-03,1.25,50.67,,,0.0
2014-01-06,1.25,50.67,,,0.0
2014-01-07,1.25,50.67,,,0.0
2014-01-08,1.25,50.67,,,0.0
2014-01-09,1.25,50.67,,,0.0
2014-01-10,1.25,50.67,,,0.0
2014-01-13,1.25,50.67,,,0.0
2014-01-14,1.25,50.67,,,0.0
2014-01-15,1.25,50.67,,,0.0
2014-01-16,1.25,50.67,,,0.0
2014-01-17,1.25,50.67,,,0.0
2014-01-20,1.25,50.67,,,0.0
2014-01-21,1.25,50.67,,,0.0
2014-01-22,1.25,50.67,,,0.0
2014-01-23,1.25,50.67,,,0.0
2014-01-24,1.25,50.67,,,0.0
2014-01-27,1.25,50.67,,,0.0
2014-01-28,1.25,50.67,,,0.0
2014-01-29,1.25,50.67,,,0.0
2014-01-30,1.25,50.67,,,0.0
2014-01-31,1.25,50.67,,,0.0
2014-02-03,1.25,50.67,,,0.0
2014-02-04,1.25,50.67,,,0.0
2014-02-05,1.25,50.67,,,0.0
2014-02-06,1.25,50.67,,,0.0
2014-02-07,1.25,50.67,,,0.0
2014-02-10,1.25,50.67,,,0.0
2014-02-11,1.25,50.67,,,0.0
2014-02-12,1.25,50.67,,,0.0
2014-02-13,1.25,50.67,,,0.0
2014-02-14,1.25,50.67,,,0.0
2014-02-17,1.25,50.67,,,0.0
2014-02-18,1.25,50.67,,,0.0
2014-02-19,1.25,50.67,,,0.0
2014-02-20,1.25,50.67,,,0.0
2014-02-21,1.25,50.67,,,0.0
2014-02-24,1.25,50.67,,,0.0
2014-02-25,1.25,50.67,,,0.0
2014-02-26,1.25,50.67,,,0.0
2014-02-27,1.25,50.67,,,0.0
2014-02-28,1.25,50.67,,,0.0
2014-03-03,1.25,50.67,,,0.0
2014-03-04,1.25,50.67,,,0.0
2014-03-05,1.25,50.67,,,0.0
2014-03-06,1.25,50.67,,,0.0
2014-03-07,1.25,50.67,,,0.0
2014-03-10,1.25,50.67,,,0.0
2014-03-11,1.25,50.67,,,0.0
2014-03-12,1.25,50.67,,,0.0
2014-03-13,1.25,50.67,,,0.0
2014-03-14,1.25,50.67,,,0.0
2014-03-17,1.25,50.67,,,0.0
2014-03-18,1.25,50.67,,,0.0
2014-03-19,1.25,50.67,,,0.0
2014-03-20,1.25,50.67,,,0.0
2014-03-21,1.25,50.67,,,0.0
2014-03-24,1.25,50.67,,,0.0
2014-03-25,1.25,50.67,,,0.0
2014-03-26,1.25,50.67,,,0.0
2014-03-27,1.25,50.67,,,0.0
2014-03-28,1.25,50.67,,,0.0
2014-03-31,1.25,50.67,,,0.0
2014-04-01,1.25,50.67,,,0.0
2014-04-02,1.25,50.67,,,0.0
2014-04-03,1.25,50.67,,,0.0
2014-04-04,1.25,50.67,,,0.0
2014-04-07,1.25,50.67,,,0.0
2014-04-08,1.25,50.67,,,0.0
2014-04-09,1.25,50.67,,,0.0
