Date,Price,MV,VA,VO,DY
2014-01-01,43.95,76738.75,NA,NA,1.99
2014-01-02,42.36,73955.44,86305.1,1998.5,2.06
2014-01-03,41.22,71967.38,102829.5,2509.3,2.12
2014-01-06,39.85,69581.75,53258.1,1318.6,2.19
2014-01-07,40.76,71172.19,33723.3,829.4,2.15
2014-01-08,40.31,70376.94,78759.4,1929.9,2.17
2014-01-09,40.31,70376.94,49833.3,1228.9,2.17
2014-01-10,40.08,69979.38,34196.1,854.4,2.18
2014-01-13,41.45,72365.0,46174.8,1124.6,2.11
2014-01-14,42.81,74750.69,91833.9,2158.3,2.04
2014-01-15,41.67,72762.63,84050.1,1989.1,2.1
2014-01-16,42.59,74353.06,47230.0,1108.8,2.05
2014-01-17,42.36,73955.44,44875.3,1048.0,2.06
2014-01-20,42.81,74750.69,18954.6,442.3,2.04
2014-01-21,42.36,73955.44,87963.9,2030.1,2.06
2014-01-22,42.59,74353.06,29707.3,698.8,2.05
2014-01-23,43.04,75148.31,27107.8,631.9,2.03
2014-01-24,43.04,75148.31,24113.2,559.0,2.03
2014-01-27,41.9,73160.25,24346.7,578.1,2.09
2014-01-28,40.76,71172.19,59821.2,1445.0,2.15
2014-01-29,40.76,71172.19,15311.6,374.9,2.15
2014-01-30,41.45,72365.0,11570.1,281.7,2.11
2014-01-31,41.22,71967.38,13975.8,338.6,2.12
2014-02-03,42.13,73557.88,30306.8,721.2,2.08
2014-02-04,41.45,72365.0,26189.3,635.1,2.11
2014-02-05,41.67,72762.63,23536.9,565.7,2.1
2014-02-06,42.59,74353.06,53941.4,1271.0,2.05
2014-02-07,43.04,75148.31,75683.5,1744.9,2.03
2014-02-10,43.72,76341.13,57211.1,1315.4,2.0
2014-02-11,43.04,75148.31,24858.7,572.1,2.03
2014-02-12,43.27,75545.88,19671.6,455.4,2.02
2014-02-13,42.59,74353.06,14607.2,340.8,2.05
2014-02-14,42.59,74353.06,NA,NA,2.05
2014-02-17,43.5,75943.5,20600.4,475.0,2.01
2014-02-18,44.18,77136.31,85450.0,1930.9,1.98
2014-02-19,45.55,79522.0,138157.8,3047.5,1.92
2014-02-20,44.64,77931.56,69126.6,1552.5,1.96
2014-02-21,43.5,75943.5,28703.6,654.8,2.01
2014-02-24,43.04,75148.31,14089.2,326.3,2.03
2014-02-25,42.36,73955.44,95353.7,2218.2,2.06
2014-02-26,42.59,74353.06,22317.7,522.4,1.8
2014-02-27,43.72,76341.13,68194.8,1574.2,1.75
2014-02-28,43.27,75545.88,15252.5,350.9,1.77
2014-03-03,43.27,75545.88,32292.4,741.7,1.77
2014-03-04,44.64,77931.56,38782.7,879.1,1.71
2014-03-05,44.18,77137.19,43972.0,988.0,1.73
2014-03-06,43.95,76739.56,40872.7,919.3,1.74
2014-03-07,44.41,77534.81,24562.9,553.7,1.72
2014-03-10,45.55,79522.94,74354.3,1648.7,1.68
2014-03-11,46.23,80715.75,95008.6,2048.1,1.66
2014-03-12,44.64,77932.44,81722.4,1792.6,1.71
2014-03-13,45.32,79125.25,23480.5,518.5,1.69
2014-03-14,44.86,78330.0,41677.8,932.7,1.71
2014-03-17,45.32,79125.25,48531.3,1073.7,1.69
2014-03-18,44.64,77932.44,56405.8,1251.4,1.71
2014-03-19,43.5,75944.38,74952.7,1691.0,1.76
2014-03-20,43.5,75944.38,39744.8,918.5,1.76
2014-03-21,44.18,77137.19,29609.9,674.9,1.73
2014-03-24,43.72,76342.0,16292.6,370.3,1.75
2014-03-25,44.18,77137.19,28296.8,644.5,1.73
2014-03-26,44.86,78330.0,28304.9,634.2,1.71
2014-03-27,44.64,77932.44,20795.8,466.1,1.71
2014-03-28,45.32,79125.25,67446.4,1497.3,1.69
2014-03-31,44.64,77932.44,34379.9,767.7,1.71
2014-04-01,45.32,79125.25,47529.5,1056.2,1.69
2014-04-02,44.86,78330.0,21114.8,469.1,1.71
2014-04-03,44.86,78330.25,18061.7,402.4,1.71
2014-04-04,44.64,77932.63,16134.2,360.3,1.71
2014-04-07,44.64,77932.63,NA,NA,1.71
2014-04-08,44.18,77137.38,15732.9,355.1,1.73
2014-04-09,43.95,76739.81,18298.6,413.5,1.74
2014-04-10,44.86,78330.25,57240.1,1281.4,1.71
2014-04-11,44.41,77535.0,8471.3,190.4,1.72
2014-04-14,44.41,77535.0,NA,NA,1.72
2014-04-15,44.41,77535.0,NA,NA,1.72
2014-04-16,45.55,79523.13,79215.6,1746.0,1.68
2014-04-17,45.09,78727.88,36276.2,803.9,1.7
2014-04-18,44.64,77932.63,27837.3,619.3,1.71
2014-04-21,44.86,78330.25,23047.0,514.2,1.71
2014-04-22,44.64,77932.63,23848.2,531.6,1.71
2014-04-23,44.41,77535.0,15730.8,353.3,1.72
2014-04-24,44.18,77137.38,14215.2,320.9,1.73
2014-04-25,43.27,75546.94,30532.7,700.7,1.77
2014-04-28,43.04,75149.31,29989.4,697.4,1.78
2014-04-29,43.27,75546.94,10537.0,243.8,1.77
2014-04-30,43.5,75944.56,28836.9,662.4,1.76
2014-05-01,43.5,75944.56,NA,NA,1.76
2014-05-02,43.27,75546.94,15708.1,363.0,1.77
2014-05-05,43.27,75546.94,NA,NA,1.77
2014-05-06,42.59,74354.06,15769.0,368.7,1.8
2014-05-07,41.9,73162.0,40204.7,955.8,1.83
2014-05-08,39.85,69583.38,89576.4,2212.6,1.92
2014-05-09,40.99,71571.5,33924.9,838.4,1.87
2014-05-12,40.76,71173.88,18287.2,447.7,1.88
2014-05-13,40.76,71173.88,NA,NA,1.88
2014-05-14,40.76,71173.88,36490.4,891.6,1.88
2014-05-15,40.08,69981.0,38426.6,954.9,1.91
2014-05-16,40.08,69981.0,48772.8,1210.8,1.91
2014-05-19,40.08,69981.0,23196.3,578.8,1.91
2014-05-20,39.17,68390.56,56214.8,1425.6,1.95
2014-05-21,40.31,70378.63,87085.8,2202.6,1.9
2014-05-22,40.76,71173.88,58355.0,1425.3,1.88
2014-05-23,40.99,71571.5,88721.0,2213.7,1.87
2014-05-26,40.76,71173.88,24557.7,604.1,1.88
2014-05-27,41.45,72366.75,50594.9,1225.3,1.85
2014-05-28,41.67,72764.38,97568.8,2313.7,1.84
2014-05-29,41.67,72764.38,25978.1,620.4,1.84
2014-05-30,42.36,73957.25,67836.4,1593.8,1.81
2014-06-02,42.81,74752.44,70053.4,1627.1,1.79
2014-06-03,42.59,74354.81,106152.7,2466.4,1.8
2014-06-04,42.36,73962.44,42688.9,999.9,1.81
2014-06-05,41.9,73167.13,44795.9,1061.3,1.83
2014-06-06,42.13,73564.81,62898.2,1498.5,1.82
2014-06-09,41.67,72769.44,31662.3,752.8,1.84
2014-06-10,42.36,73962.44,45364.9,1070.7,1.81
2014-06-11,42.13,73564.81,97011.2,2279.9,1.82
2014-06-12,42.13,73564.81,82369.0,1944.5,1.82
2014-06-13,42.81,74757.69,92084.4,2150.3,1.79
2014-06-16,43.04,75155.38,41221.9,959.7,1.78
2014-06-17,42.59,74360.06,78356.3,1834.1,1.8
2014-06-18,41.9,73167.13,21807.9,514.0,1.83
2014-06-19,42.13,73564.81,18541.2,440.2,1.82
2014-06-20,41.9,73167.13,24509.6,583.8,1.83
2014-06-23,41.67,72769.44,19369.6,461.5,1.84
