Date,Price,MV,VA,VO,DY
2014-01-01,48.57,82396.5,NA,NA,1.12
2014-01-02,46.79,79367.19,81089.8,1723.8,1.16
2014-01-03,44.64,75732.06,164850.0,3675.3,1.22
2014-01-06,46.07,78155.5,44621.4,1009.3,1.18
2014-01-07,45.18,76640.81,66848.4,1479.7,1.2
2014-01-08,44.29,75126.25,23739.1,532.3,1.23
2014-01-09,44.29,75126.25,52609.8,1159.1,1.23
2014-01-10,45.0,76337.94,30623.1,689.2,1.21
2014-01-13,47.32,80276.0,73468.0,1572.1,1.15
2014-01-14,47.68,80881.81,28841.1,607.7,1.14
2014-01-15,45.18,76640.81,35538.0,770.9,1.2
2014-01-16,45.71,77549.69,27433.9,600.6,1.19
2014-01-17,45.71,77549.69,14193.1,310.0,1.19
2014-01-20,45.89,77852.56,20774.4,455.3,1.18
2014-01-21,45.36,76943.75,24139.9,532.4,1.2
2014-01-22,45.54,77252.63,18856.6,415.7,1.19
2014-01-23,46.61,79070.31,39780.9,860.4,1.16
2014-01-24,46.07,78161.5,21501.8,463.8,1.18
2014-01-27,45.36,76949.69,30898.1,678.9,1.2
2014-01-28,44.82,76040.81,39008.9,866.7,1.21
2014-01-29,45.0,76343.81,17296.5,385.7,1.21
2014-01-30,43.75,74223.13,49174.9,1118.7,1.24
2014-01-31,43.93,74526.06,13815.8,314.2,1.24
2014-02-03,44.82,76040.81,26388.8,592.8,1.21
2014-02-04,43.93,74526.06,34397.7,780.2,1.24
2014-02-05,45.0,76343.81,35989.2,801.9,1.21
2014-02-06,47.14,79979.19,61990.3,1338.1,1.15
2014-02-07,47.14,79979.19,27570.2,589.3,1.15
2014-02-10,46.25,78464.44,11505.7,246.4,1.17
2014-02-11,46.79,79373.25,21996.3,471.1,1.16
2014-02-12,47.14,79979.19,33535.8,711.1,1.15
2014-02-13,46.43,78767.38,9111.3,195.3,1.17
2014-02-14,46.43,78767.38,NA,NA,1.17
2014-02-17,47.32,80282.13,23187.9,487.9,1.15
2014-02-18,47.32,80282.13,51052.5,1073.2,1.15
