Date,Price,MV,VA,VO,DY,Date,Ticker,Sector,Industry,High,Low,Open,Close,Volume,Adj Close,FF-01,FF-02,FF-03,FF-04,FF-05,FF-06,FF-07,FF-08,FF-09,FF-11,FF-12
2016-10-28,27.25,82995.0,10034820.0,388433.9,0.0,2016-10-28,BPP,Energy & Utilities,Resources,27.25,24.70000076293945,24.899999618530273,27.25,388183300.0,24.160593032836914,,,,,,,,,,,
2016-10-31,28.25,86040.69,3721530.0,134385.4,0.0,2016-10-31,BPP,Energy & Utilities,Resources,28.75,26.75,27.5,28.25,134347200.0,25.04722023010254,27.25,-0.03603993648319693,,,,,,,,,
2016-11-01,28.0,85279.31,2298397.0,81287.0,0.0,2016-11-01,BPP,Energy & Utilities,Resources,28.75,27.75,28.25,28.0,81274200.0,24.82556343078613,28.25,0.008888947417245994,,,,,,,,,
2016-11-02,28.5,86802.13,2453946.0,86069.1,0.0,2016-11-02,BPP,Energy & Utilities,Resources,29.0,28.0,28.25,28.5,86056600.0,25.26887512207031,28.0,-0.017699577099400975,,,,,,,,,
2016-11-03,28.0,85279.31,3001838.0,104745.2,0.0,2016-11-03,BPP,Energy & Utilities,Resources,29.25,27.75,29.0,28.0,104735600.0,24.82556343078613,28.5,0.017699577099400857,28.0,28.116666666666667,28.0,,,,,,
2016-11-04,27.75,84517.88,1974073.0,71171.1,0.0,2016-11-04,BPP,Energy & Utilities,Resources,28.25,27.25,28.0,27.75,71164000.0,24.60390663146973,28.0,0.008968669982760316,28.1,28.033333333333335,27.916666666666668,,,,,,
2016-11-07,28.0,85279.31,899677.9,31955.2,0.0,2016-11-07,BPP,Energy & Utilities,Resources,28.5,28.0,28.0,28.0,31950600.0,24.82556343078613,27.75,-0.008968669982760375,28.05,28.0,27.944444444444446,,,,,,
2016-11-08,26.75,81472.19,1467724.0,53925.1,0.0,2016-11-08,BPP,Energy & Utilities,Resources,28.25,26.5,28.25,26.75,53920500.0,23.71727561950684,28.0,0.045670036833188266,27.8,27.566666666666666,27.546296296296298,,,,,,
2016-11-09,28.0,85279.31,1821248.0,66486.3,0.0,2016-11-09,BPP,Energy & Utilities,Resources,28.25,26.25,26.5,28.0,66479700.0,24.82556343078613,26.75,-0.04567003683318832,27.7,27.633333333333333,27.69753086419753,,,34.97474747474748,37.9491799373397,,
2016-11-10,27.5,83756.44,733422.6,26471.0,0.0,2016-11-10,BPP,Energy & Utilities,Resources,28.25,27.25,28.0,27.5,26467500.0,24.38224983215332,28.0,0.018018505502678212,27.6,27.566666666666666,27.631687242798353,,,40.993265993266,34.94388327721661,,
2016-11-11,27.5,83756.44,1295401.0,46986.5,0.0,2016-11-11,BPP,Energy & Utilities,Resources,28.25,27.0,27.0,27.5,46983200.0,24.38224983215332,27.5,0.0,27.55,27.533333333333335,27.587791495198903,,0.25,56.48148148148149,44.14983164983165,,
2016-11-14,26.25,79949.31,1228198.0,46238.3,0.0,2016-11-14,BPP,Energy & Utilities,Resources,27.0,26.0,27.0,26.25,46235700.0,23.27396583557129,27.5,0.04652001563489291,27.2,27.1,27.14186099679927,,-2.0,40.74074074074074,46.07182940516273,,
2016-11-15,25.5,77665.06,1302553.0,50662.8,0.0,2016-11-15,BPP,Energy & Utilities,Resources,26.75,25.0,26.75,25.5,50659600.0,22.60899543762207,26.25,0.028987536873252187,26.95,26.533333333333335,26.59457399786618,,-2.5,27.350427350427353,41.52421652421652,,
2016-11-16,25.0,76142.25,799912.8,31266.3,0.0,2016-11-16,BPP,Energy & Utilities,Resources,26.0,25.0,26.0,25.0,31264400.0,22.165679931640625,25.5,0.01980262729617973,26.35,25.883333333333333,26.063049331910786,,-3.5,8.831908831908834,25.641025641025635,-93.40660906892019,
2016-11-17,24.2,73705.63,1533650.0,61975.5,0.0,2016-11-17,BPP,Energy & Utilities,Resources,25.25,24.20000076293945,25.0,24.20000076293945,61971600.0,21.45638084411621,25.0,0.03252316017913697,25.690000152587892,25.166666920979818,25.442033142253674,,-3.7999992370605504,5.12820512820513,13.770180436847099,-100.0,
2016-11-18,25.75,78426.5,1701705.0,68724.3,0.0,2016-11-18,BPP,Energy & Utilities,Resources,25.75,24.0,24.0,25.75,68721700.0,22.83065414428711,24.20000076293945,-0.062081962420681355,25.34000015258789,25.186666870117186,25.54468876150245,42.92452728336655,-2.0,19.444444444444446,11.134852801519463,-66.66666666666667,
2016-11-21,25.0,76142.25,287514.1,11382.3,0.0,2016-11-21,BPP,Energy & Utilities,Resources,25.75,25.0,25.75,25.0,11381400.0,22.165679931640625,25.75,0.02955880224154443,25.09000015258789,25.073333485921225,25.363125841001633,39.89977941895403,-3.0,31.56565656565657,18.712768712768707,-80.95238095238095,
2016-11-22,25.5,77665.06,222244.1,8738.3,0.0,2016-11-22,BPP,Energy & Utilities,Resources,25.75,25.25,25.5,25.5,8737400.0,22.60899543762207,25.0,-0.019802627296179754,25.09000015258789,25.21000010172526,25.408750560667755,42.77985936303297,-1.25,56.565656565656575,35.858585858585855,-71.42857142857143,
2016-11-23,25.75,78426.5,629855.0,24159.0,0.0,2016-11-23,BPP,Energy & Utilities,Resources,26.5,25.75,26.0,25.75,24157600.0,22.83065414428711,25.5,-0.009756174945364685,25.24000015258789,25.43000005086263,25.522500373778502,44.21205410731792,-2.25,60.45454545454546,49.52861952861952,-61.111111111111114,
2016-11-24,25.25,76903.63,174915.7,6908.2,0.0,2016-11-24,BPP,Energy & Utilities,Resources,25.75,25.0,25.75,25.25,6907300.0,22.387338638305664,25.75,0.019608471388376337,25.45,25.433333333333334,25.431666915852336,41.9614610479131,-2.25,65.0,60.67340067340067,-72.22222222222223,
2016-11-25,25.5,77665.06,161641.9,6333.8,0.0,2016-11-25,BPP,Energy & Utilities,Resources,25.75,25.25,25.25,25.5,6332900.0,22.60899543762207,25.25,-0.009852296443011594,25.4,25.45,25.454444610568224,43.50217231938157,-2.0,51.111111111111114,58.85521885521885,-64.70588235294117,
2016-11-28,25.5,77665.06,131775.9,5197.7,0.0,2016-11-28,BPP,Energy & Utilities,Resources,25.75,25.0,25.5,25.5,5197000.0,22.60899543762207,25.5,0.0,25.5,25.483333333333334,25.469629740378817,43.50217231938158,-0.75,38.88888888888889,51.66666666666666,-64.70588235294117,
2016-11-29,24.9,75837.63,218069.2,8691.8,0.0,2016-11-29,BPP,Energy & Utilities,Resources,25.75,24.899999618530273,25.75,24.899999618530273,8690700.0,22.07701873779297,25.5,0.023810664013787886,25.379999923706055,25.283333206176756,25.279753033095968,40.53735358433235,-0.6000003814697266,22.22222222222223,37.4074074074074,-78.82353838752297,
2016-11-30,25.25,76903.63,209450.0,8381.0,0.0,2016-11-30,BPP,Energy & Utilities,Resources,25.25,24.79999923706055,24.899999618530273,25.25,8379700.0,22.387338638305664,24.899999618530273,-0.013958367570776398,25.279999923706054,25.23999989827474,25.269835355397312,42.966734710964936,0.25,26.90059888468151,29.3372366652642,-70.58823529411764,
2016-12-01,24.8,75533.06,231651.7,9263.5,0.0,2016-12-01,BPP,Energy & Utilities,Resources,25.5,24.79999923706055,25.5,24.79999923706055,9262200.0,21.98835563659668,25.25,0.017982533314120336,25.189999771118163,25.079999669392905,25.113223315951725,40.6773836900403,0.5999984741211009,15.789487773570398,21.637436293491366,-73.33335876464832,
2016-12-02,24.4,74314.81,246048.8,10013.3,0.0,2016-12-02,BPP,Energy & Utilities,Resources,25.0,24.29999923706055,25.0,24.399999618530273,10012400.0,21.63370704650879,24.79999923706055,0.01626050574209758,24.969999694824217,24.81666628519694,24.87548208347791,38.712913494012795,-1.3500003814697266,18.088345908122957,20.259477522124943,-85.45455932617188,
