Date,Price,MV,VA,VO,DY
2014-01-01,1.0,11000.0,NA,NA,0.0
2014-01-02,0.96,10560.0,5465.7,5632.0,0.0
2014-01-03,0.95,10450.0,4598.6,4872.6,0.0
2014-01-06,0.94,10340.0,2012.5,2136.0,0.0
2014-01-07,0.96,10615.0,3823.6,3979.0,0.0
2014-01-08,0.97,10670.0,2889.3,2991.0,0.0
2014-01-09,0.98,10780.0,4316.6,4417.0,0.0
2014-01-10,0.96,10615.0,3451.3,3606.0,0.0
2014-01-13,0.97,10725.0,1766.3,1818.0,0.0
2014-01-14,0.98,10780.0,827.3,844.0,0.0
2014-01-15,0.97,10725.0,805.6,826.0,0.0
2014-01-16,0.98,10835.0,1391.8,1425.0,0.0
2014-01-17,1.02,11220.0,26854.4,26405.9,0.0
2014-01-20,1.01,11110.0,3600.6,3533.0,0.0
2014-01-21,1.02,11220.0,2574.0,2524.0,0.0
2014-01-22,1.03,11330.0,10268.2,9993.0,0.0
2014-01-23,1.02,11220.0,4613.9,4494.0,0.0
2014-01-24,1.02,11220.0,3056.0,2990.0,0.0
2014-01-27,1.01,11110.0,1336.3,1324.0,0.0
2014-01-28,1.0,11000.0,1268.0,1264.0,0.0
2014-01-29,1.0,11000.0,1369.6,1368.0,0.0
2014-01-30,1.0,11000.0,783.8,784.0,0.0
2014-01-31,1.0,11000.0,1980.6,1981.0,0.0
2014-02-03,1.0,11000.0,1369.8,1366.0,0.0
2014-02-04,1.03,11330.0,19907.1,19221.0,0.0
2014-02-05,1.02,11220.0,2675.1,2602.0,0.0
2014-02-06,1.02,11220.0,2537.1,2480.0,0.0
2014-02-07,1.01,11110.0,3459.4,3406.0,0.0
2014-02-10,1.0,11000.0,1821.4,1814.0,0.0
2014-02-11,0.99,10945.0,4976.0,4972.0,0.0
2014-02-12,1.0,11000.0,2235.6,2225.1,0.0
2014-02-13,1.0,11000.0,6802.7,6802.0,0.0
2014-02-14,1.0,11000.0,NA,NA,0.0
2014-02-17,1.02,11220.0,10309.1,10095.0,0.0
2014-02-18,1.02,11220.0,10429.9,10168.0,0.0
2014-02-19,1.05,11550.0,17025.2,16356.0,0.0
2014-02-20,1.02,11220.0,5420.9,5274.0,0.0
