Date,Price,MV,VA,VO,DY
2014-01-01,42.0,377290.1,NA,NA,2.14
2014-01-02,40.0,359323.9,1065077.0,25792.3,2.25
2014-01-03,40.0,359323.9,807383.4,20419.4,2.25
2014-01-06,40.25,361569.7,509632.6,12870.1,2.24
2014-01-07,41.0,368307.0,408137.8,10010.9,2.2
2014-01-08,40.5,363815.4,602480.9,14810.4,2.22
2014-01-09,41.0,368307.0,782601.1,19198.1,2.2
2014-01-10,39.75,357078.1,1542770.0,39295.1,2.26
2014-01-13,40.75,366061.2,648383.2,16377.5,2.21
2014-01-14,39.75,357078.1,950015.6,23698.4,2.26
2014-01-15,39.25,352586.6,707920.9,18020.1,2.29
2014-01-16,39.75,357078.1,614332.8,15492.6,2.26
2014-01-17,39.5,354832.4,432701.0,10911.9,2.28
2014-01-20,40.25,361569.7,390084.4,9718.7,2.24
2014-01-21,40.5,363815.4,529093.0,13136.0,2.22
2014-01-22,39.75,357078.1,467317.8,11723.3,2.26
2014-01-23,40.5,363815.4,763391.2,19132.1,2.22
2014-01-24,40.0,359323.9,527299.8,13130.5,2.25
2014-01-27,40.0,359323.9,873388.4,21999.3,2.25
2014-01-28,39.75,357078.1,1017810.0,25523.1,2.26
2014-01-29,39.5,354832.4,370111.0,9363.9,2.28
2014-01-30,39.0,350340.8,364850.3,9362.8,2.31
2014-01-31,39.25,352586.6,454586.1,11691.4,2.29
2014-02-03,39.5,354832.4,461547.2,11652.1,2.28
2014-02-04,39.0,350340.8,517499.3,13175.7,2.31
2014-02-05,39.0,350340.8,534948.4,13677.9,2.31
2014-02-06,39.25,352586.6,615277.1,15748.1,2.29
2014-02-07,39.75,357078.1,571185.5,14394.0,2.26
2014-02-10,39.0,350340.8,575680.8,14716.6,2.31
2014-02-11,38.75,348095.1,854173.0,22064.1,2.32
2014-02-12,38.75,348095.1,388925.3,10041.6,2.32
2014-02-13,38.5,345849.3,249854.8,6437.4,2.34
2014-02-14,38.5,345849.3,NA,NA,2.34
2014-02-17,39.75,357078.1,493408.1,12517.3,2.26
2014-02-18,39.25,352586.6,263130.1,6705.4,2.29
2014-02-19,39.75,357078.1,394217.4,9973.3,2.26
2014-02-20,39.0,350340.8,627083.4,16050.4,2.31
2014-02-21,38.25,343603.5,563348.4,14668.8,2.35
2014-02-24,38.25,343603.5,313652.5,8198.0,2.35
2014-02-25,38.5,345849.3,321159.2,8350.3,2.34
2014-02-26,38.0,341357.7,717724.7,18698.3,2.37
2014-02-27,38.75,348095.1,429952.3,11165.6,2.32
2014-02-28,39.25,352586.6,509485.6,13096.1,2.29
2014-03-03,40.0,359323.9,1281265.0,32234.7,2.25
2014-03-04,40.5,363815.4,695504.3,17205.3,2.22
2014-03-05,41.0,368307.0,546547.4,13359.8,2.2
2014-03-06,40.5,363815.4,422023.6,10383.9,2.22
2014-03-07,40.5,363815.4,210670.4,5185.0,2.22
2014-03-10,40.0,359323.9,606299.0,15115.6,2.25
2014-03-11,41.75,375044.3,754912.1,18317.9,2.16
2014-03-12,41.75,375044.3,1100815.0,26208.4,2.16
2014-03-13,42.0,377290.1,914882.4,21789.2,2.14
2014-03-14,42.25,379535.9,658062.0,15677.5,2.13
2014-03-17,42.5,381781.7,592395.0,13992.0,2.12
2014-03-18,43.5,390764.8,1174380.0,27244.1,2.07
2014-03-19,43.25,388518.9,844389.6,19432.2,2.08
2014-03-20,42.75,384027.4,1031619.0,24136.1,2.11
2014-03-21,43.25,388518.9,587539.4,13638.6,2.08
2014-03-24,43.5,390764.8,657306.9,15190.5,2.07
2014-03-25,43.0,386273.2,438090.8,10225.0,2.09
2014-03-26,42.75,384027.4,650474.1,15164.9,2.11
2014-03-27,42.0,377290.1,770041.5,18164.0,2.14
2014-03-28,42.75,384027.4,833923.3,19621.6,2.11
2014-03-31,43.5,390764.8,399156.8,9226.1,2.07
2014-04-01,43.75,393010.5,409618.6,9461.1,2.06
2014-04-02,44.0,395256.3,848731.3,19300.9,2.05
2014-04-03,44.5,399747.9,830764.3,18768.8,2.02
2014-04-04,44.5,399747.9,567732.5,12792.1,2.02
2014-04-07,44.5,399747.9,NA,NA,2.02
2014-04-08,43.75,393010.5,673965.9,15277.7,2.06
2014-04-09,44.0,395256.3,390173.3,8889.0,2.05
2014-04-10,44.0,395256.3,299654.3,6852.2,2.05
2014-04-11,44.0,395256.3,313076.9,7154.1,2.05
2014-04-14,44.0,395256.3,NA,NA,2.05
2014-04-15,44.0,395256.3,NA,NA,2.05
2014-04-16,43.5,390764.8,680529.0,15599.5,2.07
2014-04-17,44.75,401993.6,1152682.0,26183.5,2.01
2014-04-18,44.5,399747.9,216484.1,4879.9,2.02
2014-04-21,44.5,399747.9,326359.5,7316.7,2.02
2014-04-22,44.0,395256.3,541788.1,12270.9,2.05
2014-04-23,43.75,393010.5,468096.9,10635.8,2.06
2014-04-24,44.0,395256.3,303209.3,6918.8,2.05
2014-04-25,43.75,393010.5,362739.1,8254.3,2.06
2014-04-28,42.5,381781.7,868944.6,20188.2,2.12
2014-04-29,42.75,384027.4,665377.3,15554.7,2.11
2014-04-30,42.0,377290.1,584650.3,13895.5,2.14
2014-05-01,42.0,377290.1,NA,NA,2.14
2014-05-02,43.5,390764.8,783134.2,18257.8,2.07
2014-05-05,43.5,390764.8,NA,NA,2.07
2014-05-06,43.0,386273.2,674098.8,15540.2,2.09
2014-05-07,43.75,393010.5,596676.5,13745.1,2.06
