Date,Price,MV,VA,VO,DY
2014-01-01,32.0,247774.1,NA,NA,2.34
2014-01-02,30.5,236159.6,701735.9,22566.9,2.46
2014-01-03,30.5,236159.6,484028.4,15993.5,2.46
2014-01-06,29.25,226480.9,590294.0,20069.1,2.56
2014-01-07,30.5,236159.6,485823.9,16114.7,2.46
2014-01-08,29.75,230352.4,849399.3,27973.3,2.52
2014-01-09,29.5,228416.7,479466.6,16055.0,2.54
2014-01-10,30.0,232288.1,469984.1,15689.6,2.5
2014-01-13,30.0,232288.1,334620.3,11196.5,2.5
2014-01-14,30.75,238095.4,442612.7,14418.5,2.44
2014-01-15,29.5,228416.7,673323.4,22376.2,2.54
2014-01-16,29.5,228416.7,876086.8,29802.8,2.54
2014-01-17,29.25,226480.9,416955.2,14213.6,2.56
2014-01-20,30.0,232288.1,552642.4,18621.7,2.5
2014-01-21,29.5,228416.7,385324.9,12903.8,2.54
2014-01-22,29.75,230352.4,413570.4,13840.0,2.52
2014-01-23,30.0,232288.1,586300.0,19471.9,2.5
2014-01-24,30.0,232288.1,447125.8,14921.2,2.5
2014-01-27,29.25,226480.9,463742.6,15701.9,2.56
2014-01-28,28.5,220673.8,639103.4,22214.3,2.63
2014-01-29,28.0,216802.3,506217.8,17856.2,2.68
2014-01-30,27.75,214866.6,294435.1,10684.8,2.7
2014-01-31,28.5,220673.8,270626.1,9599.5,2.63
2014-02-03,29.0,224545.3,403364.1,13910.0,2.59
2014-02-04,28.25,218738.0,478014.5,16858.4,2.65
2014-02-05,28.25,218738.0,679282.5,24055.6,2.65
2014-02-06,28.5,220673.8,583464.1,20541.0,2.63
2014-02-07,28.25,218738.0,328160.2,11475.7,2.65
2014-02-10,28.0,216802.3,412023.7,14646.8,2.68
2014-02-11,28.0,216802.3,305772.4,10921.5,2.68
2014-02-12,27.25,210995.1,830103.9,30067.5,2.75
2014-02-13,26.0,201316.4,1157149.0,43624.8,2.88
2014-02-14,26.0,201316.4,NA,NA,2.88
2014-02-17,27.0,209059.3,1335888.0,49875.4,2.78
2014-02-18,26.75,207123.6,575213.0,21752.5,2.8
2014-02-19,27.0,209059.3,378742.1,14184.2,2.78
2014-02-20,26.25,203252.1,489467.3,18589.5,2.86
2014-02-21,27.0,209059.3,409899.3,15393.2,2.78
2014-02-24,26.5,205187.9,255599.6,9603.1,1.89
2014-02-25,27.25,210995.1,524442.1,19283.0,1.83
2014-02-26,27.25,210995.1,394192.6,14375.4,1.83
