Date,Price,MV,VA,VO,DY,Date,Ticker,Sector,Industry,High,Low,Open,Close,Volume,Adj Close,FF-01,FF-02,FF-03,FF-04,FF-05,FF-06,FF-07,FF-08,FF-09,FF-11,FF-12
2014-01-02,30.5,236159.6,701735.9,22566.9,2.46,2014-01-02,CPF,Food & Beverage,Agro & Food Industry,31.75,30.5,31.0,30.5,22566400.0,24.251523971557614,,,,,,,,,,,
2014-01-03,30.5,236159.6,484028.4,15993.5,2.46,2014-01-03,CPF,Food & Beverage,Agro & Food Industry,31.0,29.5,30.0,30.5,15993000.0,24.251523971557614,30.5,0.0,,,,,,,,,
2014-01-06,29.25,226480.9,590294.0,20069.1,2.56,2014-01-06,CPF,Food & Beverage,Agro & Food Industry,30.5,29.0,30.5,29.25,20068700.0,23.257606506347656,30.5,0.041847109935500504,,,,,,,,,
2014-01-07,30.5,236159.6,485823.9,16114.7,2.46,2014-01-07,CPF,Food & Beverage,Agro & Food Industry,30.5,29.5,29.5,30.5,16114600.0,24.251523971557614,29.25,-0.04184710993550049,,,,,,,,,
2014-01-08,29.75,230352.4,849399.3,27973.3,2.52,2014-01-08,CPF,Food & Beverage,Agro & Food Industry,31.0,29.5,30.5,29.75,27972700.0,23.65517425537109,30.5,0.024897551621727087,30.1,30.0,30.1,,,,,,
2014-01-09,29.5,228416.7,479466.6,16055.0,2.54,2014-01-09,CPF,Food & Beverage,Agro & Food Industry,30.25,29.5,30.0,29.5,16054600.0,23.456388473510746,29.75,0.008438868645864604,29.9,29.8,29.900000000000002,,,,,,
2014-01-10,30.0,232288.1,469984.1,15689.6,2.5,2014-01-10,CPF,Food & Beverage,Agro & Food Industry,30.25,29.25,29.25,30.0,15689500.0,23.85395812988281,29.5,-0.01680711831638129,29.8,29.833333333333332,29.933333333333334,,,,,,
2014-01-13,30.0,232288.1,334620.3,11196.5,2.5,2014-01-13,CPF,Food & Beverage,Agro & Food Industry,30.25,29.5,29.75,30.0,11196400.0,23.85395812988281,30.0,0.0,29.95,29.9,29.955555555555556,,,,,,
2014-01-14,30.75,238095.4,442612.7,14418.5,2.44,2014-01-14,CPF,Food & Beverage,Agro & Food Industry,31.25,29.75,30.0,30.75,14418000.0,24.450305938720703,30.0,-0.02469261259037152,30.0,30.166666666666668,30.22037037037037,,,55.952380952380956,43.109668109668114,,
2014-01-15,29.5,228416.7,673323.4,22376.2,2.54,2014-01-15,CPF,Food & Beverage,Agro & Food Industry,31.0,29.5,30.75,29.5,22375800.0,23.456388473510746,30.75,0.04149973090675284,29.95,30.0,29.98024691358025,,,43.452380952380956,46.230158730158735,,
2014-01-16,29.5,228416.7,876086.8,29802.8,2.54,2014-01-16,CPF,Food & Beverage,Agro & Food Industry,29.75,29.0,29.5,29.5,29802500.0,23.456388473510746,29.5,0.0,29.95,29.85,29.8201646090535,,-1.0,36.574074074074076,45.326278659612,,
2014-01-17,29.25,226480.9,416955.2,14213.6,2.56,2014-01-17,CPF,Food & Beverage,Agro & Food Industry,29.75,29.0,29.5,29.25,14213300.0,23.257606506347656,29.5,0.00851068966790861,29.8,29.616666666666667,29.630109739369,,-1.25,15.27777777777778,31.76807760141094,,
2014-01-20,30.0,232288.1,552642.4,18621.7,2.5,2014-01-20,CPF,Food & Beverage,Agro & Food Industry,30.25,29.0,29.25,30.0,16286000.0,23.85395812988281,29.25,-0.025317807984289897,29.8,29.683333333333334,29.753406492912667,,0.75,25.925925925925927,25.925925925925934,,
2014-01-21,29.5,228416.7,385324.9,12903.8,2.54,2014-01-21,CPF,Food & Beverage,Agro & Food Industry,30.5,29.5,30.25,29.5,12903700.0,23.456388473510746,30.0,0.01680711831638119,29.55,29.583333333333332,29.66893766194178,,-1.0,26.85185185185186,22.685185185185194,-81.81818181818181,
2014-01-22,29.75,230352.4,413570.4,13840.0,2.52,2014-01-22,CPF,Food & Beverage,Agro & Food Industry,30.25,29.5,29.75,29.75,13839500.0,23.65517425537109,29.5,-0.008438868645864595,29.6,29.65,29.69595844129452,,0.0,39.81481481481482,30.864197530864207,-66.66666666666667,
2014-01-23,30.0,232288.1,586300.0,19471.9,2.5,2014-01-23,CPF,Food & Beverage,Agro & Food Industry,30.5,29.75,30.0,30.0,19471600.0,23.85395812988281,29.75,-0.00836824967051658,29.7,29.783333333333335,29.797305627529678,46.875,0.5,47.22222222222223,37.962962962962976,-55.55555555555556,
2014-01-24,30.0,232288.1,447125.8,14921.2,2.5,2014-01-24,CPF,Food & Beverage,Agro & Food Industry,30.25,29.75,30.25,30.0,14921100.0,23.85395812988281,30.0,0.0,29.85,29.883333333333333,29.864870418353117,46.875,0.0,61.11111111111112,49.38271604938273,-55.55555555555556,
2014-01-27,29.25,226480.9,463742.6,15701.9,2.56,2014-01-27,CPF,Food & Beverage,Agro & Food Industry,30.25,29.25,29.75,29.25,15701900.0,23.257606506347656,30.0,0.025317807984289786,29.7,29.683333333333334,29.65991361223541,42.320426083201376,-0.75,44.44444444444446,50.925925925925945,-88.88888888888889,
2014-01-28,28.5,220673.8,639103.4,22214.3,2.63,2014-01-28,CPF,Food & Beverage,Agro & Food Industry,29.75,28.25,29.5,28.5,22213900.0,22.66125679016113,29.25,0.025975486403260736,29.5,29.283333333333335,29.273275741490274,38.33008949275024,-2.25,25.925925925925938,43.82716049382717,-91.66666666666667,
2014-01-29,28.0,216802.3,506217.8,17856.2,2.68,2014-01-29,CPF,Food & Beverage,Agro & Food Industry,28.75,28.0,28.5,28.0,17855800.0,22.26369285583496,28.5,0.017699577099400857,29.15,28.783333333333335,28.84885049432685,35.9114851440722,-1.5,3.7037037037037144,24.69135802469137,-100.0,
2014-01-30,27.75,214866.6,294435.1,10684.8,2.7,2014-01-30,CPF,Food & Beverage,Agro & Food Industry,28.0,27.25,27.5,27.75,10684600.0,22.06490898132324,28.0,0.008968669982760316,28.7,28.316666666666666,28.4825669962179,34.737253704076,-1.75,9.25925925925927,12.962962962962976,-87.5,
2014-01-31,28.5,220673.8,270626.1,9599.5,2.63,2014-01-31,CPF,Food & Beverage,Agro & Food Industry,28.5,27.75,28.0,28.5,9599100.0,22.66125679016113,27.75,-0.026668247082161294,28.4,28.25,28.4883779974786,40.94406272994171,-0.75,19.444444444444457,10.802469135802482,-68.75,
