Date,Price,MV,VA,VO,DY,Date,Ticker,Sector,Industry,High,Low,Open,Close,Volume,Adj Close,FF-01,FF-02,FF-03,FF-04,FF-05,FF-06,FF-07,FF-08,FF-09,FF-11,FF-12
2014-01-02,37.5,168299.9,305973.7,7985.6,1.27,2014-01-02,CPN,Property Development,Property & Construction,40.0,37.5,40.0,37.5,7985200.0,32.780288696289055,,,,,,,,,,,
2014-01-03,37.0,166055.9,297593.1,7963.2,1.28,2014-01-03,CPN,Property Development,Property & Construction,38.5,36.25,37.25,37.0,7962800.0,32.343223571777344,37.5,0.01342302033214077,,,,,,,,,
2014-01-06,37.5,168299.9,307213.1,8193.6,1.27,2014-01-06,CPN,Property Development,Property & Construction,38.0,37.0,37.5,37.5,8193300.0,32.780288696289055,37.0,-0.013423020332140661,,,,,,,,,
2014-01-07,39.0,175031.9,309597.8,8059.8,1.22,2014-01-07,CPN,Property Development,Property & Construction,39.0,37.5,38.0,39.0,8059600.0,34.091506958007805,37.5,-0.03922071315328127,,,,,,,,,
2014-01-08,38.75,173909.9,223316.4,5778.4,1.23,2014-01-08,CPN,Property Development,Property & Construction,39.25,38.0,39.0,38.75,5778300.0,33.872970581054695,39.0,0.006430890330290331,37.95,38.25,37.95,,,,,,
2014-01-09,38.75,173909.9,226783.9,5825.9,1.23,2014-01-09,CPN,Property Development,Property & Construction,39.75,37.75,39.25,38.75,5825700.0,33.872970581054695,38.75,0.0,38.2,38.516666666666666,38.21666666666667,,,,,,
2014-01-10,38.0,170543.9,164878.1,4344.0,1.25,2014-01-10,CPN,Property Development,Property & Construction,38.5,37.5,38.0,38.0,4344000.0,33.21736526489258,38.75,0.01954459607297013,38.4,38.45,38.144444444444446,,,,,,
2014-01-13,40.25,180641.9,228073.5,5810.5,1.18,2014-01-13,CPN,Property Development,Property & Construction,40.25,37.5,37.75,40.25,5810300.0,35.184181213378906,38.0,-0.0575238441381866,38.95,39.06666666666667,38.846296296296295,,,,,,
2014-01-14,39.75,178397.9,191203.4,4813.8,1.19,2014-01-14,CPN,Property Development,Property & Construction,40.0,39.25,39.75,39.75,3972100.0,34.747108459472656,40.25,0.012500162764231468,39.1,39.333333333333336,39.14753086419753,,,72.72727272727272,66.71476671476671,,
2014-01-15,38.75,173909.9,280157.6,7226.6,1.23,2014-01-15,CPN,Property Development,Property & Construction,39.5,38.25,39.25,38.75,7226500.0,33.872970581054695,39.75,0.025479085300984968,39.1,39.21666666666667,39.01502057613168,,,75.75757575757575,72.58297258297257,,
2014-01-16,40.0,179519.9,232017.1,5863.3,1.19,2014-01-16,CPN,Property Development,Property & Construction,40.25,38.75,39.0,40.0,5863200.0,34.96564102172852,38.75,-0.0317486983145803,39.35,39.516666666666666,39.34334705075445,,2.5,72.72727272727272,73.73737373737374,,
2014-01-17,39.75,178397.9,137909.7,3456.3,1.19,2014-01-17,CPN,Property Development,Property & Construction,40.5,39.5,40.0,39.75,3456300.0,34.747108459472656,40.0,0.006269613013595395,39.7,39.65,39.4788980338363,,2.75,70.45454545454545,72.97979797979798,,
2014-01-20,39.0,175031.9,200778.9,5140.9,1.22,2014-01-20,CPN,Property Development,Property & Construction,39.75,38.75,39.75,39.0,4736800.0,34.091506958007805,39.75,0.01904819497069441,39.45,39.416666666666664,39.31926535589087,,1.5,66.41414141414141,69.86531986531986,,
2014-01-21,39.0,175031.9,168963.8,4312.6,1.22,2014-01-21,CPN,Property Development,Property & Construction,39.5,39.0,39.25,39.0,4312500.0,34.091506958007805,39.0,0.0,39.3,39.266666666666666,39.21284357059391,,0.0,47.22222222222222,61.36363636363637,-35.29411764705882,
2014-01-22,39.0,175031.9,241191.6,6155.8,1.22,2014-01-22,CPN,Property Development,Property & Construction,39.5,39.0,39.0,39.0,6155800.0,34.091506958007805,39.0,0.0,39.35,39.166666666666664,39.14189571372928,,0.25,26.984126984126977,46.87349687349687,-35.29411764705882,
2014-01-23,39.75,178397.9,161903.2,4087.6,1.19,2014-01-23,CPN,Property Development,Property & Construction,40.0,39.0,39.25,39.75,4087600.0,34.747108459472656,39.0,-0.019048194970694474,39.3,39.3,39.34459714248619,60.97560975609756,1.0,34.92063492063491,36.37566137566137,-21.428571428571427,
2014-01-24,40.0,179519.9,291589.4,7238.0,1.19,2014-01-24,CPN,Property Development,Property & Construction,41.0,39.5,40.0,40.0,7238000.0,34.96564102172852,39.75,-0.006269613013595374,39.35,39.53333333333333,39.56306476165746,61.96943972835315,2.0,42.328042328042315,34.7442680776014,-28.57142857142857,
2014-01-27,38.25,171665.9,332851.4,8649.4,1.24,2014-01-27,CPN,Property Development,Property & Construction,39.25,38.0,39.0,38.25,8649100.0,33.435901641845696,40.0,0.04473589384139152,39.2,39.166666666666664,39.12537650777164,52.031361368496086,-2.0,40.34391534391533,39.19753086419752,-78.57142857142857,
2014-01-28,37.25,167177.9,181230.7,4810.6,1.28,2014-01-28,CPN,Property Development,Property & Construction,38.25,37.25,38.0,37.25,4810400.0,32.56175994873047,38.25,0.026491615446976285,38.85,38.516666666666666,38.50025100518109,47.37936606752587,-2.5,21.29629629629628,34.65608465608464,-100.0,
