Date,Price,MV,VA,VO,DY
2014-01-01,7.25,5023.04,NA,NA,3.04
2014-01-02,6.6,4572.69,18391.7,2699.4,3.34
2014-01-03,6.6,4572.69,20616.7,3104.3,3.34
2014-01-06,6.45,4468.77,18666.9,2874.6,3.42
2014-01-07,6.85,4745.9,23281.0,3448.5,3.22
2014-01-08,6.65,4607.34,10771.3,1598.3,3.32
2014-01-09,6.55,4538.05,8481.7,1268.9,3.37
2014-01-10,6.5,4503.41,6922.7,1066.9,3.39
2014-01-13,6.65,4607.34,5701.7,873.2,3.32
2014-01-14,7.05,4884.47,51658.4,7393.8,3.13
2014-01-15,6.95,4815.18,45253.4,6346.8,3.17
2014-01-16,7.3,5057.68,49163.4,6767.8,3.02
2014-01-17,7.2,4988.39,51108.5,6923.9,3.06
2014-01-20,7.1,4919.11,7051.7,991.0,3.11
2014-01-21,7.1,4919.11,14430.6,2016.6,3.11
2014-01-22,7.05,4884.47,10100.1,1438.7,3.13
2014-01-23,7.1,4919.11,5189.3,732.0,3.11
2014-01-24,7.3,5057.68,51656.7,7102.1,3.02
2014-01-27,7.15,4953.75,8188.5,1144.6,3.08
2014-01-28,7.15,4953.75,57539.3,7901.9,3.08
2014-01-29,7.1,4919.11,15008.0,2101.4,3.11
2014-01-30,7.0,4849.82,4690.0,665.3,3.15
2014-01-31,7.05,4884.47,2745.0,388.0,3.13
2014-02-03,7.2,4988.39,7027.8,976.6,3.06
2014-02-04,7.3,5057.68,17119.7,2365.3,3.02
2014-02-05,7.85,5438.73,138579.4,18080.2,2.81
2014-02-06,7.8,5404.09,38257.5,4890.1,2.83
2014-02-07,7.6,5265.53,23321.1,3021.7,2.9
2014-02-10,7.55,5230.88,19395.1,2566.9,2.92
2014-02-11,7.75,5369.45,39756.0,5123.7,2.85
2014-02-12,7.7,5334.81,28970.7,3737.7,2.86
2014-02-13,7.65,5300.17,14856.0,1933.6,2.88
2014-02-14,7.65,5300.17,NA,NA,2.88
2014-02-17,7.75,5369.45,33556.3,4343.7,2.85
2014-02-18,7.6,5265.53,24938.1,3257.1,2.9
2014-02-19,7.6,5265.53,10729.7,1407.8,2.9
2014-02-20,7.5,5196.24,11276.2,1484.4,2.94
2014-02-21,7.75,5369.45,17763.5,2322.1,2.85
2014-02-24,7.7,5334.81,13379.2,1752.8,2.86
2014-02-25,7.75,5369.45,34666.9,4470.4,2.85
2014-02-26,8.05,5577.3,178980.9,22290.2,2.74
2014-02-27,8.15,5646.59,62414.5,7714.2,2.71
2014-02-28,8.15,5646.59,57214.6,7104.4,1.84
2014-03-03,8.3,5750.51,150705.3,18239.1,1.81
2014-03-04,8.75,6062.28,289622.1,33277.1,1.71
2014-03-05,8.95,6200.85,119182.7,13422.2,1.68
2014-03-06,8.8,6096.93,45123.1,5079.3,1.7
2014-03-07,8.9,6166.21,51783.5,5786.0,1.69
2014-03-10,8.9,6166.21,39062.2,4411.7,1.69
2014-03-11,9.3,6443.34,115115.7,12485.8,1.61
2014-03-12,9.15,6339.41,43144.8,4709.5,1.64
2014-03-13,9.2,6374.06,23698.2,2580.3,1.63
2014-03-14,9.35,6477.98,37379.5,4019.2,1.6
2014-03-17,9.85,6824.4,173441.4,17912.4,1.52
2014-03-18,9.9,6859.04,208501.1,20928.1,1.52
2014-03-19,9.7,6720.47,71699.8,7281.2,1.55
2014-03-20,9.95,6893.68,80016.8,8246.9,1.51
2014-03-21,10.0,6928.32,114895.1,11440.8,1.5
2014-03-24,10.2,7066.89,171305.6,16857.8,1.47
2014-03-25,10.2,7066.89,56550.8,5529.1,1.47
2014-03-26,10.2,7066.89,67742.1,6641.9,1.47
2014-03-27,9.7,6720.47,159216.9,16179.2,1.55
2014-03-28,9.75,6755.12,42299.1,4326.9,1.54
2014-03-31,9.8,6789.76,18283.3,1853.0,1.53
2014-04-01,9.9,6859.04,24959.3,2537.4,1.52
2014-04-02,10.0,6928.32,77719.8,7793.3,1.5
2014-04-03,10.0,6928.32,69633.6,6913.4,1.5
2014-04-04,9.75,6755.12,82422.8,8390.8,1.54
2014-04-07,9.75,6755.12,NA,NA,1.54
2014-04-08,9.5,6581.91,71346.1,7477.1,1.58
2014-04-09,9.5,6581.91,33603.7,3526.5,1.58
2014-04-10,9.4,6512.63,58497.9,6150.8,1.6
2014-04-11,9.35,6477.98,34117.9,3646.4,1.6
2014-04-14,9.35,6477.98,NA,NA,1.6
2014-04-15,9.35,6477.98,NA,NA,1.6
2014-04-16,9.25,6408.7,35707.5,3827.2,1.62
2014-04-17,9.05,6270.13,71612.0,7871.7,1.66
2014-04-18,9.25,6408.7,50149.2,5451.2,1.62
2014-04-21,9.3,6443.34,33151.9,3549.8,1.61
2014-04-22,9.3,6443.34,19232.6,2062.8,1.61
2014-04-23,9.6,6651.19,81948.6,8582.7,1.56
2014-04-24,9.45,6547.27,44144.1,4630.4,1.59
2014-04-25,9.2,6374.06,40084.3,4319.3,1.63
2014-04-28,9.15,6339.41,11230.6,1229.8,1.64
2014-04-29,9.2,6374.06,19517.7,2125.0,1.63
2014-04-30,9.1,6304.77,25270.9,2753.9,1.65
2014-05-01,9.1,6304.77,NA,NA,1.65
2014-05-02,9.15,6339.41,23273.4,2538.8,1.64
2014-05-05,9.15,6339.41,NA,NA,1.64
2014-05-06,8.85,6131.57,28442.8,3162.5,1.69
2014-05-07,8.8,6096.93,18721.6,2140.0,1.7
2014-05-08,8.55,5923.72,21650.5,2515.4,1.75
2014-05-09,8.5,5889.07,10383.6,1209.3,1.76
2014-05-12,8.55,5923.72,10572.6,1250.1,1.75
2014-05-13,8.55,5923.72,NA,NA,1.75
2014-05-14,8.8,6096.93,19154.6,2200.1,1.7
2014-05-15,9.0,6235.49,48418.7,5434.0,1.67
2014-05-16,8.9,6166.21,86339.1,9548.0,1.69
2014-05-19,8.9,6166.21,5740.4,644.9,1.69
2014-05-20,8.7,6027.64,19584.9,2249.8,1.72
2014-05-21,8.7,6027.64,40333.9,4609.8,1.72
2014-05-22,8.7,6027.64,29154.9,3320.3,1.72
2014-05-23,8.6,5958.36,43344.8,5113.2,1.74
2014-05-26,8.5,5889.07,19687.9,2301.0,1.76
2014-05-27,8.7,6027.64,23354.7,2688.7,1.72
2014-05-28,8.8,6096.93,59117.9,6690.6,1.7
2014-05-29,8.9,6166.21,42463.2,4749.4,1.69
2014-05-30,9.45,6547.27,141996.8,15369.1,1.59
2014-06-02,9.95,6893.68,292508.8,29997.6,1.51
2014-06-03,10.2,7066.89,622034.1,60230.0,1.47
2014-06-04,10.6,7344.02,547280.2,52514.5,1.42
2014-06-05,10.6,7344.02,641844.4,59405.5,1.42
2014-06-06,10.5,7274.74,178415.3,16753.5,1.43
2014-06-09,10.5,7274.74,128913.3,12188.7,1.43
2014-06-10,10.8,7482.59,203173.1,19018.5,1.39
