Date,Price,MV,VA,VO,DY,Date,Ticker,Sector,Industry,High,Low,Open,Close,Volume,Adj Close,FF-01,FF-02,FF-03,FF-04,FF-05,FF-06,FF-07,FF-08,FF-09,FF-11,FF-12
2014-01-02,6.6,4572.69,18391.7,2699.4,3.34,2014-01-02,DEMCO,Energy & Utilities,Resources,7.1500000953674325,6.5999999046325675,7.1500000953674325,6.5999999046325675,2699400.0,6.032534599304199,,,,,,,,,,,
2014-01-03,6.6,4572.69,20616.7,3104.3,3.34,2014-01-03,DEMCO,Energy & Utilities,Resources,6.9000000953674325,6.5,6.6500000953674325,6.5999999046325675,3104200.0,6.032534599304199,6.5999999046325675,0.0,,,,,,,,,
2014-01-06,6.45,4468.77,18666.9,2874.6,3.42,2014-01-06,DEMCO,Energy & Utilities,Resources,6.550000190734862,6.449999809265138,6.5,6.449999809265138,2874600.0,5.895431518554688,6.5999999046325675,0.022989533346384594,,,,,,,,,
2014-01-07,6.85,4745.9,23281.0,3448.5,3.22,2014-01-07,DEMCO,Energy & Utilities,Resources,6.949999809265138,6.5,6.5,6.8499999046325675,3448500.0,6.261039733886719,6.449999809265138,-0.06016853711549666,,,,,,,,,
2014-01-08,6.65,4607.34,10771.3,1598.3,3.32,2014-01-08,DEMCO,Energy & Utilities,Resources,6.8499999046325675,6.6500000953674325,6.8499999046325675,6.6500000953674325,1598300.0,6.078236103057861,6.8499999046325675,0.02963176934315102,6.6299999237060545,6.653333282470703,6.6299999237060545,,,,,,
2014-01-09,6.55,4538.05,8481.7,1268.9,3.37,2014-01-09,DEMCO,Energy & Utilities,Resources,6.800000190734862,6.550000190734862,6.6500000953674325,6.550000190734862,1268900.0,5.986834526062013,6.6500000953674325,0.015151790241743473,6.619999980926513,6.62666670481364,6.6033333460489905,,,,,,
2014-01-10,6.5,4503.41,6922.7,1066.9,3.39,2014-01-10,DEMCO,Energy & Utilities,Resources,6.550000190734862,6.449999809265138,6.550000190734862,6.5,1066900.0,5.941132545471191,6.550000190734862,0.007662901865394935,6.6,6.5866667111714685,6.568888897365993,,,,,,
2014-01-13,6.65,4607.34,5701.7,873.2,3.32,2014-01-13,DEMCO,Energy & Utilities,Resources,6.6500000953674325,6.4000000953674325,6.4000000953674325,6.6500000953674325,873200.0,6.078236103057861,6.5,-0.02281469210713858,6.640000057220459,6.603333409627279,6.595925963366473,,,,,,
2014-01-14,7.05,4884.47,51658.4,7393.8,3.13,2014-01-14,DEMCO,Energy & Utilities,Resources,7.1500000953674325,6.5999999046325675,6.6500000953674325,7.050000190734862,7393800.0,6.443844318389893,6.6500000953674325,-0.05841077487003737,6.680000114440918,6.740000120798746,6.747284039155936,,,47.373762209557334,30.683060263934532,,
2014-01-15,6.95,4815.18,45253.4,6346.8,3.17,2014-01-15,DEMCO,Energy & Utilities,Resources,7.25,6.949999809265138,7.1500000953674325,6.949999809265138,6346800.0,6.352442264556885,7.050000190734862,0.014286011745932088,6.740000057220459,6.830000019073486,6.8148559625256695,,,65.60903481178292,46.04478606714597,,
2014-01-16,7.3,5057.68,49163.4,6767.8,3.02,2014-01-16,DEMCO,Energy & Utilities,Resources,7.4000000953674325,7.0,7.0,7.300000190734862,6767700.0,6.672349452972412,6.949999809265138,-0.04913274214957319,6.890000057220459,7.016666730244954,6.976570705262067,,0.7000002861022949,80.45751495757207,64.48010399297078,,
2014-01-17,7.2,4988.39,51108.5,6923.9,3.06,2014-01-17,DEMCO,Energy & Utilities,Resources,7.5,7.1500000953674325,7.4000000953674325,7.199999809265138,6923900.0,6.580946922302246,7.300000190734862,0.013793374751352349,7.030000019073486,7.119999980926513,7.05104707326309,,0.5999999046325701,75.8110395045495,73.95919642463484,,
2014-01-20,7.1,4919.11,7051.7,991.0,3.11,2014-01-20,DEMCO,Energy & Utilities,Resources,7.199999809265138,7.050000190734862,7.1500000953674325,7.0999999046325675,769200.0,6.48954439163208,7.199999809265138,0.013986228915819205,7.119999980926513,7.143333276112874,7.067364683719583,,0.6500000953674299,72.76093740955896,76.34316395722685,,
2014-01-21,7.1,4919.11,14430.6,2016.6,3.11,2014-01-21,DEMCO,Energy & Utilities,Resources,7.25,7.0999999046325675,7.0999999046325675,7.0999999046325675,2016600.0,6.48954439163208,7.0999999046325675,0.0,7.1299999237060545,7.136666584014892,7.078243090690577,,0.25,51.85184594875469,66.80794095428772,-36.36364818604638,
2014-01-22,7.05,4884.47,10100.1,1438.7,3.13,2014-01-22,DEMCO,Energy & Utilities,Resources,7.1500000953674325,6.949999809265138,7.0,7.050000190734862,1438700.0,6.443844318389893,7.0999999046325675,0.007067126736469661,7.15,7.110000006357828,7.068828790705339,,0.40000009536742986,33.6700553525504,52.76094623695468,-40.90907711627947,
2014-01-23,7.1,4919.11,5189.3,732.0,3.11,2014-01-23,DEMCO,Energy & Utilities,Resources,7.0999999046325675,7.0,7.0,7.0999999046325675,732000.0,6.48954439163208,7.050000190734862,-0.007067126736469515,7.109999942779541,7.093333307902018,7.079219162014415,61.363632422834826,0.5499997138977051,24.24245051443458,36.58811727191322,-36.36364818604638,
2014-01-24,7.3,5057.68,51656.7,7102.1,3.02,2014-01-24,DEMCO,Energy & Utilities,Resources,7.4000000953674325,7.1500000953674325,7.1500000953674325,7.300000190734862,7102000.0,6.672349452972412,7.0999999046325675,-0.027779603667171558,7.130000019073487,7.156666723887126,7.152812838254564,64.79289920376559,0.8000001907348624,41.077476495999825,32.9966607876616,-18.18180241860507,
2014-01-27,7.15,4953.75,8188.5,1144.6,3.08,2014-01-27,DEMCO,Energy & Utilities,Resources,7.199999809265138,7.0999999046325675,7.199999809265138,7.1500000953674325,1144600.0,6.535245895385742,7.300000190734862,0.020762004238389854,7.140000057220459,7.163333415985107,7.151875257292187,60.47933624553684,0.5,49.83167600634968,38.38386767226135,-31.818175906976812,
2014-01-28,7.15,4953.75,57539.3,7901.9,3.08,2014-01-28,DEMCO,Energy & Utilities,Resources,7.449999809265138,7.0999999046325675,7.199999809265138,7.1500000953674325,7901900.0,6.535245895385742,7.1500000953674325,0.0,7.150000095367432,7.166666762034098,7.151250203317269,60.47933624553685,0.09999990463257014,54.07411669505928,48.327756399136256,-31.818175906976812,
2014-01-29,7.1,4919.11,15008.0,2101.4,3.11,2014-01-29,DEMCO,Energy & Utilities,Resources,7.25,7.0999999046325675,7.199999809265138,7.0999999046325675,2101400.0,6.48954439163208,7.1500000953674325,0.0070175994287818505,7.160000038146973,7.150000031789144,7.134166770422368,58.976895987571595,0.15000009536742986,35.55558247820398,46.48712505987097,-36.36364818604638,
2014-01-30,7.0,4849.82,4690.0,665.3,3.15,2014-01-30,DEMCO,Energy & Utilities,Resources,7.0999999046325675,7.0,7.050000190734862,7.0,665300.0,6.398142814636231,7.0999999046325675,0.014184621559923592,7.140000057220459,7.096666685740153,7.089444513614912,55.99605522059126,-0.3000001907348624,20.74075588963966,36.79015168763429,-45.4545493953488,
2014-01-31,7.05,4884.47,2745.0,388.0,3.13,2014-01-31,DEMCO,Energy & Utilities,Resources,7.1500000953674325,7.050000190734862,7.050000190734862,7.050000190734862,388000.0,6.443844318389893,7.0,-0.007117494823454044,7.090000057220459,7.066666730244955,7.076296405988229,57.156116663476986,-0.1499996185302752,11.111122884872943,22.469153750905516,-49.999973509049624,
2014-02-03,7.2,4988.39,7027.8,976.6,3.06,2014-02-03,DEMCO,Energy & Utilities,Resources,7.199999809265138,7.0999999046325675,7.199999809265138,7.199999809265138,976600.0,6.580946922302246,7.050000190734862,-0.02105335565228885,7.1,7.103333314259847,7.1175308737471985,60.5029618773544,0.09999990463257014,18.51852636769314,16.7901350474019,-54.545470308660846,
2014-02-04,7.3,5057.68,17119.7,2365.3,3.02,2014-02-04,DEMCO,Energy & Utilities,Resources,7.300000190734862,7.0999999046325675,7.1500000953674325,7.300000190734862,2365300.0,6.672349452972412,7.199999809265138,-0.013793374751352304,7.130000019073487,7.1700000445048016,7.178353979409753,62.59035893120981,0.20000028610229492,51.85185970102648,27.16050298453084,-36.363589074017455,
2014-02-05,7.85,5438.73,138579.4,18080.2,2.81,2014-02-05,DEMCO,Energy & Utilities,Resources,7.949999809265138,7.4000000953674325,7.4000000953674325,7.8499999046325675,18080100.0,7.175060272216798,7.300000190734862,-0.072639145363191,7.280000019073486,7.410000006357829,7.402235954484024,71.47422526528982,0.7999997138977051,77.97270434423989,49.447696804319826,-9.999990463257014,
2014-02-06,7.8,5404.09,38257.5,4890.1,2.83,2014-02-06,DEMCO,Energy & Utilities,Resources,7.9000000953674325,7.699999809265138,7.9000000953674325,7.800000190734862,4890100.0,7.129359245300293,7.8499999046325675,0.006389761496866306,7.440000057220459,7.5833333969116214,7.534824033234304,69.8583600226647,0.7000002861022949,90.9356869301394,73.58675032513524,-14.999961853027521,
2014-02-07,7.6,5265.53,23321.1,3021.7,2.9,2014-02-07,DEMCO,Energy & Utilities,Resources,7.8499999046325675,7.5999999046325675,7.800000190734862,7.5999999046325675,3021700.0,6.946555137634277,7.800000190734862,0.025975523404794403,7.55,7.636666679382325,7.556549323700391,63.68762293074515,0.2999997138977051,77.21019893400192,82.03953006946038,-34.999990463257014,
2014-02-10,7.55,5230.88,19395.1,2566.9,2.92,2014-02-10,DEMCO,Energy & Utilities,Resources,7.6500000953674325,7.449999809265138,7.5999999046325675,7.550000190734862,2566900.0,6.9008545875549325,7.5999999046325675,0.006600646220110225,7.6200000762939455,7.636666742960612,7.554366279378549,62.215588406030086,0.40000009536742986,65.03270691191094,77.72619759201739,-39.99996185302752,
2014-02-11,7.75,5369.45,39756.0,5123.7,2.85,2014-02-11,DEMCO,Energy & Utilities,Resources,7.9000000953674325,7.5999999046325675,7.5999999046325675,7.75,5123600.0,7.083658695220947,7.550000190734862,-0.026145254841426924,7.710000038146973,7.68000005086263,7.619577519585699,65.62108469939288,0.5999999046325675,58.467043826899065,66.90331655760396,-21.052615728401605,
2014-02-12,7.7,5334.81,28970.7,3737.7,2.86,2014-02-12,DEMCO,Energy & Utilities,Resources,7.8499999046325675,7.699999809265138,7.8499999046325675,7.699999809265138,3737700.0,7.037957191467285,7.75,0.006472539276379107,7.6800000190734865,7.676666641235352,7.646384949478845,64.07420591198048,0.5999999046325701,57.37770523447222,60.29248532442739,-26.315794757199466,
