Date,Price,MV,VA,VO,DY
2014-01-01,7.65,28534.49,NA,NA,0.13
2014-01-02,7.45,27788.49,69724.6,9280.6,0.13
2014-01-03,7.4,27601.99,23691.1,3192.5,0.14
2014-01-06,7.3,27228.99,19040.9,2606.9,0.14
2014-01-07,7.45,27788.49,9558.0,1286.1,0.13
2014-01-08,7.45,27788.49,24880.9,3317.2,0.13
2014-01-09,7.5,27974.99,29564.5,3925.6,0.13
2014-01-10,7.55,28161.49,26623.8,3516.0,0.13
2014-01-13,7.7,28720.99,26835.6,3512.5,0.13
2014-01-14,7.75,28907.49,19161.3,2475.7,0.13
2014-01-15,7.85,29280.49,123771.1,15622.9,0.13
2014-01-16,7.9,29466.99,34533.0,4345.3,0.13
2014-01-17,7.8,29093.99,31685.9,4066.7,0.13
2014-01-20,7.7,28720.99,9808.1,1272.1,0.13
2014-01-21,7.8,29093.99,16868.0,2164.4,0.13
2014-01-22,7.85,29280.49,16398.6,2107.9,0.13
2014-01-23,7.9,29466.99,28233.8,3574.6,0.13
2014-01-24,8.3,30958.99,720138.5,87133.5,0.12
2014-01-27,8.25,30772.49,160799.9,19426.4,0.12
2014-01-28,8.25,30772.49,777710.6,91482.5,0.12
2014-01-29,8.15,30399.49,82312.8,10003.1,0.12
2014-01-30,8.1,30212.99,104773.7,12990.8,0.12
2014-01-31,8.1,30212.99,43297.3,5301.8,0.12
2014-02-03,8.55,31891.49,280416.6,33139.8,0.12
2014-02-04,8.7,32450.99,283548.4,33165.3,0.11
2014-02-05,8.6,32077.99,320319.4,36928.9,0.12
2014-02-06,8.9,33196.99,253517.6,29052.4,0.11
2014-02-07,8.75,32637.49,214750.2,24243.1,0.11
2014-02-10,8.45,31518.49,204525.1,23812.2,0.12
2014-02-11,8.75,32637.49,134127.1,15487.0,0.11
2014-02-12,8.85,33010.49,422396.5,47245.6,0.11
2014-02-13,9.1,33942.99,410784.6,45495.2,0.11
2014-02-14,9.1,33942.99,NA,NA,0.11
2014-02-17,9.1,33942.99,212824.1,23426.7,0.11
2014-02-18,8.95,33383.49,350005.3,38516.4,0.11
2014-02-19,9.0,33569.99,103117.3,11477.1,0.11
2014-02-20,9.0,33569.99,121314.7,13567.8,0.11
2014-02-21,9.15,34129.49,193083.6,21195.2,0.11
2014-02-24,9.3,34688.99,232596.5,25253.9,0.11
2014-02-25,9.25,34502.49,253007.8,27033.7,0.11
2014-02-26,9.25,34502.49,170308.8,18272.0,0.11
2014-02-27,9.15,34129.49,283815.8,30699.6,0.11
2014-02-28,9.2,34315.99,52869.4,5765.9,0.11
2014-03-03,9.15,34129.49,153215.8,16634.5,0.11
2014-03-04,9.25,34502.49,117143.9,12730.3,0.11
2014-03-05,9.3,34688.99,102860.9,11092.5,0.11
2014-03-06,9.2,34315.99,55974.4,6045.7,0.11
2014-03-07,9.6,35807.99,469673.1,49587.4,0.1
2014-03-10,9.75,36367.49,169393.4,17654.9,0.1
2014-03-11,9.9,36926.99,426636.3,42981.6,0.2
2014-03-12,9.55,35621.49,446096.3,46300.5,0.21
2014-03-13,9.85,36740.49,249043.8,25262.2,0.2
2014-03-14,9.85,36740.49,121711.3,12305.8,0.2
2014-03-17,9.85,36740.49,71156.9,7257.9,0.2
2014-03-18,9.9,36926.99,82772.4,8399.2,0.2
2014-03-19,10.2,38045.99,492648.2,48356.7,0.2
2014-03-20,10.6,39537.99,194160.6,18747.7,0.19
2014-03-21,10.5,39164.99,198490.4,18733.6,0.19
2014-03-24,10.1,37672.99,306110.0,30290.2,0.2
2014-03-25,10.1,37672.99,54332.8,5376.3,0.2
2014-03-26,10.2,38045.99,69035.2,6758.8,0.2
2014-03-27,9.8,36553.99,120445.0,12130.1,0.2
2014-03-28,9.9,36926.99,100533.7,10119.2,0.2
2014-03-31,9.9,36926.99,35075.5,3536.3,0.2
2014-04-01,10.1,37672.99,70549.5,7032.4,0.2
2014-04-02,10.0,37299.99,52158.5,5198.6,0.2
2014-04-03,10.0,37299.99,143180.9,14087.5,0.2
2014-04-04,10.0,37299.99,59675.4,5951.5,0.2
2014-04-07,10.0,37299.99,NA,NA,0.2
2014-04-08,10.0,37299.99,65658.1,6493.5,0.2
2014-04-09,10.5,39164.99,167142.0,16187.1,0.19
2014-04-10,10.6,39537.99,165638.4,15736.1,0.19
2014-04-11,10.7,39910.99,126848.3,11987.2,0.19
2014-04-14,10.7,39910.99,NA,NA,0.19
2014-04-15,10.7,39910.99,NA,NA,0.19
2014-04-16,11.0,41029.99,262093.2,24042.1,0.18
2014-04-17,10.9,40656.99,109388.4,9963.3,0.18
2014-04-18,11.0,41029.99,175420.4,15877.5,0.18
2014-04-21,11.1,41402.99,74858.4,6750.9,0.18
2014-04-22,11.2,41775.99,89003.6,8001.7,0.18
2014-04-23,11.4,42521.99,161832.3,14291.5,0.18
2014-04-24,11.7,43640.95,205828.9,17734.1,0.17
2014-04-25,11.5,42894.99,130618.3,11310.5,0.17
2014-04-28,11.2,41775.99,131604.1,11629.0,0.18
2014-04-29,11.7,43640.95,162170.4,14182.4,0.17
2014-04-30,11.7,43640.95,156667.1,13331.9,0.17
2014-05-01,11.7,43640.95,NA,NA,0.17
2014-05-02,11.9,44386.96,98785.1,8325.6,0.17
2014-05-05,11.9,44386.96,NA,NA,0.17
2014-05-06,11.8,44013.98,94330.8,7972.0,0.17
2014-05-07,11.6,43267.97,198410.4,17220.7,0.17
2014-05-08,11.2,41775.99,181674.4,16134.4,0.18
2014-05-09,11.3,42148.99,88933.9,7934.9,0.18
2014-05-12,11.5,42894.99,148677.4,12962.4,0.17
2014-05-13,11.5,42894.99,NA,NA,0.17
2014-05-14,11.6,43267.97,148455.1,12932.2,0.17
2014-05-15,12.2,45505.98,493428.5,41370.1,0.16
2014-05-16,12.0,44759.98,687288.9,55674.2,0.17
2014-05-19,12.1,45132.96,88895.5,7352.1,0.17
2014-05-20,12.1,45132.96,182496.0,15231.9,0.17
2014-05-21,12.5,46624.97,172868.6,13887.0,0.16
2014-05-22,12.5,46624.97,104563.9,8338.8,0.16
2014-05-23,12.6,46997.95,223060.8,18097.7,0.16
2014-05-26,13.2,49235.96,357976.3,27633.3,0.15
2014-05-27,13.0,48489.96,206766.3,15657.5,0.15
2014-05-28,13.7,51100.96,311131.8,22997.6,0.15
2014-05-29,14.7,54830.98,756392.8,52578.5,0.14
2014-05-30,14.8,55203.96,735347.4,49286.8,0.14
2014-06-02,16.4,61171.96,1160534.0,73131.8,0.12
2014-06-03,17.6,65647.94,782940.6,45430.8,0.11
2014-06-04,16.8,62663.92,1188662.0,70947.3,0.12
2014-06-05,16.6,61917.92,306833.5,18184.0,0.12
2014-06-06,16.7,62290.94,253048.1,15070.2,0.12
2014-06-09,18.5,69004.94,1257446.0,71551.4,0.11
2014-06-10,18.4,68631.94,1424819.0,77058.7,0.11
2014-06-11,18.6,69377.88,984184.4,52465.6,0.11
2014-06-12,18.2,67885.94,560233.4,30272.9,0.11
2014-06-13,18.6,69377.88,249861.3,13546.9,0.11
2014-06-16,19.3,71988.88,1103004.0,57118.7,0.1
2014-06-17,19.0,70869.94,401990.6,20938.2,0.11
2014-06-18,18.9,70496.94,400100.8,21282.6,0.11
2014-06-19,18.8,70123.88,226278.0,11935.9,0.11
2014-06-20,18.8,70123.88,325894.8,17211.2,0.11
