Date,Price,MV,VA,VO,DY
2014-01-01,6.0,20765.15,NA,NA,0.83
2014-01-02,5.8,20072.98,16478.4,2805.6,0.86
2014-01-03,5.55,19207.76,52875.5,9478.3,0.9
2014-01-06,5.4,18688.63,29015.4,5381.9,0.93
2014-01-07,5.7,19726.89,21799.3,3915.9,0.88
2014-01-08,5.5,19034.72,27220.1,4855.9,0.91
2014-01-09,5.5,19034.72,23124.9,4138.6,0.91
2014-01-10,5.55,19207.76,9230.7,1676.8,0.9
2014-01-13,5.6,19380.8,19214.7,3494.5,0.89
2014-01-14,5.8,20072.98,45213.0,7931.3,0.86
2014-01-15,5.65,19553.85,14204.3,2471.9,0.88
2014-01-16,5.75,19899.93,47444.5,8169.8,0.87
2014-01-17,5.85,20246.02,61400.7,10459.4,0.85
2014-01-20,5.8,20072.98,17553.5,3023.0,0.86
2014-01-21,5.8,20072.98,25091.7,4314.2,0.86
2014-01-22,5.7,19726.89,14683.7,2579.1,0.88
2014-01-23,5.8,20072.98,10677.3,1852.0,0.86
2014-01-24,5.75,19899.93,10070.3,1737.7,0.87
2014-01-27,5.7,19726.89,6409.8,1126.8,0.88
2014-01-28,5.6,19380.8,6708.8,1191.0,0.89
2014-01-29,5.6,19380.8,6880.4,1221.5,0.89
2014-01-30,5.55,19207.76,3366.5,602.5,0.9
2014-01-31,5.6,19380.8,4299.4,765.6,0.89
2014-02-03,5.75,19899.93,7604.3,1331.9,0.87
2014-02-04,5.85,20246.02,20261.9,3496.2,0.85
2014-02-05,6.05,20938.19,36905.9,6159.5,0.83
2014-02-06,6.35,21976.45,71045.4,11263.8,0.79
2014-02-07,6.5,22495.58,58376.6,9074.5,0.77
2014-02-10,6.55,22668.62,48063.7,7321.6,0.76
2014-02-11,6.5,22495.58,12244.7,1885.3,0.77
2014-02-12,6.5,22495.58,12730.4,1964.6,0.77
2014-02-13,6.35,21976.45,16156.2,2534.9,0.79
2014-02-14,6.35,21976.45,NA,NA,0.79
2014-02-17,6.4,22149.49,12324.6,1920.0,0.78
2014-02-18,6.3,21803.41,18520.1,2916.5,0.79
2014-02-19,6.35,21976.45,22150.4,3448.6,0.79
2014-02-20,6.25,21630.36,13473.0,2133.9,0.8
2014-02-21,6.25,21630.36,5352.6,854.1,0.8
2014-02-24,6.3,21803.41,10716.1,1724.1,0.79
2014-02-25,6.25,21630.36,5668.3,904.5,0.8
2014-02-26,6.2,21457.32,6435.0,1037.5,0.81
2014-02-27,6.2,21457.32,4180.6,672.8,0.81
2014-02-28,6.0,20765.15,48947.8,8087.1,0.83
2014-03-03,6.15,21284.28,20255.3,3314.8,0.81
