Date,Price,MV,VA,VO,DY
2014-01-01,8.61,8393.5,NA,NA,3.23
2014-01-02,8.18,7975.91,3210.2,388.7,3.4
2014-01-03,7.92,7725.37,4498.7,565.6,3.51
2014-01-06,7.92,7725.37,1536.2,194.7,3.51
2014-01-07,7.8,7636.23,7788.8,990.3,3.57
2014-01-08,7.92,7762.11,9212.8,1166.0,3.51
2014-01-09,8.14,7971.89,8799.4,1082.7,3.42
2014-01-10,8.1,7929.94,10479.5,1300.2,3.44
2014-01-13,8.14,7971.89,1682.3,209.1,3.42
2014-01-14,8.27,8097.76,2095.5,256.6,3.37
2014-01-15,8.18,8013.85,1018.4,124.4,3.4
2014-01-16,8.31,8139.72,2464.6,299.0,3.35
2014-01-17,8.14,7971.89,3402.5,410.7,3.42
2014-01-20,8.14,7971.89,985.3,121.2,3.42
2014-01-21,8.14,7971.89,1029.7,127.3,3.42
2014-01-22,8.01,7846.02,1132.1,141.1,3.48
2014-01-23,8.14,7971.89,2699.8,331.8,3.42
2014-01-24,8.4,8223.63,5699.6,688.0,3.32
2014-01-27,8.31,8139.72,2217.7,266.7,3.35
2014-01-28,8.35,8181.68,4535.6,544.7,3.33
2014-01-29,8.4,8223.63,1360.8,162.4,3.32
2014-01-30,8.35,8181.68,75351.3,9021.9,3.33
2014-01-31,8.35,8181.68,350.8,42.0,3.33
2014-02-03,8.27,8097.76,4939.8,595.1,3.37
2014-02-04,8.22,8055.81,1795.9,218.3,3.39
2014-02-05,8.18,8013.85,4197.9,508.3,3.4
2014-02-06,8.27,8097.76,1262.8,152.9,3.37
2014-02-07,8.22,8055.81,2363.9,286.0,3.39
2014-02-10,8.18,8013.85,1765.5,214.3,3.4
2014-02-11,8.22,8055.81,1907.7,232.7,3.39
2014-02-12,8.31,8139.72,15727.6,1895.8,3.35
2014-02-13,8.27,8097.76,601.7,72.6,3.37
2014-02-14,8.27,8097.76,NA,NA,3.37
2014-02-17,8.22,8055.81,5856.4,710.9,3.39
2014-02-18,8.22,8055.81,1176.3,143.8,3.39
2014-02-19,8.22,8055.81,3775.4,456.2,3.39
2014-02-20,8.01,7846.02,3838.5,474.9,3.48
2014-02-21,8.14,7971.89,11185.7,1372.1,2.42
2014-02-24,8.01,7846.02,9378.2,1165.6,2.46
2014-02-25,7.92,7762.11,11108.9,1396.0,2.49
2014-02-26,7.97,7804.06,6257.7,774.5,2.47
2014-02-27,8.01,7846.02,2386.9,297.4,2.46
2014-02-28,8.05,7887.98,1567.3,194.0,2.45
2014-03-03,8.14,7971.89,9751.7,1189.7,2.42
2014-03-04,8.18,8013.85,5753.0,703.4,2.41
2014-03-05,8.1,7929.94,7773.2,952.4,2.43
