Date,Price,MV,VA,VO,DY,Date,Ticker,Sector,Industry,High,Low,Open,Close,Volume,Adj Close,FF-01,FF-02,FF-03,FF-04,FF-05,FF-06,FF-07,FF-08,FF-09,FF-11,FF-12
2014-01-02,5.39,3330.0,978.5,174.2,2.43,2014-01-02,JMT,Finance & Securities,Financials,5.850550174713135,5.411759853363037,5.850550174713135,5.411759853363037,173111.0,4.134294033050537,,,,,,,,,,,
2014-01-03,5.82,3600.0,1281.1,226.2,2.25,2014-01-03,JMT,Finance & Securities,Financials,5.850550174713135,5.3142499923706055,5.36299991607666,5.850550174713135,225209.0,4.46950626373291,5.411759853363037,-0.07796136744989297,,,,,,,,,
2014-01-06,5.73,3540.0,197.2,34.6,2.29,2014-01-06,JMT,Finance & Securities,Financials,5.801790237426758,5.704279899597168,5.801790237426758,5.753039836883545,34458.0,4.3950138092041025,5.850550174713135,0.016807321383099476,,,,,,,,,
2014-01-07,5.82,3600.0,136.6,23.4,2.25,2014-01-07,JMT,Finance & Securities,Financials,5.8993000984191895,5.850550174713135,5.850550174713135,5.850550174713135,23177.0,4.46950626373291,5.753039836883545,-0.016807321383099375,,,,,,,,,
2014-01-08,5.78,3570.0,79.4,13.7,2.27,2014-01-08,JMT,Finance & Securities,Financials,5.850550174713135,5.753039836883545,5.850550174713135,5.801790237426758,13537.0,4.43225622177124,5.850550174713135,0.008369172229660013,5.733538055419922,5.785542106628418,5.733538055419922,,,,,,
2014-01-09,5.78,3570.0,182.1,31.3,2.27,2014-01-09,JMT,Finance & Securities,Financials,5.850550174713135,5.801790237426758,5.850550174713135,5.801790237426758,31176.0,4.43225622177124,5.801790237426758,0.0,5.811544132232666,5.80829283396403,5.756288782755534,,,,,,
2014-01-10,5.73,3540.0,473.4,83.7,2.29,2014-01-10,JMT,Finance & Securities,Financials,5.753039836883545,5.655529975891112,5.753039836883545,5.753039836883545,83274.0,4.3950138092041025,5.801790237426758,0.00843814915343924,5.792042064666748,5.78879140218099,5.755205800798204,,,,,,
2014-01-13,5.78,3570.0,54.2,9.4,2.27,2014-01-13,JMT,Finance & Securities,Financials,5.850550174713135,5.753039836883545,5.753039836883545,5.801790237426758,9229.0,4.43225622177124,5.753039836883545,-0.008438149153439342,5.801792144775391,5.792040793100993,5.770733946341055,,,,,,
2014-01-14,5.87,3630.0,381.2,65.5,2.23,2014-01-14,JMT,Finance & Securities,Financials,5.8993000984191895,5.801790237426758,5.801790237426758,5.8993000984191895,65224.0,4.5067481994628915,5.801790237426758,-0.016667184936833536,5.811542129516601,5.824543444315593,5.8135893303671,,,66.66666666666679,65.55555211454647,,
2014-01-15,5.82,3600.0,397.6,68.4,2.25,2014-01-15,JMT,Finance & Securities,Financials,5.8993000984191895,5.801790237426758,5.850550174713135,5.850550174713135,68096.0,4.46950626373291,5.8993000984191895,0.00829801270717352,5.821294116973877,5.83754612604777,5.825909611815779,,,80.00031297496405,69.25933490703913,,
