Date,Price,MV,VA,VO,DY
2014-01-01,2.97,7670.54,NA,NA,1.34
2014-01-02,2.65,6832.58,29408.0,10629.0,1.51
2014-01-03,2.7,6961.5,28541.9,10744.0,1.48
2014-01-06,2.67,6897.04,11902.9,4468.0,1.5
2014-01-07,2.82,7283.79,11917.9,4316.0,1.42
2014-01-08,2.75,7090.41,7410.0,2658.0,1.45
2014-01-09,2.72,7025.95,4562.8,1667.0,1.47
2014-01-10,2.72,7025.95,11634.6,4299.0,1.47
2014-01-13,2.77,7154.87,5653.0,2083.0,1.44
2014-01-14,2.9,7477.16,16699.3,5917.0,1.38
2014-01-15,2.8,7219.33,4262.0,1499.0,1.43
2014-01-16,2.97,7670.54,14120.6,4881.0,1.34
2014-01-17,2.9,7477.16,7619.6,2610.0,1.38
2014-01-20,2.9,7477.16,878.5,305.0,1.38
2014-01-21,2.9,7477.16,10510.6,3666.0,1.38
2014-01-22,2.9,7477.16,1865.4,648.0,1.38
2014-01-23,2.95,7606.08,2405.5,825.0,1.36
2014-01-24,2.97,7670.54,16657.6,5644.0,1.34
2014-01-27,2.95,7606.08,8073.8,2767.1,1.36
2014-01-28,2.85,7348.25,11092.7,3853.0,1.4
2014-01-29,2.85,7348.25,3420.1,1200.0,1.4
2014-01-30,2.87,7412.7,1000.9,351.0,1.39
2014-01-31,2.92,7541.62,4179.4,1434.0,1.37
2014-02-03,2.97,7670.54,3952.8,1344.0,1.34
2014-02-04,2.97,7670.54,6759.9,2273.0,1.34
2014-02-05,2.92,7541.62,9602.3,3228.0,1.37
2014-02-06,3.0,7735.0,11178.9,3745.0,1.33
2014-02-07,2.95,7606.08,9467.4,3181.0,1.36
2014-02-10,2.97,7670.54,2885.0,974.0,1.34
2014-02-11,3.0,7735.0,2822.4,950.0,1.33
2014-02-12,3.05,7863.91,4246.3,1408.0,1.31
2014-02-13,3.05,7863.91,18034.2,5904.2,1.31
2014-02-14,3.05,7863.91,NA,NA,1.31
2014-02-17,3.05,7863.91,17490.4,5728.0,1.31
2014-02-18,2.97,7670.54,9914.4,3303.0,1.34
2014-02-19,3.0,7735.0,10536.0,3502.0,6.67
2014-02-20,3.15,8121.74,145465.5,46561.0,6.35
2014-02-21,3.25,8379.58,97795.4,30212.0,6.15
2014-02-24,3.2,8250.66,39106.0,12137.0,6.25
2014-02-25,3.15,8121.74,36757.8,11574.0,6.35
2014-02-26,3.12,8057.29,51074.9,16169.0,6.4
2014-02-27,3.15,8121.74,32577.5,10283.0,6.35
2014-02-28,3.22,8315.12,63235.0,19863.0,6.2
2014-03-03,3.0,7735.0,28360.6,9451.1,6.67
2014-03-04,2.97,7670.54,50772.0,16997.0,6.72
2014-03-05,2.97,7670.54,39627.7,13246.0,6.72
2014-03-06,3.02,7799.45,42955.0,14214.0,6.61
2014-03-07,3.02,7799.45,12373.1,4091.0,6.61
2014-03-10,2.97,7670.54,29422.5,9842.1,6.72
2014-03-11,3.07,7928.37,32026.4,10580.1,6.5
2014-03-12,3.22,8315.12,98242.3,31080.1,6.2
2014-03-13,3.27,8444.04,52243.5,15863.6,6.11
2014-03-14,3.3,8508.5,21469.6,6519.0,6.06
2014-03-17,3.55,9153.08,123656.4,35179.0,5.63
2014-03-18,3.57,9217.54,41195.5,11468.1,5.59
2014-03-19,3.5,9024.16,42655.8,12019.0,5.71
2014-03-20,3.67,9475.37,34661.3,9728.1,5.44
2014-03-21,3.75,9668.75,59971.4,16091.0,5.33
2014-03-24,3.67,9475.37,19150.1,5152.0,5.44
2014-03-25,3.57,9217.54,21583.4,5997.3,5.59
2014-03-26,3.52,9088.62,32160.1,9060.0,5.67
2014-03-27,3.4,8766.33,58405.1,16872.0,5.88
2014-03-28,3.52,9088.62,22313.9,6399.0,5.67
2014-03-31,3.47,8959.7,15109.8,4325.0,5.76
2014-04-01,3.47,8959.7,13329.7,3829.0,5.76
2014-04-02,3.62,9346.45,35472.6,9913.0,5.52
2014-04-03,3.62,9346.45,29208.4,7974.1,5.52
2014-04-04,3.67,9475.37,40143.7,10868.5,5.44
2014-04-07,3.67,9475.37,NA,NA,5.44
2014-04-08,3.62,9346.45,7460.9,2056.0,5.52
2014-04-09,3.57,9217.54,16698.9,4671.0,5.59
2014-04-10,3.57,9217.54,13991.3,3903.0,5.59
2014-04-11,3.57,9217.54,9143.7,2574.0,5.59
2014-04-14,3.57,9217.54,NA,NA,5.59
2014-04-15,3.57,9217.54,NA,NA,5.59
2014-04-16,3.6,9282.0,11005.0,3099.0,5.56
2014-04-17,3.57,9217.54,12227.6,3425.0,5.59
2014-04-18,3.62,9346.45,46148.1,12715.0,5.52
2014-04-21,3.57,9217.54,11624.6,3237.0,5.59
2014-04-22,3.57,9217.54,11328.1,3178.0,5.59
2014-04-23,3.65,9410.91,56435.6,15533.0,5.48
