Date,Price,MV,VA,VO,DY
2014-01-01,15.5,22873.33,NA,NA,5.1
2014-01-02,14.6,21545.2,49897.5,3366.3,5.41
2014-01-03,15.1,22283.05,54560.6,3625.9,5.23
2014-01-06,15.2,22430.62,106729.9,7033.5,5.2
2014-01-07,15.1,22283.05,61826.9,4075.2,5.23
2014-01-08,14.6,21545.2,40892.9,2738.9,5.41
2014-01-09,14.3,21102.49,115417.6,7839.0,5.52
2014-01-10,14.6,21545.2,41881.6,2933.1,5.41
2014-01-13,14.7,21692.77,36646.3,2509.9,5.37
2014-01-14,15.2,22430.62,87570.2,5783.6,5.2
2014-01-15,15.2,22430.62,93165.0,6051.6,5.2
2014-01-16,15.2,22430.62,183406.9,12045.9,5.2
2014-01-17,15.2,22430.62,205850.8,13508.1,5.2
2014-01-20,14.8,21840.34,108194.6,7135.5,5.34
2014-01-21,15.0,22135.48,122601.3,8159.6,5.27
2014-01-22,15.0,22135.48,58114.1,3849.9,5.27
2014-01-23,15.5,22873.33,82211.7,5386.7,5.1
2014-01-24,15.5,22873.33,32337.7,2098.6,5.1
2014-01-27,15.1,22283.05,46195.5,3051.5,5.23
2014-01-28,15.1,22283.05,96711.9,6403.4,5.23
2014-01-29,14.9,21987.91,55348.1,3670.7,5.3
2014-01-30,14.5,21397.63,41418.8,2826.5,5.45
2014-01-31,14.6,21545.2,66689.3,4570.3,5.41
2014-02-03,15.0,22135.48,32261.8,2169.3,5.27
2014-02-04,14.9,21987.91,26663.7,1794.9,5.3
2014-02-05,15.0,22135.48,22443.5,1494.0,5.27
2014-02-06,15.9,23463.61,177524.0,11536.2,4.97
2014-02-07,16.5,24349.03,229230.7,14172.6,4.79
2014-02-10,15.6,23020.9,106612.0,6747.1,5.06
2014-02-11,15.7,23168.47,98721.1,6289.1,5.03
2014-02-12,15.7,23168.47,94889.0,6041.6,5.03
2014-02-13,16.2,23906.32,156525.3,9750.2,5.19
2014-02-14,16.2,23906.32,NA,NA,5.19
2014-02-17,16.6,24496.59,150938.0,9110.1,5.06
2014-02-18,16.3,24053.87,107593.2,6583.4,5.15
2014-02-19,15.8,23316.04,162097.9,10148.0,5.32
2014-02-20,15.7,23168.47,93430.8,5970.3,5.35
2014-02-21,15.9,23463.61,19179.5,1210.6,5.28
2014-02-24,15.6,23020.9,105699.5,6769.9,5.38
2014-02-25,15.7,23168.47,58990.8,3746.0,5.35
2014-02-26,15.9,23463.61,83894.7,5324.7,5.28
2014-02-27,15.1,22283.05,201140.3,13314.9,5.56
2014-02-28,15.1,22283.05,47556.2,3144.5,5.56
2014-03-03,15.4,22725.76,181117.6,11809.2,5.45
2014-03-04,15.9,23463.61,124035.1,7915.8,5.28
2014-03-05,16.4,24201.45,204058.1,12572.3,5.12
2014-03-06,15.6,23020.9,239100.2,15063.9,5.38
2014-03-07,15.4,22725.76,344269.4,22399.6,5.45
2014-03-10,15.0,22135.48,115912.4,7681.7,5.6
2014-03-11,15.3,22578.19,104923.5,6914.1,5.49
2014-03-12,15.1,22283.05,163957.5,10845.2,5.56
2014-03-13,15.1,22283.05,50941.2,3348.5,5.56
2014-03-14,15.1,22283.05,28553.9,1891.0,5.56
2014-03-17,15.5,22873.33,157952.1,10318.4,5.42
2014-03-18,16.2,23906.32,330165.6,20713.4,5.19
2014-03-19,16.2,23906.32,246023.6,15074.2,5.19
2014-03-20,15.8,23316.04,99220.6,6268.4,5.32
2014-03-21,15.9,23463.61,172348.6,10654.0,5.28
2014-03-24,15.7,23168.47,33422.5,2120.4,5.35
2014-03-25,15.3,22578.19,52591.3,3405.7,5.49
2014-03-26,15.4,22725.76,19983.5,1296.6,5.45
2014-03-27,15.4,22725.76,33791.9,2198.2,5.45
2014-03-28,15.5,22873.33,109205.9,6973.2,5.42
2014-03-31,16.0,23611.18,224885.4,14111.2,5.25
