Date,Price,MV,VA,VO,DY
2014-01-01,51.25,46424.8,NA,NA,0.0
2014-01-02,48.25,43707.23,73377.4,1494.7,0.0
2014-01-03,48.75,44160.16,82106.5,1684.6,0.0
2014-01-06,48.0,43480.76,47177.8,977.9,0.0
2014-01-07,48.75,44160.16,51924.4,1067.1,0.0
2014-01-08,49.5,44839.57,104836.4,2127.4,0.0
2014-01-09,48.5,43933.7,63636.0,1293.1,0.0
2014-01-10,48.25,43707.23,29372.3,609.4,0.0
2014-01-13,48.75,44160.16,17903.4,370.0,0.0
2014-01-14,49.0,44386.63,19423.8,396.4,0.0
2014-01-15,48.5,43933.7,7754.3,159.2,0.0
2014-01-16,49.25,44613.1,16187.7,330.2,0.0
2014-01-17,48.5,43933.7,20545.7,422.2,0.0
2014-01-20,48.5,43933.7,5220.1,107.6,0.0
2014-01-21,48.75,44160.16,4945.5,101.9,0.0
2014-01-22,49.0,44386.63,20228.0,415.0,0.0
2014-01-23,50.0,45292.46,51020.5,1024.3,0.0
2014-01-24,49.75,45065.99,61287.4,1225.5,0.0
2014-01-27,49.25,44613.1,14265.4,291.7,0.0
2014-01-28,49.0,44386.63,20802.0,426.1,0.0
2014-01-29,48.75,44160.16,3444.1,70.6,0.0
2014-01-30,48.5,43933.7,18004.7,371.1,0.0
2014-01-31,48.75,44160.16,15326.0,315.6,0.0
2014-02-03,49.25,44613.1,17473.4,356.1,0.0
2014-02-04,49.0,44386.63,26399.7,538.0,0.0
2014-02-05,50.5,45745.39,80675.8,1615.6,0.0
2014-02-06,51.0,46198.33,160801.8,3177.2,0.0
2014-02-07,51.0,46198.33,78440.7,1533.3,0.0
2014-02-10,50.25,45518.93,22240.3,443.7,0.0
2014-02-11,50.0,45292.46,30701.9,615.2,0.0
2014-02-12,49.75,45065.99,82321.5,1658.7,0.0
2014-02-13,49.5,44839.57,78485.8,1579.8,0.0
2014-02-14,49.5,44839.57,NA,NA,0.0
2014-02-17,50.25,45518.93,59992.1,1196.0,0.0
2014-02-18,49.75,45065.99,10078.1,202.6,0.0
2014-02-19,49.25,44613.1,52349.5,1058.2,0.0
2014-02-20,49.0,44386.63,42742.8,871.3,0.0
2014-02-21,49.25,44613.1,12152.7,247.4,0.0
