Date,Price,MV,VA,VO,DY
2014-01-01,14.0,26408.05,NA,NA,3.93
2014-01-02,13.75,25936.48,1506.3,109.0,4.0
2014-01-03,13.5,25464.91,1421.3,105.0,4.07
2014-01-06,13.25,24993.34,1958.8,149.0,4.15
2014-01-07,13.3,25087.65,532.0,40.0,4.14
2014-01-08,13.3,25087.65,1897.2,144.0,4.14
2014-01-09,13.15,24804.71,1136.5,86.0,4.18
2014-01-10,13.15,24804.71,1130.2,86.0,4.18
2014-01-13,13.2,24899.02,3876.2,295.5,4.17
2014-01-14,13.25,24993.34,450.1,34.1,4.15
2014-01-15,13.15,24804.71,2174.3,165.0,4.18
2014-01-16,13.2,24899.02,1120.2,85.0,4.17
2014-01-17,13.15,24804.71,2337.4,177.3,4.18
2014-01-20,13.2,24899.02,819.1,62.0,4.17
2014-01-21,13.3,25087.65,663.3,50.0,4.14
2014-01-22,13.15,24804.71,1859.9,141.0,4.18
2014-01-23,13.4,25276.28,1320.6,99.5,4.1
2014-01-24,13.45,25370.59,4067.2,300.0,4.09
2014-01-27,13.1,24710.39,4613.0,350.1,4.2
2014-01-28,12.9,24333.13,5330.6,410.1,4.26
2014-01-29,12.95,24427.45,3377.3,262.0,4.25
2014-01-30,13.0,24521.76,937.8,72.2,4.23
2014-01-31,12.95,24427.45,2694.2,208.0,4.25
2014-02-03,13.0,24521.76,588.0,45.0,4.23
2014-02-04,12.9,24333.13,5061.3,391.0,4.26
2014-02-05,12.95,24427.45,988.8,76.1,4.25
2014-02-06,13.0,24521.76,510.1,39.0,4.23
2014-02-07,13.05,24616.07,2794.1,213.0,4.21
2014-02-10,12.95,24427.45,2212.5,170.0,4.25
2014-02-11,12.85,24238.82,17705.8,1371.0,4.28
2014-02-12,12.95,24427.45,10250.9,793.0,4.25
2014-02-13,13.1,24710.39,6444.9,493.0,4.2
2014-02-14,13.1,24710.39,NA,NA,4.2
2014-02-17,13.5,25464.91,13936.1,1040.0,4.07
2014-02-18,13.5,25464.91,6390.4,475.0,4.07
