Date,Price,MV,VA,VO,DY,Date,Ticker,Sector,Industry,High,Low,Open,Close,Volume,Adj Close,FF-01,FF-02,FF-03,FF-04,FF-05,FF-06,FF-07,FF-08,FF-09,FF-11,FF-12
2014-01-02,19.0,16439.72,27201.9,1409.4,0.0,2014-01-02,MEGA,Commerce,Services,19.799999237060547,19.0,19.600000381469727,19.0,1409400.0,16.375131607055664,,,,,,,,,,,
2014-01-03,18.3,15834.04,59021.5,3187.0,0.0,2014-01-03,MEGA,Commerce,Services,19.100000381469727,18.100000381469727,18.200000762939453,18.299999237060547,3187000.0,15.771833419799805,19.0,0.03753796100974653,,,,,,,,,
2014-01-06,18.4,15920.56,47483.4,2602.8,0.0,2014-01-06,MEGA,Commerce,Services,18.5,17.799999237060547,18.399999618530273,18.399999618530273,2602800.0,15.858024597167967,18.299999237060547,-0.00544962572619547,,,,,,,,,
2014-01-07,19.0,16439.72,25089.4,1333.6,0.0,2014-01-07,MEGA,Commerce,Services,19.299999237060547,18.399999618530273,18.5,19.0,1333600.0,16.375131607055664,18.399999618530273,-0.03208833528355105,,,,,,,,,
2014-01-08,19.1,16526.23,32347.3,1686.2,0.0,2014-01-08,MEGA,Commerce,Services,19.399999618530273,19.0,19.100000381469727,19.100000381469727,1686200.0,16.46131706237793,19.0,-0.005249375858380516,18.75999984741211,18.81999994913737,18.75999984741211,,,,,,
2014-01-09,19.1,16526.23,11795.6,615.9,0.0,2014-01-09,MEGA,Commerce,Services,19.399999618530273,19.100000381469727,19.200000762939453,19.100000381469727,615900.0,16.46131706237793,19.100000381469727,0.0,18.779999923706054,18.93333346048991,18.87333335876465,,,,,,
2014-01-10,19.1,16526.23,22195.4,1171.0,0.0,2014-01-10,MEGA,Commerce,Services,19.299999237060547,18.700000762939453,19.299999237060547,19.100000381469727,1171000.0,16.46131706237793,19.100000381469727,0.0,18.940000152587892,19.040000279744465,18.948889032999677,,,,,,
2014-01-13,19.1,16526.23,40793.0,2141.7,0.0,2014-01-13,MEGA,Commerce,Services,19.200000762939453,18.700000762939453,18.700000762939453,19.100000381469727,2141700.0,16.46131706237793,19.100000381469727,0.0,19.08000030517578,19.093333689371743,18.999259482489695,,,,,,
2014-01-14,19.3,16699.28,24878.8,1294.5,0.0,2014-01-14,MEGA,Commerce,Services,19.399999618530273,19.0,19.100000381469727,19.299999237060547,1294500.0,16.633684158325195,19.100000381469727,-0.01041670135547653,19.14000015258789,19.166666666666668,19.099506067346645,,,78.9881121037303,77.44051982686692,,
2014-01-15,19.4,16785.81,68131.4,3476.0,0.0,2014-01-15,MEGA,Commerce,Services,20.100000381469727,19.100000381469727,19.299999237060547,19.399999618530273,3476000.0,16.719867706298828,19.299999237060547,-0.005167990025596831,19.2,19.253333155314127,19.199670584407855,,,68.5714053458422,75.01985921675181,,
2014-01-16,19.7,17045.39,88381.0,4448.7,0.0,2014-01-16,MEGA,Commerce,Services,20.200000762939453,19.5,19.5,19.700000762939453,4448700.0,16.978424072265625,19.399999618530273,-0.015345628065938826,19.320000076293944,19.420000076293945,19.366447310585055,,0.7000007629394531,67.46026880341599,71.67326208432951,,
2014-01-17,19.5,16872.34,53261.4,2734.2,0.0,2014-01-17,MEGA,Commerce,Services,19.899999618530273,19.0,19.799999237060547,19.5,2734200.0,16.806055068969727,19.700000762939453,0.010204208902132049,19.4,19.480000050862632,19.41096487372337,,1.2000007629394531,56.666627005919075,64.23276705172576,,
2014-01-20,19.2,16612.77,9232.0,478.1,0.0,2014-01-20,MEGA,Commerce,Services,19.600000381469727,19.200000762939453,19.600000381469727,19.200000762939453,478100.0,16.547502517700195,19.5,0.015504146799536218,19.420000076293945,19.413333638509116,19.340643503462065,,0.8000011444091797,45.55555626196975,56.56081735710162,,
2014-01-21,19.2,16612.77,13255.5,689.2,0.0,2014-01-21,MEGA,Commerce,Services,19.5,19.100000381469727,19.399999618530273,19.200000762939453,689200.0,16.547502517700195,19.200000762939453,0.0,19.400000381469727,19.340000534057616,19.29376258995453,,0.20000076293945312,28.888907255927347,43.70369684127207,-41.66664017573027,
2014-01-22,19.3,16699.28,50928.2,2629.5,0.0,2014-01-22,MEGA,Commerce,Services,19.700000762939453,18.899999618530273,19.0,19.299999237060547,2629500.0,16.633684158325195,19.200000762939453,-0.0051947376101326,19.38000030517578,19.306666819254556,19.2958414723232,,0.1999988555908203,21.367537878642143,31.937333798846424,-37.50003973640459,
2014-01-23,19.6,16958.86,113272.2,5747.4,0.0,2014-01-23,MEGA,Commerce,Services,20.0,19.399999618530273,19.399999618530273,19.600000381469727,5747300.0,16.89223861694336,19.299999237060547,-0.01542452931891499,19.360000228881837,19.380000178019205,19.39722777537204,60.00000000000001,0.5,37.02410163778992,29.09351559078648,-25.0,
2014-01-24,19.3,16699.28,39029.3,1999.1,0.0,2014-01-24,MEGA,Commerce,Services,19.700000762939453,19.299999237060547,19.700000762939453,19.299999237060547,1999100.0,16.633684158325195,19.600000381469727,0.015424529318915104,19.320000076293944,19.35999984741211,19.364818262601542,54.193531715178565,0.1999988555908203,43.58972477961586,33.99378809868265,-50.00005298187278,
2014-01-27,18.8,16266.66,58816.5,3098.1,0.0,2014-01-27,MEGA,Commerce,Services,19.200000762939453,18.799999237060547,19.200000762939453,18.799999237060547,3097900.0,16.202762603759766,19.299999237060547,0.026248227126280662,19.239999771118164,19.18666623433431,19.176545254087877,46.20824368156612,-0.3000011444091797,33.33333333333335,37.98238658357972,-93.33343505859375,
2014-01-28,18.6,16093.61,64511.8,3438.4,0.0,2014-01-28,MEGA,Commerce,Services,19.0,18.399999618530273,19.0,18.600000381469727,3438300.0,16.030393600463867,18.799999237060547,0.010695228025736534,19.11999969482422,18.9733331044515,18.984363629881827,43.463578685734674,-0.6999988555908203,16.28787792583007,31.070312012926436,-88.88885356764037,
2014-01-29,19.0,16439.72,15511.3,823.1,0.0,2014-01-29,MEGA,Commerce,Services,19.0,18.600000381469727,18.700000762939453,19.0,823100.0,16.375131607055664,18.600000381469727,-0.021277377938160005,19.059999847412108,18.93333320617676,18.989575753254552,49.84711185523413,-0.39999961853027344,16.66668653487687,22.095965931346772,-66.66666666666666,
2014-01-30,19.0,16439.72,4341.1,228.6,0.0,2014-01-30,MEGA,Commerce,Services,19.100000381469727,18.799999237060547,18.799999237060547,19.0,228600.0,16.375131607055664,19.0,0.0,18.939999771118163,18.913333257039387,18.9930505021697,49.847111855234125,-0.7000007629394531,32.051298157466704,21.668620872724556,-66.66666666666666,
2014-01-31,19.0,16439.72,3074.7,161.5,0.0,2014-01-31,MEGA,Commerce,Services,19.200000762939453,19.0,19.200000762939453,19.0,161500.0,16.375131607055664,19.0,0.0,18.879999923706055,18.933333333333334,18.995367001446468,49.84711185523413,-0.5,52.884596721455885,33.86752713793316,-66.66666666666666,
2014-02-03,19.6,16958.86,46970.7,2407.5,0.0,2014-02-03,MEGA,Commerce,Services,19.700000762939453,19.100000381469727,19.100000381469727,19.600000381469727,2407500.0,16.89223861694336,19.0,-0.03109060653277206,19.04000015258789,19.173333485921223,19.19691146145422,58.4934309628213,0.39999961853027344,71.153814999583,52.0299032928352,-33.33333333333333,
2014-02-04,19.6,16958.86,16925.4,869.4,0.0,2014-02-04,MEGA,Commerce,Services,19.600000381469727,19.399999618530273,19.5,19.600000381469727,869400.0,16.89223861694336,19.600000381469727,0.0,19.24000015258789,19.360000228881837,19.33127443479272,58.493430962821314,0.39999961853027344,86.07222317121922,70.03687829741938,-33.33333333333333,
2014-02-05,20.1,17391.48,353753.8,17579.3,0.0,2014-02-05,MEGA,Commerce,Services,20.399999618530273,19.600000381469727,19.600000381469727,20.100000381469727,17579200.0,17.323165893554688,19.600000381469727,-0.025190248344410686,19.460000228881835,19.646666971842446,19.58751641701839,64.36967728853107,0.8000011444091797,88.15559375742298,81.7938773094084,-14.999961853027344,
2014-02-06,19.9,17218.43,99594.1,4985.1,0.0,2014-02-06,MEGA,Commerce,Services,20.200000762939453,19.799999237060547,20.200000762939453,19.899999618530273,4985100.0,17.150794982910153,20.100000381469727,0.010000121482509663,19.64000015258789,19.793333435058592,19.691677484189018,60.68747937218982,0.2999992370605469,78.81493869702366,84.34758520855529,-25.0,
2014-02-07,20.0,17304.96,119946.4,5928.4,0.0,2014-02-07,MEGA,Commerce,Services,20.5,20.0,20.0,20.0,5928400.0,17.236982345581055,19.899999618530273,-0.005012560992877481,19.84000015258789,19.913333384195962,19.79445165612601,61.856388719842656,0.7000007629394531,69.94048708757796,78.97033984734153,-23.809519484471007,
2014-02-10,20.0,17304.96,28180.7,1407.9,0.0,2014-02-10,MEGA,Commerce,Services,20.200000762939453,19.899999618530273,20.200000762939453,20.0,1407900.0,17.236982345581055,20.0,0.0,19.920000076293945,19.966666666666665,19.862967770750675,61.856388719842656,1.2000007629394531,61.03895980578102,69.93146186346088,-23.809519484471007,
2014-02-11,19.9,17218.43,21214.3,1063.3,0.0,2014-02-11,MEGA,Commerce,Services,20.0,19.899999618530273,20.0,19.899999618530273,1063300.0,17.150794982910153,20.0,0.005012560992877433,19.979999923706053,19.95999984741211,19.87531172001054,59.814723696881714,1.2999992370605469,50.721479184587814,60.56697535931561,-28.571441546586986,
