Date,Price,MV,VA,VO,DY
2015-01-01,,NA,NA,NA,NA
2015-01-02,,NA,NA,NA,NA
2015-01-05,,NA,NA,NA,NA
2015-01-06,,NA,NA,NA,NA
2015-01-07,,NA,NA,NA,NA
2015-01-08,,NA,NA,NA,NA
2015-01-09,,NA,NA,NA,NA
2015-01-12,,NA,NA,NA,NA
2015-01-13,,NA,NA,NA,NA
2015-01-14,,NA,NA,NA,NA
2015-01-15,,NA,NA,NA,NA
2015-01-16,,NA,NA,NA,NA
2015-01-19,,NA,NA,NA,NA
2015-01-20,,NA,NA,NA,NA
2015-01-21,,NA,NA,NA,NA
2015-01-22,,NA,NA,NA,NA
2015-01-23,,NA,NA,NA,NA
2015-01-26,,NA,NA,NA,NA
2015-01-27,,NA,NA,NA,NA
2015-01-28,,NA,NA,NA,NA
2015-01-29,,NA,NA,NA,NA
2015-01-30,,NA,NA,NA,NA
2015-02-02,,NA,NA,NA,NA
2015-02-03,,NA,NA,NA,NA
2015-02-04,,NA,NA,NA,NA
2015-02-05,,NA,NA,NA,NA
2015-02-06,,NA,NA,NA,NA
2015-02-09,,NA,NA,NA,NA
2015-02-10,,NA,NA,NA,NA
2015-02-11,,NA,NA,NA,NA
2015-02-12,,NA,NA,NA,NA
2015-02-13,,NA,NA,NA,NA
2015-02-16,,NA,NA,NA,NA
2015-02-17,,NA,NA,NA,NA
2015-02-18,,NA,NA,NA,NA
2015-02-19,,NA,NA,NA,NA
2015-02-20,,NA,NA,NA,NA
2015-02-23,,NA,NA,NA,NA
2015-02-24,,NA,NA,NA,NA
2015-02-25,,NA,NA,NA,NA
2015-02-26,,NA,NA,NA,NA
2015-02-27,,NA,NA,NA,NA
2015-03-02,,NA,NA,NA,NA
2015-03-03,,NA,NA,NA,NA
2015-03-04,,NA,NA,NA,NA
2015-03-05,,NA,NA,NA,NA
2015-03-06,,NA,NA,NA,NA
2015-03-09,,NA,NA,NA,NA
2015-03-10,,NA,NA,NA,NA
2015-03-11,,NA,NA,NA,NA
2015-03-12,,NA,NA,NA,NA
2015-03-13,,NA,NA,NA,NA
2015-03-16,,NA,NA,NA,NA
2015-03-17,,NA,NA,NA,NA
2015-03-18,,NA,NA,NA,NA
2015-03-19,,NA,NA,NA,NA
2015-03-20,,NA,NA,NA,NA
2015-03-23,,NA,NA,NA,NA
2015-03-24,6.45,18060.0,5657281.0,795570.2,0.0
2015-03-25,6.1,17080.0,1031278.0,160419.1,0.0
2015-03-26,5.9,16520.0,743663.5,121938.1,0.0
2015-03-27,5.85,16380.0,618518.4,103385.9,0.0
2015-03-30,5.75,16100.0,719325.7,121941.0,0.0
2015-03-31,5.75,16100.0,260797.2,45219.8,0.0
2015-04-01,5.95,16660.0,285034.2,48362.9,0.0
2015-04-02,5.85,16380.0,113553.1,19281.9,0.0
2015-04-03,6.1,17080.0,325394.0,54120.8,0.0
2015-04-06,6.1,17080.0,NA,NA,0.0
2015-04-07,6.05,16940.0,143823.8,23556.7,0.0
2015-04-08,6.4,17920.0,680802.9,108349.2,0.0
2015-04-09,6.35,17780.0,161314.1,25533.0,0.0
2015-04-10,6.15,17220.0,223995.6,35656.7,0.0
2015-04-13,6.15,17220.0,NA,NA,0.0
2015-04-14,6.15,17220.0,NA,NA,0.0
2015-04-15,6.15,17220.0,NA,NA,0.0
2015-04-16,6.2,17360.0,278639.6,44524.2,0.0
2015-04-17,6.05,16940.0,84050.3,13728.4,0.0
2015-04-20,5.95,16660.0,40764.1,6825.0,0.0
2015-04-21,5.95,16660.0,28445.4,4752.3,0.0
2015-04-22,5.85,16380.0,79925.4,13547.4,0.0
2015-04-23,5.8,16240.0,43171.7,7406.6,0.0
