Date,Price,MV,VA,VO,DY,Date,Ticker,Sector,Industry,High,Low,Open,Close,Volume,Adj Close,FF-01,FF-02,FF-03,FF-04,FF-05,FF-06,FF-07,FF-08,FF-09,FF-11,FF-12
2016-12-01,23.0,51351.67,468839.7,20096.3,8.04,2016-12-01,PSH,Property Development,Property & Construction,24.0,23.0,23.899999618530273,23.0,20095600.0,17.041969299316403,,,,,,,,,,,
2016-12-02,22.4,50012.04,132380.1,5836.6,8.26,2016-12-02,PSH,Property Development,Property & Construction,23.0,22.399999618530273,22.79999923706055,22.399999618530273,5836400.0,16.597393035888672,23.0,0.026433274098054106,,,,,,,,,
2016-12-06,22.3,49788.8,64289.9,2882.2,8.3,2016-12-06,PSH,Property Development,Property & Construction,22.60000038146973,22.100000381469727,22.5,22.299999237060547,2882100.0,16.523300170898438,22.399999618530273,0.004474297577554472,,,,,,,,,
2016-12-07,23.0,51351.67,233931.1,10220.1,8.04,2016-12-07,PSH,Property Development,Property & Construction,23.10000038146973,22.299999237060547,22.299999237060547,23.0,10220000.0,17.041969299316403,22.299999237060547,-0.030907571675608706,,,,,,,,,
2016-12-08,22.7,50681.86,141322.2,6169.1,8.15,2016-12-08,PSH,Property Development,Property & Construction,23.29999923706055,22.70000076293945,23.0,22.70000076293945,6168900.0,16.81968116760254,23.0,0.013129257832125775,22.679999923706056,22.68000005086263,22.679999923706056,,,,,,
2016-12-09,22.5,50235.31,106982.1,4741.7,8.22,2016-12-09,PSH,Property Development,Property & Construction,22.899999618530273,22.399999618530273,22.79999923706055,22.5,4741500.0,16.671489715576172,22.70000076293945,0.008849648886649287,22.579999923706055,22.620000076293945,22.61999994913737,,,,,,
2016-12-13,22.6,50458.62,108096.0,4789.8,8.19,2016-12-13,PSH,Property Development,Property & Construction,22.79999923706055,22.399999618530273,22.60000038146973,22.60000038146973,4789700.0,16.745586395263672,22.5,-0.0044346139470571476,22.620000076293945,22.626666895548503,22.61333342658149,,,,,,
2016-12-14,22.4,50012.04,111456.0,4955.0,8.26,2016-12-14,PSH,Property Development,Property & Construction,22.79999923706055,22.399999618530273,22.60000038146973,22.399999618530273,4954900.0,16.597393035888672,22.60000038146973,0.008888981326336145,22.64000015258789,22.553333409627278,22.542222157231084,,,,,,
2016-12-15,22.5,50235.31,69626.6,3102.0,8.22,2016-12-15,PSH,Property Development,Property & Construction,22.60000038146973,22.399999618530273,22.399999618530273,22.5,3101900.0,16.671489715576172,22.399999618530273,-0.004454367379278927,22.54000015258789,22.506666692097983,22.528148104820723,,,20.925967585422068,28.261888240241305,,
2016-12-16,22.2,49565.49,176623.6,7903.9,8.33,2016-12-16,PSH,Property Development,Property & Construction,22.60000038146973,22.200000762939453,22.5,22.200000762939453,7903900.0,16.44920539855957,22.5,0.013422985965499316,22.440000152587892,22.39333356221517,22.418765657526965,,,7.037065451043873,18.765464110315364,,
2016-12-19,22.5,50235.31,62581.9,2790.0,8.22,2016-12-19,PSH,Property Development,Property & Construction,22.5,22.299999237060547,22.399999618530273,22.5,2789900.0,16.671489715576172,22.200000762939453,-0.013422985965499287,22.440000152587892,22.41333351135254,22.445843771684643,,-0.5,20.37038606871957,16.111139701728504,,
2016-12-20,22.5,50235.31,45915.1,2043.8,8.22,2016-12-20,PSH,Property Development,Property & Construction,22.60000038146973,22.299999237060547,22.60000038146973,22.5,2043700.0,16.671489715576172,22.5,0.0,22.420000076293945,22.43333346048991,22.46389584778976,,0.10000038146972656,33.33333333333314,20.246928284365527,,
2016-12-21,22.1,49342.26,160166.5,7219.2,8.37,2016-12-21,PSH,Property Development,Property & Construction,22.399999618530273,22.0,22.399999618530273,22.100000381469727,7219000.0,16.37510871887207,22.5,0.017937683425593834,22.360000228881837,22.326666895548502,22.342597359016416,,-0.1999988555908203,38.88890654951292,30.864208650521874,,
