Date,Price,MV,VA,VO,DY,Date,Ticker,Sector,Industry,High,Low,Open,Close,Volume,Adj Close,FF-01,FF-02,FF-03,FF-04,FF-05,FF-06,FF-07,FF-08,FF-09,FF-11,FF-12
2014-01-02,3.72,6212.39,70615.1,18681.1,1.61,2014-01-02,PTG,Energy & Utilities,Resources,3.900000095367432,3.6800000667572017,3.759999990463257,3.7200000286102295,18681100.0,3.325324535369873,,,,,,,,,,,
2014-01-03,3.64,6078.79,12830.9,3496.6,1.65,2014-01-03,PTG,Energy & Utilities,Resources,3.7200000286102295,3.640000104904175,3.6800000667572017,3.640000104904175,3496600.0,3.253812313079834,3.7200000286102295,0.021739965507499983,,,,,,,,,
2014-01-06,3.5,5845.0,25448.5,7176.6,1.71,2014-01-06,PTG,Energy & Utilities,Resources,3.6800000667572017,3.5,3.6800000667572017,3.5,7176600.0,3.1286652088165283,3.640000104904175,0.03922074197310906,,,,,,,,,
2014-01-07,3.56,5945.2,14299.2,4028.1,1.69,2014-01-07,PTG,Energy & Utilities,Resources,3.5799999237060547,3.5,3.5,3.559999942779541,4028100.0,3.1822996139526367,3.5,-0.01699756029540832,,,,,,,,,
2014-01-08,3.56,5945.2,17753.5,4965.7,1.69,2014-01-08,PTG,Energy & Utilities,Resources,3.5999999046325684,3.5199999809265137,3.5799999237060547,3.559999942779541,4965700.0,3.1822996139526367,3.559999942779541,0.0,3.596000003814697,3.56933331489563,3.596000003814697,,,,,,
2014-01-09,3.48,5811.59,16763.9,4739.2,1.72,2014-01-09,PTG,Energy & Utilities,Resources,3.619999885559082,3.4800000190734863,3.5799999237060547,3.4800000190734863,4739200.0,3.1107876300811768,3.559999942779541,0.022728229523506394,3.5480000019073485,3.5306666533152264,3.5573333422342936,,,,,,
2014-01-10,3.48,5811.59,11135.4,3198.7,1.72,2014-01-10,PTG,Energy & Utilities,Resources,3.5,3.440000057220459,3.5,3.4800000190734863,3198700.0,3.1107876300811768,3.4800000190734863,0.0,3.515999984741211,3.5079999923706056,3.531555567847358,,,,,,
2014-01-13,3.52,5878.39,11438.7,3271.1,1.7,2014-01-13,PTG,Energy & Utilities,Resources,3.539999961853028,3.4600000381469727,3.4600000381469727,3.5199999809265137,3271100.0,3.1465437412261963,3.4800000190734863,-0.011428684924131786,3.5199999809265137,3.5093333244323732,3.52770370554041,,,,,,
2014-01-14,3.58,5978.6,14796.9,4156.3,1.68,2014-01-14,PTG,Energy & Utilities,Resources,3.5999999046325684,3.5199999809265137,3.5199999809265137,3.5799999237060547,4156300.0,3.2001776695251465,3.5199999809265137,-0.016901794910049166,3.5239999771118162,3.529333305358887,3.5451357782622916,,,46.29629077734794,25.740733234971362,,
2014-01-15,3.5,5845.0,16242.6,4597.5,1.71,2014-01-15,PTG,Energy & Utilities,Resources,3.5799999237060547,3.5,3.559999942779541,3.5,4597500.0,3.1286652088165283,3.5799999237060547,0.02259981060608287,3.511999988555908,3.5213333129882813,3.530090518841528,,,51.851851851851855,39.50616916020727,,
2014-01-16,3.56,5945.2,14883.3,4191.6,1.69,2014-01-16,PTG,Energy & Utilities,Resources,3.5799999237060547,3.5,3.5,3.559999942779541,4191600.0,3.1822996139526367,3.5,-0.01699756029540832,3.5279999732971192,3.537333297729492,3.5400603268208655,,-0.16000008583068848,62.037037037037045,53.395059888745614,,
2014-01-17,3.5,5845.0,18630.6,5298.5,1.71,2014-01-17,PTG,Energy & Utilities,Resources,3.559999942779541,3.4800000190734863,3.559999942779541,3.5,5298400.0,3.1286652088165283,3.559999942779541,0.016997560295408266,3.531999969482422,3.5279999732971192,3.526706884547244,,-0.1400001049041748,45.63492063492064,53.174603174603185,,
2014-01-20,3.5,5845.0,25012.6,7148.4,1.71,2014-01-20,PTG,Energy & Utilities,Resources,3.5199999809265137,3.4800000190734863,3.4800000190734863,3.5,7148400.0,3.1286652088165283,3.5,0.0,3.5279999732971192,3.5173333168029783,3.5178045896981627,,0.0,40.07936507936508,49.250440917107596,,
2014-01-21,3.52,5878.39,43664.4,12395.6,1.7,2014-01-21,PTG,Energy & Utilities,Resources,3.559999942779541,3.4800000190734863,3.5,3.5199999809265137,12395600.0,3.1465437412261963,3.5,-0.005698015696033632,3.515999984741211,3.5146666526794434,3.51853638677428,,-0.039999961853027344,28.41269841269842,38.04232804232806,-82.60871368004231,
2014-01-22,3.5,5845.0,42737.5,12225.6,1.71,2014-01-22,PTG,Energy & Utilities,Resources,3.5,3.4800000190734863,3.5,3.5,12225600.0,3.1286652088165283,3.5199999809265137,0.0056980156960335475,3.515999984741211,3.5093333244323732,3.512357591182853,,-0.059999942779541016,25.55555555555556,31.34920634920636,-78.57144681775027,
