Date,Price,MV,VA,VO,DY,Date,Ticker,Sector,Industry,High,Low,Open,Close,Volume,Adj Close,FF-01,FF-02,FF-03,FF-04,FF-05,FF-06,FF-07,FF-08,FF-09,FF-11,FF-12
2014-01-02,155.0,615347.4,895000.2,5548.5,3.87,2014-01-02,PTTEP,Energy & Utilities,Resources,165.0,155.0,164.0,155.0,5548200.0,115.87960052490234,,,,,,,,,,,
2014-01-03,153.0,607407.5,803669.9,5289.9,3.92,2014-01-03,PTTEP,Energy & Utilities,Resources,154.0,150.0,151.0,153.0,5289100.0,114.38435363769531,155.0,0.012987195526811112,,,,,,,,,
2014-01-06,148.0,587557.6,1086611.0,7342.8,4.05,2014-01-06,PTTEP,Energy & Utilities,Resources,152.5,145.5,152.0,148.0,7342300.0,110.64630889892578,153.0,0.033225647628320386,,,,,,,,,
2014-01-07,153.5,609392.5,1716749.0,11420.1,3.91,2014-01-07,PTTEP,Energy & Utilities,Resources,153.5,148.0,148.5,153.5,11419700.0,114.7581787109375,148.0,-0.036488293263136795,,,,,,,,,
2014-01-08,156.5,621302.4,1003253.0,6399.8,3.83,2014-01-08,PTTEP,Energy & Utilities,Resources,158.5,154.5,155.0,156.5,6399400.0,117.0009994506836,153.5,-0.01935544295295609,153.2,153.43333333333334,153.2,,,,,,
2014-01-09,156.5,621302.4,1204687.0,7556.4,3.83,2014-01-09,PTTEP,Energy & Utilities,Resources,163.0,155.5,158.0,156.5,7555700.0,117.0009994506836,156.5,0.0,153.5,154.53333333333333,154.29999999999998,,,,,,
2014-01-10,159.0,631227.4,690460.4,4418.1,3.77,2014-01-10,PTTEP,Energy & Utilities,Resources,159.0,154.0,155.0,159.0,4417800.0,118.8700180053711,156.5,-0.015848192240023616,154.7,156.36666666666667,155.86666666666665,,,,,,
2014-01-13,165.0,655047.3,948867.6,5929.9,3.64,2014-01-13,PTTEP,Energy & Utilities,Resources,165.0,156.5,158.5,165.0,5929500.0,123.35569763183594,159.0,-0.0370412716803491,158.1,159.8,158.9111111111111,,,,,,
2014-01-14,162.0,643137.3,958289.6,5883.1,3.7,2014-01-14,PTTEP,Energy & Utilities,Resources,164.5,161.5,163.0,162.0,5882800.0,121.11287689208984,165.0,0.018349138668196617,159.8,161.1,159.94074074074072,,,83.29004329004329,76.25337625337625,,
2014-01-15,157.5,625272.4,745995.6,4654.1,3.81,2014-01-15,PTTEP,Energy & Utilities,Resources,163.5,157.5,162.0,157.5,4653700.0,117.74861145019531,162.0,0.028170876966696224,160.0,160.33333333333334,159.12716049382715,,,68.18181818181817,77.15728715728716,,
2014-01-16,159.5,633212.4,620005.3,3906.3,3.76,2014-01-16,PTTEP,Energy & Utilities,Resources,161.0,157.0,158.0,159.5,3906100.0,119.24383544921876,157.5,-0.012618463959211462,160.6,160.16666666666666,159.2514403292181,,4.5,51.5151515151515,67.66233766233766,,
2014-01-17,159.0,631227.4,510194.8,3204.2,3.77,2014-01-17,PTTEP,Energy & Utilities,Resources,160.5,158.0,160.5,159.0,3204000.0,118.8700180053711,159.5,0.0031397200046678463,160.6,159.63333333333333,159.1676268861454,,6.0,37.076648841354704,52.257872846108135,,
2014-01-20,158.5,629242.4,270732.0,1702.1,3.79,2014-01-20,PTTEP,Energy & Utilities,Resources,160.0,158.0,159.0,158.5,1435700.0,118.49622344970705,159.0,0.0031496089028962013,159.3,158.93333333333334,158.9450845907636,,10.5,33.137254901960766,40.576351752822326,,
2014-01-21,159.0,631227.4,582158.9,3683.0,3.77,2014-01-21,PTTEP,Energy & Utilities,Resources,160.0,155.5,159.0,159.0,3682800.0,118.8700180053711,158.5,-0.00314960890289622,158.7,158.83333333333334,158.96338972717572,,5.5,31.053921568627434,33.75594177064764,-30.769230769230766,
