Date,Price,MV,VA,VO,DY
2014-01-01,49.0,71050.0,NA,NA,4.63
2014-01-02,46.25,67062.5,47496.7,1004.6,4.91
2014-01-03,46.5,67425.0,56231.2,1221.8,4.88
2014-01-06,46.75,67787.5,45149.1,977.2,4.86
2014-01-07,47.25,68512.5,51973.2,1115.3,4.8
2014-01-08,47.75,69237.5,82567.8,1733.3,4.75
2014-01-09,48.75,70687.5,44309.9,908.4,4.66
2014-01-10,48.75,70687.5,13416.1,276.0,4.66
2014-01-13,50.5,73225.0,35073.6,701.1,4.5
2014-01-14,49.5,71775.0,54253.2,1093.0,4.59
2014-01-15,49.0,71050.0,36493.3,746.4,4.63
2014-01-16,49.5,71775.0,17061.1,347.3,4.59
2014-01-17,49.0,71050.0,29518.8,603.5,4.63
2014-01-20,49.25,71412.5,54910.2,1118.4,4.61
2014-01-21,48.5,70325.0,37906.6,782.7,4.68
2014-01-22,48.75,70687.5,16568.8,341.1,4.66
2014-01-23,49.0,71050.0,21791.3,446.5,4.63
2014-01-24,48.75,70687.5,28569.8,588.6,4.66
2014-01-27,48.0,69600.0,65694.3,1369.1,4.73
2014-01-28,47.75,69237.5,52502.3,1095.0,4.75
2014-01-29,48.0,69600.0,59655.4,1243.2,4.73
2014-01-30,48.0,69600.0,107334.1,2250.7,4.73
2014-01-31,47.75,69237.5,43684.2,911.9,4.75
2014-02-03,48.25,69962.5,17870.5,370.6,4.7
2014-02-04,48.0,69600.0,76120.4,1592.7,4.73
2014-02-05,47.75,69237.5,59496.3,1245.9,4.75
2014-02-06,47.75,69237.5,58150.3,1214.1,4.75
2014-02-07,47.75,69237.5,66045.3,1376.0,4.75
2014-02-10,48.25,69962.5,27700.6,574.5,4.7
2014-02-11,49.25,71412.5,85679.6,1728.8,4.61
2014-02-12,49.75,72137.5,43240.8,880.5,4.56
2014-02-13,50.0,72500.0,34289.6,685.8,4.54
2014-02-14,50.0,72500.0,NA,NA,4.54
2014-02-17,50.0,72500.0,10386.1,206.3,4.54
2014-02-18,50.0,72500.0,34370.3,690.5,4.54
2014-02-19,49.5,71775.0,36488.3,733.4,4.59
2014-02-20,49.0,71050.0,14470.7,294.0,4.63
2014-02-21,49.5,71775.0,24146.4,490.3,4.59
2014-02-24,49.75,72137.5,12452.3,251.0,4.56
2014-02-25,49.75,72137.5,22162.9,446.3,4.56
2014-02-26,49.25,71412.5,26432.2,535.2,4.61
2014-02-27,49.75,72137.5,31194.5,631.9,4.56
2014-02-28,48.5,70325.0,20876.6,430.4,4.68
2014-03-03,48.5,70325.0,22613.6,466.5,4.68
2014-03-04,48.5,70325.0,33170.3,687.3,4.68
2014-03-05,48.25,69962.5,13098.9,270.8,4.7
2014-03-06,48.25,69962.5,16326.0,338.8,4.7
2014-03-07,48.25,69962.5,10933.2,226.6,4.7
2014-03-10,48.5,70325.0,10027.4,207.9,4.68
2014-03-11,48.5,70325.0,43238.8,893.4,4.68
2014-03-12,48.75,70687.5,23357.0,481.6,4.66
2014-03-13,49.25,71412.5,65850.3,1346.3,4.61
2014-03-14,49.5,71775.0,58171.8,1180.5,4.59
2014-03-17,49.75,72137.5,48483.5,979.6,4.56
2014-03-18,49.25,71412.5,57303.9,1159.1,4.61
2014-03-19,49.25,71412.5,35940.8,726.5,4.61
2014-03-20,49.75,72137.5,70858.8,1438.4,4.56
2014-03-21,49.5,71775.0,38163.9,771.1,4.59
2014-03-24,49.75,72137.5,94664.6,1903.3,4.56
2014-03-25,50.0,72500.0,121872.9,2434.3,4.54
2014-03-26,51.25,74312.5,97474.6,1915.1,4.43
2014-03-27,51.0,73950.0,25434.1,499.1,4.45
2014-03-28,51.5,74675.0,87637.4,1707.8,4.41
2014-03-31,51.75,75037.5,30099.2,581.3,4.39
2014-04-01,53.0,76850.0,96215.6,1824.0,4.28
2014-04-02,53.25,77212.5,27916.1,524.6,4.26
2014-04-03,54.25,78662.5,76076.0,1417.7,4.18
