Date,Price,MV,VA,VO,DY,Date,Ticker,Sector,Industry,High,Low,Open,Close,Volume,Adj Close,FF-01,FF-02,FF-03,FF-04,FF-05,FF-06,FF-07,FF-08,FF-09,FF-11,FF-12
2014-01-02,367.47,87859.94,48723.5,128.9,3.66,2014-01-02,SCCC,Construction Materials,Property & Construction,384.7869873046875,367.47198486328125,380.9400024414063,367.47198486328125,128902.0,281.7293701171875,,,,,,,,,,,
2014-01-03,360.74,86249.94,46441.6,129.8,3.73,2014-01-03,SCCC,Construction Materials,Property & Construction,361.70001220703125,354.0039978027344,357.85198974609375,360.7380065917969,129733.0,276.56661987304693,367.47198486328125,0.018495132742026753,,,,,,,,,
2014-01-06,370.36,88549.94,22359.2,61.6,3.64,2014-01-06,SCCC,Construction Materials,Property & Construction,370.3580017089844,355.9280090332031,358.8139953613281,370.3580017089844,61644.0,283.9419860839844,360.7380065917969,-0.026318158687930318,,,,,,,,,
2014-01-07,375.17,89699.94,28998.4,77.7,3.59,2014-01-07,SCCC,Construction Materials,Property & Construction,375.1679992675781,367.47198486328125,367.47198486328125,375.1679992675781,77653.0,287.6296081542969,370.3580017089844,-0.012903813667648936,,,,,,,,,
2014-01-08,377.09,90159.94,106795.6,283.7,3.57,2014-01-08,SCCC,Construction Materials,Property & Construction,379.0159912109375,373.2439880371094,375.1679992675781,377.0920104980469,283689.0,289.104736328125,375.1679992675781,-0.00511529365068764,370.1656005859375,372.41027018229164,370.1656005859375,,,,,,
2014-01-09,377.09,90159.94,30487.7,80.5,3.57,2014-01-09,SCCC,Construction Materials,Property & Construction,382.8630065917969,375.1679992675781,378.0539855957031,377.0920104980469,80460.0,289.104736328125,377.0920104980469,0.0,372.0896057128906,374.7190734863281,372.474403889974,,,,,,
2014-01-10,380.94,91079.94,25614.0,67.8,3.54,2014-01-10,SCCC,Construction Materials,Property & Construction,381.9020080566406,371.3200073242188,381.9020080566406,380.9400024414063,67777.0,292.0548095703125,377.0920104980469,-0.010152671472503625,376.1300048828125,377.66920572916666,375.29627007378474,,,,,,
2014-01-13,386.71,92459.94,40842.1,106.9,3.48,2014-01-13,SCCC,Construction Materials,Property & Construction,386.71099853515625,375.1679992675781,376.1300048828125,386.71099853515625,106864.0,296.4792785644531,380.9400024414063,-0.015035751425044456,379.4006042480469,381.1962036132812,379.1011795609086,,,,,,
2014-01-14,383.83,91769.94,58805.9,153.2,3.51,2014-01-14,SCCC,Construction Materials,Property & Construction,386.71099853515625,380.9400024414063,386.71099853515625,383.82501220703125,153227.0,294.2666015625,386.71099853515625,0.007490888895757763,381.1320068359375,382.67100626627604,380.67579044294945,,,91.36981137732921,88.31540770207175,,
2014-01-15,371.32,88779.94,83651.8,223.0,3.63,2014-01-15,SCCC,Construction Materials,Property & Construction,380.9400024414063,370.3580017089844,379.9779968261719,371.3200073242188,222980.0,284.6794738769531,383.82501220703125,0.03312250709205189,379.97760620117185,379.4003397623698,377.55719607003925,,,62.37720266983599,81.56715645779086,,
2014-01-16,377.09,90159.94,20706.8,55.3,3.57,2014-01-16,SCCC,Construction Materials,Property & Construction,378.0539855957031,371.3200073242188,371.3200073242188,377.0920104980469,55303.0,289.104736328125,371.3200073242188,-0.015424973090261774,379.97760620117185,378.4384745279948,377.40213421270846,,9.620025634765625,42.770219437431706,65.50574449486562,,
2014-01-17,375.17,89699.94,38919.2,103.8,3.59,2014-01-17,SCCC,Construction Materials,Property & Construction,377.0920104980469,372.2820129394531,376.1300048828125,375.1679992675781,103849.0,287.6296081542969,377.0920104980469,0.005115293650687541,378.8232055664063,376.83527221679685,376.6574225643317,,14.42999267578125,25.491784158027958,43.546402088431876,,
