Date,Price,MV,VA,VO,DY
2014-01-01,19.0,15959.82,NA,NA,0.0
2014-01-02,17.8,14951.82,29789.9,1639.7,0.0
2014-01-03,17.4,14615.84,38711.4,2213.1,0.0
2014-01-06,16.8,14111.84,35586.1,2117.5,0.0
2014-01-07,17.0,14279.84,41249.4,2430.3,0.0
2014-01-08,17.0,14279.84,35632.9,2075.4,0.0
2014-01-09,17.0,14279.84,20809.4,1210.6,0.0
2014-01-10,17.0,14279.84,10534.5,621.3,0.0
2014-01-13,17.3,14531.83,14300.6,837.9,0.0
2014-01-14,18.0,15119.83,34014.0,1905.2,0.0
2014-01-15,17.8,14951.82,32390.1,1785.8,0.0
2014-01-16,19.0,15959.82,46700.3,2498.5,0.0
2014-01-17,18.7,15707.82,32352.1,1718.6,0.0
2014-01-20,18.6,15623.82,15847.3,849.4,0.0
2014-01-21,19.4,16295.81,34024.0,1786.9,0.0
2014-01-22,19.1,16043.82,32088.3,1683.0,0.0
2014-01-23,19.2,16127.82,18267.8,951.9,0.0
2014-01-24,19.1,16043.82,56855.3,2915.4,0.0
2014-01-27,19.2,16127.82,25209.6,1310.9,0.0
2014-01-28,19.0,15959.82,59941.2,3135.7,0.0
2014-01-29,18.9,15875.82,24359.1,1279.4,0.0
2014-01-30,18.9,15875.82,14679.6,772.0,0.0
2014-01-31,18.8,15791.82,17807.9,949.5,0.0
2014-02-03,19.2,16127.82,19262.4,1008.2,0.0
2014-02-04,19.0,15959.82,12023.9,633.9,0.0
2014-02-05,19.1,16043.82,36196.6,1886.1,0.0
2014-02-06,19.2,16127.82,32799.6,1712.8,0.0
2014-02-07,19.1,16043.82,15493.2,810.3,0.0
2014-02-10,18.9,15875.82,8103.9,427.0,0.0
2014-02-11,18.9,15875.82,13321.1,700.4,0.0
2014-02-12,19.2,16127.82,33462.1,1743.6,0.0
2014-02-13,19.0,15959.82,15541.8,812.9,0.0
2014-02-14,19.0,15959.82,NA,NA,0.0
2014-02-17,19.1,16043.82,21390.8,1124.9,0.0
2014-02-18,19.0,15959.82,26157.2,1380.5,0.0
2014-02-19,18.8,15791.82,23544.6,1252.2,0.0
2014-02-20,18.5,15539.83,29204.7,1577.9,0.0
2014-02-21,18.6,15623.82,16258.1,879.8,0.0
2014-02-24,18.4,15455.82,29255.1,1599.0,0.0
2014-02-25,18.5,15539.83,16023.3,863.9,0.0
2014-02-26,18.4,15455.82,10423.5,564.6,0.0
2014-02-27,18.8,15791.82,41988.7,2244.9,0.0
2014-02-28,19.0,15959.82,20730.0,1098.4,0.0
2014-03-03,18.7,15707.82,23568.3,1250.4,0.0
2014-03-04,18.9,15875.82,13675.2,726.1,0.0
2014-03-05,19.4,16295.81,93573.0,4838.5,0.0
2014-03-06,20.1,16883.8,168503.4,8423.8,0.0
2014-03-07,19.9,16715.81,69663.2,3493.0,0.0
2014-03-10,19.4,16295.81,71046.1,3660.4,0.0
2014-03-11,19.7,16547.82,59194.3,3039.8,0.0
2014-03-12,19.4,16295.81,29302.8,1504.0,0.0
2014-03-13,19.4,16295.81,40591.4,2090.7,0.0
2014-03-14,19.6,16463.81,52987.5,2714.6,0.0
2014-03-17,19.5,16379.82,35133.8,1801.0,0.0
2014-03-18,19.1,16043.82,85656.9,4455.8,0.0
2014-03-19,18.7,15707.82,38989.4,2054.1,0.0
2014-03-20,18.8,15791.82,15627.4,835.1,0.0
2014-03-21,18.7,15707.82,15312.8,817.7,0.0
2014-03-24,18.4,15455.82,44987.5,2458.5,0.0
2014-03-25,18.8,15791.82,100416.3,5484.2,0.0
2014-03-26,19.3,16211.81,103634.0,5411.0,0.0
