Date,Price,MV,VA,VO,DY
2014-01-01,0.29,2426.36,NA,NA,0.0
2014-01-02,0.24,2063.23,42034.9,161154.8,0.0
2014-01-03,0.25,2096.24,106707.7,421432.7,0.0
2014-01-06,0.23,1980.7,78701.8,324685.5,0.0
2014-01-07,0.22,1914.68,36346.6,156673.1,0.0
2014-01-08,0.22,1848.65,20644.4,92617.9,0.0
2014-01-09,0.22,1832.15,17491.9,79328.6,0.0
2014-01-10,0.2,2048.11,8262.5,39949.4,0.0
2014-01-13,0.2,2048.11,4684.1,22938.4,0.0
2014-01-14,0.22,2262.68,35164.8,159181.0,0.0
2014-01-15,0.22,2184.65,15632.7,69556.7,0.0
2014-01-16,0.23,2360.21,34464.8,148720.3,0.0
2014-01-17,0.25,2535.76,98066.8,391024.9,0.0
2014-01-20,0.3,3062.42,447476.1,1556536.0,0.0
2014-01-21,0.27,2730.82,296336.0,1018267.0,0.0
2014-01-22,0.26,2594.28,136692.9,506947.3,0.0
2014-01-23,0.25,2535.76,70235.0,268579.9,0.0
2014-01-24,0.26,2594.28,38633.1,151351.0,0.0
2014-01-27,0.26,2574.77,7650.3,30391.1,0.0
2014-01-28,0.26,2594.28,17858.5,68512.1,0.0
2014-01-29,0.26,2633.29,2746.6,10562.8,0.0
2014-01-30,0.26,2574.77,3155.3,12269.4,0.0
2014-01-31,0.25,2555.27,2386.4,9389.2,0.0
2014-02-03,0.25,2555.27,2555.9,10021.4,0.0
2014-02-04,0.25,2555.27,2848.4,11164.0,0.0
2014-02-05,0.26,2613.78,3387.5,13147.0,0.0
2014-02-06,0.28,2789.33,27617.0,100982.1,0.0
2014-02-07,0.27,2750.32,12045.2,43984.6,0.0
2014-02-10,0.28,2808.84,18778.6,67770.6,0.0
2014-02-11,0.29,2886.86,27385.9,96332.3,0.0
2014-02-12,0.29,2867.36,16708.0,58628.9,0.0
2014-02-13,0.29,2906.37,12426.5,43448.3,0.0
2014-02-14,0.29,2906.37,NA,NA,0.0
2014-02-17,0.29,2964.89,46145.6,156829.9,0.0
2014-02-18,0.29,2906.37,21921.5,75729.6,0.0
2014-02-19,0.29,2867.36,8822.9,30778.8,0.0
2014-02-20,0.29,2867.36,5659.3,19800.4,0.0
2014-02-21,0.29,2867.36,4005.8,13999.8,0.0
2014-02-24,0.29,2906.37,11687.3,40311.4,0.0
2014-02-25,0.29,2867.36,6483.0,22512.5,0.0
2014-02-26,0.28,2789.33,15178.0,53948.2,0.0
2014-02-27,0.28,2808.84,7103.6,25691.8,0.0
2014-02-28,0.29,2964.89,39713.0,135208.3,0.0
2014-03-03,0.31,3140.44,65158.0,212219.7,0.0
2014-03-04,0.31,3120.93,36534.8,117859.0,0.0
2014-03-05,0.3,3042.91,38275.8,126918.3,0.0
2014-03-06,0.32,3666.14,33120.3,105924.7,0.0
2014-03-07,0.34,3866.11,102431.0,309957.8,0.0
2014-03-10,0.34,3910.55,214342.1,617603.4,0.0
2014-03-11,0.34,3910.55,43997.4,129208.6,0.0
2014-03-12,0.35,3999.42,170748.8,483083.4,0.0
2014-03-13,0.36,4110.52,85991.7,239859.4,0.0
2014-03-14,0.38,4310.48,102385.9,277440.2,0.0
2014-03-17,0.37,4288.27,102576.9,270540.3,0.0
2014-03-18,0.36,4154.95,56082.2,151065.3,0.0
2014-03-19,0.37,4243.83,46667.5,128166.1,0.0
2014-03-20,0.37,4288.27,24441.2,65314.3,0.0
2014-03-21,0.37,4288.27,40787.3,107918.1,0.0
2014-03-24,0.36,4154.95,25285.5,68985.4,0.0
2014-03-25,0.36,4177.17,27644.4,75164.4,0.0
2014-03-26,0.37,4199.39,11421.7,31126.3,0.0
2014-03-27,0.36,4177.17,13234.0,36096.8,0.0
2014-03-28,0.37,4199.39,8148.6,22239.3,0.0
2014-03-31,0.37,4288.27,29463.1,78745.9,0.0
2014-04-01,0.4,4814.99,252788.7,640651.9,0.0
2014-04-02,0.4,4768.7,83077.7,206586.1,0.0
2014-04-03,0.42,4977.04,291837.5,688394.3,0.0
2014-04-04,0.41,4930.74,111265.8,265064.6,0.0
2014-04-07,0.41,4930.74,NA,NA,0.0
2014-04-08,0.43,5139.08,246327.3,570314.8,0.0
2014-04-09,0.42,5023.33,239364.3,551538.3,0.0
2014-04-10,0.43,5092.78,61153.0,142757.8,0.0
2014-04-11,0.44,5208.53,147413.8,338051.3,0.0
2014-04-14,0.44,5208.53,NA,NA,0.0
2014-04-15,0.44,5208.53,NA,NA,0.0
2014-04-16,0.46,5486.31,220625.8,484791.6,0.0
2014-04-17,0.45,5416.87,117327.3,258123.4,0.0
2014-04-18,0.48,5671.51,231448.8,493000.1,0.0
2014-04-21,0.48,5787.25,218399.6,453890.1,0.0
2014-04-22,0.48,5740.95,124078.3,256949.9,0.0
2014-04-23,0.48,5892.0,88634.9,186532.1,0.0
2014-04-24,0.48,5964.15,54446.8,112771.0,0.0
2014-04-25,0.51,6372.98,323644.1,631207.2,0.0
2014-04-28,0.61,7575.44,599709.0,1042113.0,0.0
2014-04-29,0.59,7334.95,242042.6,404811.3,0.0
2014-04-30,0.6,7395.07,362408.8,584210.6,0.0
2014-05-01,0.6,7395.07,NA,NA,0.0
2014-05-02,0.59,7334.95,161390.8,269995.8,0.0
2014-05-05,0.59,7334.95,NA,NA,0.0
2014-05-06,0.52,7225.0,101886.3,178651.4,0.0
2014-05-07,0.55,7559.48,76696.1,143948.9,0.0
2014-05-08,0.54,7492.59,22404.9,41535.4,0.0
2014-05-09,0.61,8429.16,119560.2,203186.4,0.0
2014-05-12,0.69,9566.43,194733.7,300609.6,0.0
2014-05-13,0.69,9566.43,NA,NA,0.0
2014-05-14,0.78,10770.6,257608.3,346247.6,0.0
2014-05-15,0.8,11105.09,260601.1,329302.6,0.0
2014-05-16,0.81,11171.99,97086.7,119171.8,0.0
2014-05-19,0.81,11238.88,74399.5,91180.8,0.0
2014-05-20,0.8,11038.19,87724.5,110708.6,0.0
2014-05-21,0.92,12710.64,243479.5,281065.8,0.0
2014-05-22,1.07,14717.59,490704.9,493526.1,0.0
2014-05-23,1.2,16590.73,598582.4,524757.4,0.0
2014-05-26,0.96,13245.83,1005373.0,955088.2,0.0
2014-05-27,0.78,10703.7,653906.9,853845.6,0.0
2014-05-28,0.88,12175.46,455297.8,534936.6,0.0
2014-05-29,0.88,13292.01,178492.8,203045.4,0.0
2014-05-30,0.89,13365.04,93756.1,106124.6,0.0
2014-06-02,1.04,17966.46,358191.1,374942.4,0.0
2014-06-03,1.16,20149.3,428174.8,384613.3,0.0
2014-06-04,1.08,18638.11,352463.7,325589.8,0.0
2014-06-05,1.0,17294.82,114897.4,112786.9,0.0
2014-06-06,0.91,15783.62,235006.8,253732.2,0.0
2014-06-09,0.94,16287.35,70980.0,75574.5,0.0
2014-06-10,0.98,16959.0,93633.9,96872.1,0.0
2014-06-11,0.97,16791.09,67460.1,68995.3,0.0
2014-06-12,1.02,17630.64,72645.7,72794.8,0.0
2014-06-13,1.06,18302.28,122880.8,117111.6,0.0
2014-06-16,1.02,17630.64,171438.9,164220.9,0.0
2014-06-17,0.98,16959.0,171874.2,172500.6,0.0
2014-06-18,0.95,16455.26,135424.9,140577.3,0.0
2014-06-19,0.96,16539.22,42032.4,43814.3,0.0
