Date,Price,MV,VA,VO,DY
2014-01-01,5.1,7781.62,NA,NA,1.96
2014-01-02,4.82,7362.02,14237.8,2875.0,2.07
2014-01-03,4.82,7362.02,3767.9,789.0,2.07
2014-01-06,4.72,7209.44,11600.3,2470.0,2.12
2014-01-07,4.85,7400.17,3231.3,665.0,2.06
2014-01-08,4.67,7133.15,8772.5,1837.0,2.14
2014-01-09,4.72,7209.44,7696.8,1631.0,2.12
2014-01-10,4.7,7171.3,1549.0,329.0,2.13
2014-01-13,4.77,7285.73,11971.7,2546.0,2.09
2014-01-14,4.85,7400.17,8927.2,1846.0,2.06
2014-01-15,4.82,7362.02,18335.1,3778.0,2.07
2014-01-16,4.85,7400.17,24099.2,4967.0,2.06
2014-01-17,4.92,7514.6,42652.5,8591.3,2.03
2014-01-20,4.8,7323.88,7298.7,1508.0,2.08
2014-01-21,4.8,7323.88,3129.2,648.0,2.08
2014-01-22,4.75,7247.59,5109.9,1080.6,2.11
2014-01-23,4.72,7209.44,13865.0,2930.3,2.12
2014-01-24,4.77,7285.73,6035.0,1263.0,2.09
2014-01-27,4.65,7095.0,8960.9,1917.0,2.15
2014-01-28,4.65,7095.0,9509.4,2051.0,2.15
2014-01-29,4.62,7056.86,8029.4,1740.0,2.16
2014-01-30,4.6,7018.71,11051.1,2403.1,2.17
2014-01-31,4.6,7018.71,3278.1,710.0,2.17
2014-02-03,4.8,7323.88,8698.6,1817.1,2.08
2014-02-04,4.87,7438.31,18875.9,3874.0,2.05
2014-02-05,4.87,7438.31,11655.0,2378.0,2.05
2014-02-06,4.9,7476.46,10704.3,2171.0,2.04
2014-02-07,4.85,7400.17,4420.4,903.0,2.06
2014-02-10,5.05,7705.33,24761.3,4936.0,1.98
2014-02-11,4.97,7590.89,11289.3,2249.0,2.01
2014-02-12,5.02,7667.18,5216.1,1040.0,1.99
2014-02-13,5.05,7705.33,8976.5,1781.0,1.98
2014-02-14,5.05,7705.33,NA,NA,1.98
2014-02-17,5.2,7934.2,22910.2,4436.0,1.92
2014-02-18,5.22,7972.34,24571.0,4737.0,1.91
2014-02-19,5.2,7934.2,2295.0,442.0,1.92
2014-02-20,4.8,7323.88,57386.7,11656.8,2.08
