Date,Price,MV,VA,VO,DY
2014-01-01,32.25,41209.59,NA,NA,4.65
2014-01-02,30.75,39292.87,136705.6,4390.1,4.88
2014-01-03,31.0,39612.32,38990.4,1279.2,4.84
2014-01-06,31.75,40570.69,53041.1,1705.3,4.72
2014-01-07,32.25,41209.59,32120.3,1007.8,4.65
2014-01-08,32.0,40890.14,96316.6,2980.7,4.69
2014-01-09,32.5,41529.05,36391.7,1123.9,4.62
2014-01-10,32.0,40890.14,31537.2,981.7,4.69
2014-01-13,32.25,41209.59,40638.1,1267.8,4.65
2014-01-14,32.5,41529.05,29840.7,919.2,4.62
2014-01-15,32.5,41529.05,34140.2,1053.2,4.62
2014-01-16,32.75,41848.5,33223.3,1018.2,4.58
2014-01-17,32.5,41529.05,38972.5,1199.1,4.62
2014-01-20,32.75,41848.5,44567.4,1382.3,4.58
2014-01-21,32.0,40890.14,77364.6,2402.4,4.69
2014-01-22,31.75,40570.69,57646.0,1816.1,4.72
2014-01-23,31.25,39931.78,196385.6,6279.9,4.8
2014-01-24,31.75,40570.69,80060.8,2544.1,4.72
2014-01-27,31.0,39612.32,48842.9,1570.2,4.84
2014-01-28,30.5,38973.41,46499.1,1511.1,4.92
2014-01-29,30.75,39292.87,52922.8,1722.9,4.88
2014-01-30,30.5,38973.41,33939.8,1104.1,4.92
2014-01-31,31.0,39612.32,119561.0,3880.1,4.84
2014-02-03,31.25,39931.78,118856.5,3816.0,4.8
2014-02-04,30.75,39292.87,75674.9,2444.6,4.88
2014-02-05,31.0,39612.32,79434.9,2559.9,4.84
2014-02-06,31.5,40251.23,35414.7,1126.9,4.76
2014-02-07,31.25,39931.78,64923.6,2059.6,4.8
2014-02-10,30.75,39292.87,90927.1,2938.6,4.88
2014-02-11,31.25,39931.78,29275.0,942.6,4.8
2014-02-12,31.5,40251.23,40622.3,1295.0,4.76
2014-02-13,31.5,40251.23,44519.1,1414.0,4.76
2014-02-14,31.5,40251.23,NA,NA,4.76
2014-02-17,32.0,40890.14,21244.0,668.0,4.69
2014-02-18,31.75,40570.69,55831.3,1759.3,4.72
2014-02-19,31.75,40570.69,43729.0,1380.5,4.72
2014-02-20,31.25,39931.78,58958.3,1875.9,4.8
2014-02-21,31.5,40251.23,29943.1,956.7,4.76
2014-02-24,31.0,39612.32,16023.1,515.6,4.84
2014-02-25,31.25,39931.78,19211.9,614.3,5.12
2014-02-26,31.25,39931.78,40638.6,1298.9,5.12
2014-02-27,31.5,40251.23,30169.8,960.3,5.08
2014-02-28,32.0,40890.14,70776.6,2230.8,5.0
2014-03-03,32.25,41209.59,53645.8,1675.1,4.96
2014-03-04,32.0,40890.14,59851.3,1856.5,5.0
2014-03-05,33.75,43126.29,282606.1,8501.1,4.74
2014-03-06,34.75,44404.12,264791.8,7654.9,4.6
2014-03-07,34.75,44404.12,83329.2,2418.0,4.6
2014-03-10,34.0,43445.74,47377.8,1387.9,4.71
2014-03-11,34.75,44404.12,34172.4,992.7,4.6
2014-03-12,34.75,44404.12,165709.4,4773.4,4.6
2014-03-13,36.0,46001.39,306420.5,8616.4,4.44
2014-03-14,36.5,46640.29,302214.8,8340.9,4.38
2014-03-17,36.25,46320.84,125564.9,3455.2,4.41
2014-03-18,35.5,45362.46,91301.9,2531.1,4.51
2014-03-19,35.75,45681.95,142573.8,3999.7,4.48
2014-03-20,36.25,46320.84,231893.2,6381.7,4.41
2014-03-21,36.5,46640.29,98991.4,2727.4,4.38
2014-03-24,36.25,46320.84,90410.2,2520.5,4.41
2014-03-25,35.5,45362.46,127178.6,3597.7,4.51
2014-03-26,35.75,45681.95,116289.5,3262.2,4.48
2014-03-27,35.5,45362.46,44337.0,1248.0,4.51
2014-03-28,36.0,46001.39,105048.3,2936.9,4.44
2014-03-31,36.0,46001.39,77107.8,2146.8,4.44
2014-04-01,36.25,46320.84,46612.6,1296.4,4.41
2014-04-02,35.75,45681.95,74777.0,2084.6,4.48
2014-04-03,36.0,46001.39,178244.0,4993.3,4.44
2014-04-04,36.25,46320.84,146236.1,4043.8,4.41
2014-04-07,36.25,46320.84,NA,NA,4.41
2014-04-08,35.75,45681.95,52076.5,1449.8,4.48
2014-04-09,35.25,45043.02,78953.4,2219.5,4.54
2014-04-10,36.0,46001.39,87438.4,2444.9,4.44
2014-04-11,34.25,43765.23,126379.1,3679.0,4.67
2014-04-14,34.25,43765.23,NA,NA,4.67
2014-04-15,34.25,43765.23,NA,NA,4.67
2014-04-16,34.5,44084.67,56265.1,1642.6,4.64
2014-04-17,34.75,44404.12,76382.4,2207.8,4.6
2014-04-18,34.5,44084.67,98783.2,2862.4,4.64
2014-04-21,34.25,43765.23,47050.4,1365.4,4.67
2014-04-22,34.5,44084.67,17499.3,508.3,4.64
2014-04-23,34.5,44084.67,63994.0,1861.2,4.64
2014-04-24,34.0,43445.74,48744.9,1428.0,4.71
2014-04-25,33.75,43126.29,67571.1,1993.1,4.74
2014-04-28,33.75,43126.29,37872.3,1117.2,4.74
2014-04-29,33.75,43126.29,25237.7,748.5,4.74
2014-04-30,34.75,44404.12,85584.8,2488.3,4.6
2014-05-01,34.75,44404.12,NA,NA,4.6
2014-05-02,34.25,43765.23,64666.6,1872.8,4.67
2014-05-05,34.25,43765.23,NA,NA,4.67
2014-05-06,34.0,43445.74,48978.5,1436.0,4.71
2014-05-07,34.25,43765.23,91247.8,2692.6,4.67
2014-05-08,33.5,42806.86,77681.1,2317.5,4.78
2014-05-09,33.0,42167.96,97911.4,2948.7,4.85
2014-05-12,33.5,42806.86,61935.1,1866.8,4.78
2014-05-13,33.5,42806.86,NA,NA,4.78
2014-05-14,33.5,42806.86,69836.7,2080.3,4.78
2014-05-15,33.5,42806.86,28761.4,855.8,4.78
2014-05-16,33.5,42806.86,59220.3,1762.9,4.78
2014-05-19,33.5,42806.86,30792.4,917.3,4.78
2014-05-20,33.25,42487.41,121955.3,3673.5,4.81
2014-05-21,33.25,42487.41,54136.6,1627.9,4.81
2014-05-22,33.0,42167.96,139785.3,4210.4,4.85
2014-05-23,33.5,42806.86,160124.9,4862.3,4.78
2014-05-26,33.0,42167.96,55887.1,1685.2,4.85
2014-05-27,32.75,41848.5,142766.9,4354.2,4.89
2014-05-28,33.25,42487.41,109374.3,3298.3,4.81
2014-05-29,33.25,42487.41,123229.4,3704.6,4.81
2014-05-30,34.0,43445.74,189057.9,5588.5,4.71
2014-06-02,35.5,45362.46,288235.1,8225.6,4.51
2014-06-03,35.75,45681.95,174765.8,4899.0,4.48
2014-06-04,35.25,45043.02,52759.9,1490.3,4.54
2014-06-05,35.0,44723.57,93735.3,2675.9,4.57
2014-06-06,35.75,45681.95,78545.2,2212.8,4.48
2014-06-09,35.25,45043.02,88436.9,2485.2,4.54
2014-06-10,35.75,45681.95,199902.1,5576.5,4.48
2014-06-11,35.75,45681.95,138847.1,3861.7,4.48
2014-06-12,36.0,46001.39,160773.6,4475.0,4.44
2014-06-13,35.75,45681.95,30743.3,859.3,4.48
2014-06-16,35.5,45362.46,85258.4,2395.3,4.51
2014-06-17,35.25,45043.02,90691.3,2551.3,4.54
2014-06-18,34.75,44404.12,151457.8,4328.4,4.6
2014-06-19,34.75,44404.12,103880.1,3000.4,4.6
2014-06-20,34.75,44404.12,111617.3,3197.5,4.6
2014-06-23,35.25,45043.02,110893.6,3169.5,4.54
2014-06-24,35.0,44723.57,79623.0,2276.9,4.57
2014-06-25,35.25,45043.02,73244.6,2093.2,4.54
2014-06-26,34.75,44404.12,96562.3,2766.1,4.6
2014-06-27,35.0,44723.57,71752.9,2050.8,4.57
2014-06-30,35.25,45043.02,92022.8,2624.1,4.54
2014-07-01,35.25,45043.02,NA,NA,4.54
2014-07-02,35.5,45362.46,124619.6,3528.9,4.51
2014-07-03,35.5,45362.46,76112.1,2143.4,4.51
2014-07-04,35.75,45681.95,638618.4,17760.0,4.48
2014-07-07,35.75,45681.95,87575.5,2437.0,4.48
2014-07-08,35.75,45681.95,113356.5,3163.2,4.48
2014-07-09,35.75,45681.95,54363.5,1523.3,4.48
2014-07-10,36.0,46001.39,114952.7,3200.3,4.44
2014-07-11,36.0,46001.39,NA,NA,4.44
2014-07-14,36.0,46001.39,192810.9,5355.3,4.44
2014-07-15,35.75,45681.95,101519.4,2834.7,4.48
2014-07-16,35.75,45681.95,263444.7,7362.2,4.48
2014-07-17,35.75,45681.95,133621.5,3717.6,4.48
2014-07-18,36.0,46001.39,85774.3,2396.2,4.44
2014-07-21,35.5,45362.46,89194.7,2505.2,4.51
2014-07-22,35.25,45043.02,277970.9,7851.9,4.54
2014-07-23,35.5,45362.46,46877.4,1319.5,4.51
2014-07-24,35.75,45681.95,38551.8,1080.3,4.48
2014-07-25,35.5,45362.46,61004.6,1717.4,4.51
2014-07-28,35.5,45362.46,34904.2,984.0,4.51
2014-07-29,35.25,45043.02,85718.7,2427.2,4.54
2014-07-30,35.0,44723.57,58132.5,1656.4,4.57
2014-07-31,35.5,45362.46,116615.3,3310.4,4.51
2014-08-01,34.5,44084.67,146639.0,4228.7,4.64
2014-08-04,34.75,44404.12,157846.1,4576.6,4.6
2014-08-05,34.5,44084.67,70385.2,2034.3,4.64
2014-08-06,34.5,44084.67,53773.1,1558.6,4.64
2014-08-07,34.5,44084.67,55839.5,1619.3,4.64
2014-08-08,34.0,43445.74,102062.7,2993.0,4.71
2014-08-11,34.0,43445.74,NA,NA,4.71
2014-08-12,34.0,43445.74,NA,NA,4.71
2014-08-13,34.5,44084.67,203778.3,5950.5,4.64
2014-08-14,34.75,44404.12,85483.9,2459.5,4.6
2014-08-15,34.75,44404.12,109716.7,3152.9,4.6
2014-08-18,34.75,44404.12,48791.6,1401.5,4.6
2014-08-19,34.75,44404.12,69766.7,2014.4,4.6
2014-08-20,34.5,44084.67,128487.6,3709.7,4.64
2014-08-21,34.75,44404.12,80599.0,2327.1,4.6
2014-08-22,34.75,44404.12,115790.4,3328.7,4.6
2014-08-25,35.0,44723.57,216113.6,6146.7,4.57
2014-08-26,35.25,45043.02,88977.1,2530.3,4.54
2014-08-27,35.5,45362.46,101499.9,2860.9,4.51
2014-08-28,35.25,45043.02,125990.1,3547.4,4.54
2014-08-29,35.0,44723.57,58795.3,1672.3,4.57
2014-09-01,35.5,45362.46,38452.2,1090.2,4.51
2014-09-02,35.25,45043.02,94071.3,2673.8,4.54
2014-09-03,35.25,45043.02,112780.6,3187.6,4.54
2014-09-04,35.75,45681.95,88782.8,2495.2,4.48
2014-09-05,36.0,46001.39,131559.6,3670.4,4.44
2014-09-08,37.25,47598.67,516477.4,13943.6,4.3
2014-09-09,37.5,47918.12,271661.8,7300.0,4.27
2014-09-10,37.0,47279.23,376677.3,10203.1,4.32
2014-09-11,37.0,47279.23,171307.9,4618.9,4.32
2014-09-12,36.75,46959.74,86765.9,2367.7,4.35
2014-09-15,37.0,47279.23,99918.3,2704.6,4.32
2014-09-16,36.25,46320.84,107313.6,2926.1,4.41
2014-09-17,36.5,46640.29,144888.5,3987.2,4.38
2014-09-18,37.0,47279.23,161579.6,4376.0,4.32
2014-09-19,37.75,48237.57,377724.1,10034.4,4.24
2014-09-22,38.5,49195.95,244986.4,6406.1,4.16
2014-09-23,38.5,49195.95,158977.1,4136.1,4.16
2014-09-24,38.0,48557.01,110578.8,2903.5,4.21
2014-09-25,37.75,48237.57,109233.4,2863.7,4.24
2014-09-26,37.75,48237.57,89839.9,2390.1,4.24
2014-09-29,37.5,47918.12,123972.8,3314.2,4.27
2014-09-30,37.25,47598.67,96837.6,2603.3,4.3
2014-10-01,37.25,47598.67,126974.7,3411.2,4.3
2014-10-02,36.0,46001.39,150380.6,4163.6,4.44
2014-10-03,35.5,45362.46,79067.8,2213.1,4.51
2014-10-06,35.0,44723.57,143586.4,4085.0,4.57
2014-10-07,34.75,44404.12,90949.5,2600.3,4.6
2014-10-08,35.25,45043.02,92370.6,2658.7,4.54
2014-10-09,35.25,45043.02,72595.1,2073.3,4.54
2014-10-10,35.0,44723.57,92594.1,2661.3,4.57
2014-10-13,35.0,44723.57,27456.6,789.5,4.57
2014-10-14,34.75,44404.12,27978.1,803.5,4.6
2014-10-15,35.25,45043.02,90904.4,2574.8,4.54
2014-10-16,35.0,44723.57,67569.9,1932.6,4.57
2014-10-17,35.25,45043.02,65502.0,1862.7,4.54
2014-10-20,35.5,45362.46,25552.5,721.8,4.51
2014-10-21,34.5,44084.67,186980.0,5397.8,4.64
2014-10-22,34.0,43445.74,137193.6,4015.5,4.71
