Date,Price,MV,VA,VO,DY
2014-01-01,13.8,30122.23,NA,NA,3.62
2014-01-02,13.3,29030.85,51069.0,3800.2,3.76
2014-01-03,13.0,28376.02,66344.3,5043.3,3.85
2014-01-06,12.4,27066.36,54343.9,4324.1,4.03
2014-01-07,13.1,28594.29,60748.0,4702.3,3.82
2014-01-08,12.7,27721.19,78439.0,6164.4,3.94
2014-01-09,12.5,27284.63,46371.9,3644.5,4.0
2014-01-10,12.6,27502.91,29985.4,2375.1,3.97
2014-01-13,12.9,28157.74,26523.3,2081.5,3.88
2014-01-14,14.4,31431.89,174939.1,12697.9,3.47
2014-01-15,14.1,30777.07,142987.8,9811.9,3.55
2014-01-16,14.9,32523.28,91909.9,6246.7,3.36
2014-01-17,14.8,32305.0,65636.9,4408.5,3.38
2014-01-20,14.7,32086.73,21297.7,1447.3,3.4
2014-01-21,14.3,31213.62,34556.2,2386.9,3.5
2014-01-22,13.7,29903.96,66215.7,4802.1,3.65
2014-01-23,14.2,30995.34,31693.5,2259.2,3.52
2014-01-24,14.0,30558.79,50226.1,3578.3,3.57
2014-01-27,13.5,29467.4,36147.6,2661.1,3.7
2014-01-28,13.5,29467.4,42917.4,3191.3,3.7
2014-01-29,13.4,29249.13,15606.9,1152.3,3.73
2014-01-30,13.5,29467.4,15077.7,1118.1,3.7
2014-01-31,14.1,30777.07,59837.9,4294.1,3.55
2014-02-03,14.2,30995.34,47086.8,3305.3,3.52
2014-02-04,13.7,29903.96,76367.7,5568.6,3.65
2014-02-05,13.8,30122.23,54723.8,3974.2,3.62
2014-02-06,13.8,30122.23,41459.2,2991.7,3.62
2014-02-07,13.6,29685.68,72529.3,5240.0,3.68
2014-02-10,13.5,29467.4,45621.7,3353.3,3.7
2014-02-11,13.6,29685.68,34724.0,2563.3,3.68
2014-02-12,14.1,30777.07,65850.1,4740.9,3.55
2014-02-13,13.8,30122.23,47406.9,3423.9,3.62
2014-02-14,13.8,30122.23,NA,NA,3.62
2014-02-17,13.8,30122.23,36697.4,2664.5,3.62
2014-02-18,13.6,29685.68,19241.5,1402.1,3.68
2014-02-19,13.4,29249.13,72362.3,5365.2,3.73
2014-02-20,13.0,28376.02,69964.9,5362.0,3.85
2014-02-21,13.1,28594.29,47209.4,3599.9,0.0
2014-02-24,13.2,28812.57,33183.6,2555.7,0.0
2014-02-25,13.0,28376.02,28529.9,2172.0,0.0
2014-02-26,13.0,28376.02,47252.8,3625.3,0.0
2014-02-27,12.9,28157.74,73230.0,5645.3,0.0
2014-02-28,13.0,28376.02,64363.5,4985.4,0.0
2014-03-03,13.2,28812.57,97555.0,7391.4,0.0
2014-03-04,13.6,29685.68,80558.6,5913.8,0.0
2014-03-05,13.4,29249.13,39026.6,2890.6,0.0
2014-03-06,13.2,28812.57,50386.8,3791.0,0.0
2014-03-07,13.4,29249.13,40602.4,3022.5,0.0
2014-03-10,13.4,29249.13,29333.0,2198.6,0.0
2014-03-11,13.5,29467.4,56887.5,4195.2,0.0
2014-03-12,13.7,29903.96,40355.2,2975.5,0.0
2014-03-13,14.4,31431.89,311343.5,21783.2,0.0
2014-03-14,14.5,31650.18,78648.9,5486.1,0.0
2014-03-17,15.1,32959.84,205070.4,13661.5,0.0
2014-03-18,14.5,31650.18,134581.2,9083.7,0.0
2014-03-19,14.1,30777.07,110231.9,7657.3,0.0
2014-03-20,14.0,30558.79,111607.0,7988.6,0.0
2014-03-21,14.2,30995.34,67750.2,4774.6,0.0
2014-03-24,14.2,30995.34,103431.1,7200.3,0.0
2014-03-25,13.8,30122.23,96540.6,6942.6,0.0
2014-03-26,14.0,30558.79,58313.8,4168.5,0.0
2014-03-27,13.5,29467.4,78625.0,5730.8,0.0
2014-03-28,13.9,30340.51,44983.0,3272.1,0.0
2014-03-31,14.0,30558.79,42478.6,3030.8,0.0
2014-04-01,14.1,30777.07,22954.7,1645.4,0.0
2014-04-02,14.3,31213.62,79101.9,5559.9,0.0
2014-04-03,13.9,30340.51,45087.7,3207.5,0.0
2014-04-04,14.0,30558.79,39145.7,2804.0,0.0
2014-04-07,14.0,30558.79,NA,NA,0.0
