Date,Price,MV,VA,VO,DY
2014-01-01,56.25,114751.4,NA,NA,5.33
2014-01-02,54.0,110161.4,209457.6,3830.2,5.56
2014-01-03,50.25,102511.3,871474.2,17211.6,5.97
2014-01-06,50.5,103021.3,342468.1,6793.4,5.94
2014-01-07,52.75,107611.4,501809.7,9673.2,5.69
2014-01-08,53.0,108121.4,431844.0,8142.4,5.66
2014-01-09,53.5,109141.4,270020.4,5066.6,5.61
2014-01-10,53.25,108631.4,169527.2,3211.3,5.63
2014-01-13,54.5,111181.4,256407.3,4780.6,5.5
2014-01-14,54.75,111691.4,232962.8,4265.7,5.48
2014-01-15,54.0,110161.4,236807.0,4348.7,5.56
2014-01-16,54.25,110671.4,390269.5,7198.1,5.53
2014-01-17,55.0,112201.4,220570.6,4033.7,5.45
2014-01-20,54.25,110671.4,86976.7,1595.6,5.53
2014-01-21,54.5,111181.4,221637.7,4026.9,5.5
2014-01-22,54.5,111181.4,252214.6,4673.2,5.5
2014-01-23,54.5,111181.4,153635.5,2826.8,5.5
2014-01-24,55.0,112201.4,153613.4,2813.4,5.45
2014-01-27,54.0,110161.4,185823.4,3455.3,5.56
2014-01-28,53.5,109141.4,133362.3,2491.9,5.61
2014-01-29,53.5,109141.4,81810.9,1531.6,5.61
2014-01-30,52.0,106081.3,98496.9,1879.1,5.77
2014-01-31,52.75,107611.4,153334.1,2932.4,5.69
2014-02-03,53.25,108631.4,72596.6,1363.3,5.63
2014-02-04,52.0,106081.3,255432.2,4910.7,5.77
2014-02-05,52.0,106081.3,99771.8,1908.1,5.77
2014-02-06,52.0,106081.3,278161.2,5359.1,5.77
2014-02-07,52.25,106591.4,520484.3,9888.4,5.74
2014-02-10,52.75,107611.4,249500.1,4713.8,5.69
2014-02-11,54.0,110161.4,459542.8,8543.1,5.56
2014-02-12,54.0,110161.4,160798.2,2976.8,5.56
2014-02-13,53.25,108631.4,225576.0,4199.6,4.32
2014-02-14,53.25,108631.4,NA,NA,4.32
2014-02-17,54.25,110671.4,371226.4,6898.8,4.24
2014-02-18,53.75,109651.4,163896.4,3052.4,4.28
2014-02-19,54.75,111691.4,532152.0,9738.5,4.2
2014-02-20,54.0,110161.4,192618.1,3558.0,4.26
2014-02-21,53.5,109141.4,181362.2,3395.2,4.3
2014-02-24,53.5,109141.4,176239.3,3302.3,4.3
2014-02-25,53.5,109141.4,415458.9,7748.7,4.3
2014-02-26,52.0,106081.3,154260.4,2972.2,4.42
2014-02-27,51.25,104551.3,289763.5,5626.4,4.49
2014-02-28,52.0,106081.3,192669.7,3712.9,4.42
2014-03-03,52.5,107101.4,257422.2,4904.3,4.38
2014-03-04,52.75,107611.4,271771.1,5149.3,4.36
2014-03-05,52.5,107101.4,204135.8,3886.1,4.38
2014-03-06,52.75,107611.4,68577.4,1304.3,4.36
2014-03-07,52.75,107611.4,141380.3,2679.3,4.36
2014-03-10,52.25,106591.4,107174.4,2045.8,4.4
2014-03-11,52.75,107611.4,130589.6,2478.7,4.36
2014-03-12,52.25,106591.4,91498.9,1745.8,4.4
2014-03-13,53.5,109141.4,218497.6,4119.1,4.3
2014-03-14,53.75,109651.4,243178.8,4553.8,4.28
2014-03-17,53.75,109651.4,132297.4,2463.7,4.28
2014-03-18,53.0,108121.4,178427.8,3348.3,4.34
2014-03-19,52.5,107101.4,171500.8,3228.2,4.38
2014-03-20,52.0,106081.3,169812.8,3257.0,4.42
2014-03-21,52.0,106081.3,233607.8,4512.4,4.42
2014-03-24,51.5,105061.4,62123.2,1203.9,4.47
2014-03-25,52.0,106081.3,168430.6,3255.8,4.42
2014-03-26,51.75,105571.3,261709.6,5054.5,4.44
2014-03-27,52.0,106081.3,127763.7,2458.4,4.42
2014-03-28,52.5,107101.4,238766.3,4535.0,4.38
2014-03-31,53.0,108121.4,163093.0,3088.4,4.34
2014-04-01,53.0,108121.4,153793.8,2912.8,4.34
2014-04-02,52.75,107611.4,260711.3,4936.3,4.36
2014-04-03,52.25,106591.4,200461.9,3821.2,4.4
2014-04-04,52.0,106081.3,261682.6,5026.3,4.42
2014-04-07,52.0,106081.3,NA,NA,4.42
2014-04-08,51.75,105571.3,156142.9,2997.6,4.44
2014-04-09,52.25,106591.4,177551.5,3385.3,4.4
2014-04-10,52.75,107611.4,211810.7,4022.9,4.36
2014-04-11,52.5,107101.4,140621.4,2687.5,4.38
2014-04-14,52.5,107101.4,NA,NA,4.38
2014-04-15,52.5,107101.4,NA,NA,4.38
2014-04-16,52.5,107101.4,213838.0,4076.0,4.38
2014-04-17,53.0,108121.4,162401.8,3076.9,4.34
2014-04-18,52.5,107101.4,123958.9,2344.6,4.38
2014-04-21,53.5,109141.4,337023.3,6306.7,4.3
2014-04-22,53.75,109651.4,303793.3,5634.9,4.28
2014-04-23,53.5,109141.4,209304.8,3907.0,4.3
2014-04-24,53.5,109141.4,235917.1,4428.3,4.3
2014-04-25,53.0,108121.4,157104.6,2955.6,4.34
2014-04-28,52.5,107101.4,162869.1,3086.8,4.38
2014-04-29,52.5,107101.4,87048.0,1658.1,4.38
2014-04-30,52.25,106591.4,163867.9,3122.7,4.4
2014-05-01,52.25,106591.4,NA,NA,4.4
2014-05-02,52.5,107101.4,163367.4,3099.9,4.38
2014-05-05,52.5,107101.4,NA,NA,4.38
2014-05-06,52.25,106591.4,135665.9,2585.1,4.4
2014-05-07,52.25,106591.4,106941.4,2047.3,4.4
2014-05-08,52.0,106081.3,122426.4,2353.6,4.42
2014-05-09,51.25,104551.3,298344.3,5823.8,4.49
2014-05-12,50.75,103531.3,97871.7,1924.1,4.53
2014-05-13,50.75,103531.3,NA,NA,4.53
2014-05-14,50.75,103531.3,235511.1,4613.9,4.53
2014-05-15,51.25,104551.3,79931.1,1557.9,4.49
2014-05-16,51.75,105571.3,229770.0,4490.5,4.44
2014-05-19,52.0,106081.3,87908.6,1698.6,4.42
2014-05-20,51.25,104551.3,172391.8,3375.8,4.49
2014-05-21,51.25,104551.3,36308.6,708.7,4.49
2014-05-22,51.5,105061.4,115218.1,2243.1,4.47
2014-05-23,51.0,104041.3,118754.8,2337.6,4.51
2014-05-26,50.75,103531.3,134288.0,2644.7,4.53
2014-05-27,49.75,101491.3,380656.1,7605.4,4.62
2014-05-28,50.0,102001.3,222325.9,4446.9,4.6
2014-05-29,50.0,102001.3,245172.3,4890.5,4.6
2014-05-30,49.75,101491.3,352070.1,7043.1,4.62
2014-06-02,50.75,103531.3,168864.4,3344.3,4.53
2014-06-03,51.25,104551.3,358595.4,6995.0,4.49
2014-06-04,50.75,103531.3,202686.8,3976.5,4.53
2014-06-05,50.0,102001.3,254378.4,5045.1,4.6
2014-06-06,50.25,102511.3,71586.3,1423.4,4.58
2014-06-09,50.0,102001.3,55712.6,1108.8,4.6
2014-06-10,50.0,102001.3,276185.6,5499.9,4.6
2014-06-11,50.5,103021.3,234565.8,4663.9,4.55
2014-06-12,50.5,103021.3,215806.3,4270.7,4.55
2014-06-13,50.75,103531.3,189184.7,3728.3,4.53
2014-06-16,51.0,104041.3,328299.3,6443.3,4.51
2014-06-17,52.5,107101.4,678322.3,12990.5,4.38
2014-06-18,52.0,106081.3,296780.0,5669.9,4.42
2014-06-19,52.0,106081.3,169058.6,3247.1,4.42
2014-06-20,52.75,107611.4,157127.1,2993.5,4.36
2014-06-23,52.75,107611.4,117136.2,2224.1,4.36
2014-06-24,51.75,105571.3,407473.3,7874.7,4.44
2014-06-25,52.25,106591.4,98635.5,1894.4,4.4
2014-06-26,52.5,107101.4,105086.7,2014.6,4.38
2014-06-27,52.5,107101.4,144105.1,2756.4,4.38
2014-06-30,52.0,106081.3,121076.6,2318.9,4.42
2014-07-01,52.0,106081.3,NA,NA,4.42
2014-07-02,52.0,106081.3,62794.5,1205.5,4.42
2014-07-03,52.0,106081.3,77671.1,1493.4,4.42
2014-07-04,52.0,106081.3,120225.6,2311.7,4.42
2014-07-07,52.0,106081.3,115687.4,2223.9,4.42
2014-07-08,51.5,105061.4,376879.4,7305.4,4.47
2014-07-09,51.75,105571.3,159276.3,3087.6,4.44
2014-07-10,51.5,105061.4,222827.2,4308.0,4.47
2014-07-11,51.5,105061.4,NA,NA,4.47
2014-07-14,53.5,109141.4,498705.9,9422.7,4.3
2014-07-15,53.5,109141.4,258602.8,4859.8,4.3
2014-07-16,52.25,106591.4,292337.1,5561.9,4.4
2014-07-17,52.75,107611.4,115386.9,2192.3,4.36
2014-07-18,52.5,107101.4,120697.5,2297.9,4.38
2014-07-21,52.5,107101.4,38221.1,728.1,4.38
2014-07-22,52.25,106591.4,123189.2,2350.8,4.4
2014-07-23,52.5,107101.4,48761.3,928.5,4.38
2014-07-24,52.75,107611.4,78665.1,1497.0,4.36
2014-07-25,52.75,107611.4,110927.4,2117.3,4.36
2014-07-28,52.5,107101.4,50028.3,953.3,4.38
2014-07-29,52.25,106591.4,76054.9,1456.0,4.4
2014-07-30,51.75,105571.3,129344.6,2495.8,4.44
2014-07-31,51.75,105571.3,189438.6,3685.4,4.44
2014-08-01,51.25,104551.3,127938.9,2507.4,4.49
2014-08-04,52.0,106081.3,76186.1,1475.2,4.42
2014-08-05,51.75,105571.3,54920.6,1063.8,4.44
2014-08-06,51.75,105571.3,316187.1,6077.7,4.44
2014-08-07,51.5,105061.4,84063.5,1636.7,4.47
2014-08-08,51.5,105061.4,139136.1,2691.9,4.47
2014-08-11,51.5,105061.4,NA,NA,4.47
2014-08-12,51.5,105061.4,NA,NA,4.47
2014-08-13,52.0,106081.3,201760.3,3865.3,4.42
2014-08-14,52.5,107101.4,135461.9,2584.9,4.38
2014-08-15,52.25,106591.4,116590.0,2229.5,4.4
2014-08-18,52.25,106591.4,48864.5,934.0,4.4
2014-08-19,52.5,107101.4,87588.3,1667.4,4.38
2014-08-20,52.25,106591.4,151654.0,2890.1,4.4
2014-08-21,52.0,106081.3,98033.6,1877.0,4.42
2014-08-22,52.25,106591.4,92786.8,1771.6,4.4
2014-08-25,52.25,106591.4,83581.6,1592.6,4.4
2014-08-26,52.25,106591.4,69156.8,1319.3,4.4
2014-08-27,52.5,107101.4,56562.8,1079.4,4.38
2014-08-28,52.25,106591.4,89207.7,1703.7,4.4
2014-08-29,51.75,105571.3,88007.6,1693.4,3.98
2014-09-01,52.0,106081.3,97931.1,1886.9,3.96
2014-09-02,52.25,106591.4,64557.8,1240.6,3.94
2014-09-03,52.0,106081.3,92556.0,1779.0,3.96
2014-09-04,52.0,106081.3,489356.6,9325.4,3.96
2014-09-05,52.75,107611.4,200900.6,3825.6,3.91
2014-09-08,53.0,108121.4,133897.3,2531.8,3.89
2014-09-09,53.0,108121.4,154927.8,2925.3,3.89
2014-09-10,52.75,107611.4,129130.6,2445.2,3.91
2014-09-11,52.0,106081.3,60145.7,1153.6,3.96
2014-09-12,52.25,106591.4,53815.3,1032.7,3.94
2014-09-15,52.5,107101.4,48129.8,920.4,3.92
2014-09-16,52.25,106591.4,82471.7,1578.0,3.94
2014-09-17,52.5,107101.4,71514.6,1366.2,3.92
2014-09-18,53.0,108121.4,73968.4,1404.9,3.89
2014-09-19,53.0,108121.4,146134.1,2772.7,3.89
2014-09-22,52.25,106591.4,70426.9,1342.6,3.94
2014-09-23,52.25,106591.4,85375.4,1635.4,3.94
2014-09-24,52.0,106081.3,117529.4,2258.4,3.96
2014-09-25,52.0,106081.3,189783.9,3649.3,3.96
2014-09-26,52.0,106081.3,100999.3,1941.8,3.96
2014-09-29,51.5,105061.4,162259.8,3145.5,4.0
2014-09-30,51.5,105061.4,100752.3,1950.7,4.0
2014-10-01,51.75,105571.3,57813.3,1114.3,3.98
2014-10-02,51.25,104551.3,60682.0,1180.3,4.02
2014-10-03,51.0,104041.3,50148.9,982.2,4.04
2014-10-06,50.25,102511.3,188723.7,3753.7,4.1
2014-10-07,49.25,100471.3,200535.4,4043.5,4.18
2014-10-08,49.0,99961.25,239695.6,4870.2,4.2
2014-10-09,48.5,98941.25,205023.6,4191.2,4.25
2014-10-10,49.0,99961.25,265976.5,5481.5,4.2
2014-10-13,48.0,97921.25,126355.8,2622.8,4.29
2014-10-14,48.25,98431.25,251300.2,5174.1,4.27
2014-10-15,47.0,95881.25,300886.4,6322.2,4.38
2014-10-16,46.0,93841.19,228723.9,4901.2,4.48
2014-10-17,44.0,89761.13,577361.5,12929.8,4.68
2014-10-20,43.75,89251.13,448874.9,10134.8,4.71
2014-10-21,42.75,87211.13,459200.8,10599.3,4.82
2014-10-22,42.5,86701.13,423251.9,9869.5,4.85
2014-10-23,42.5,86701.13,NA,NA,4.85
2014-10-24,42.75,87211.13,314042.3,7306.6,4.82
2014-10-27,43.25,88231.13,109926.2,2549.5,4.76
2014-10-28,42.5,86701.13,258615.1,6066.8,4.85
2014-10-29,43.75,89251.13,240467.1,5521.2,4.71
2014-10-30,44.75,91291.19,372037.6,8380.7,4.6
