Date,Price,MV,VA,VO,DY
2014-01-01,6.51,108976.6,NA,NA,0.0
2014-01-02,5.9,98805.38,1192466.0,194826.9,0.0
2014-01-03,5.82,97352.38,1776395.0,297427.0,0.0
2014-01-06,5.99,100258.4,1126893.0,193346.8,0.0
2014-01-07,6.17,103164.4,911782.6,149926.4,0.0
2014-01-08,5.9,98805.38,977608.0,162268.9,0.0
2014-01-09,5.95,99531.94,846175.5,140789.1,0.0
2014-01-10,5.9,98805.38,472828.1,80639.3,0.0
2014-01-13,6.21,103891.0,758666.4,125210.6,0.0
2014-01-14,6.82,114062.1,2472243.0,377048.7,0.0
2014-01-15,6.64,111156.1,1758626.0,258448.2,0.0
2014-01-16,6.99,116968.2,2038376.0,293439.5,0.0
2014-01-17,6.82,114062.1,1837308.0,268331.5,0.0
2014-01-20,6.77,113335.6,604966.1,88789.7,0.0
2014-01-21,6.86,114788.6,1343954.0,195309.0,0.0
2014-01-22,6.86,114788.6,629244.3,92573.6,0.0
2014-01-23,6.56,109703.1,2665944.0,395402.4,0.0
2014-01-24,6.56,109703.1,2593735.0,401638.0,0.0
2014-01-27,6.43,107523.6,800481.8,123977.3,0.0
2014-01-28,6.25,104617.5,1446104.0,229827.5,0.0
2014-01-29,6.17,103164.4,671697.5,108329.1,0.0
2014-01-30,6.12,102437.9,383087.6,62689.5,0.0
2014-01-31,6.25,104617.5,480216.1,77068.6,0.0
2014-02-03,6.38,106797.0,863007.7,134947.0,0.0
2014-02-04,6.25,104617.5,380203.4,60548.6,0.0
2014-02-05,6.21,103891.0,566365.4,90646.7,0.0
2014-02-06,6.38,106797.0,571558.0,90782.9,0.0
2014-02-07,6.3,105344.0,599480.8,94409.5,0.0
2014-02-10,6.21,103891.0,527606.8,83672.8,0.0
2014-02-11,6.25,104617.5,277786.1,44424.8,0.0
2014-02-12,6.43,107523.6,788112.5,123747.8,0.0
2014-02-13,6.25,104617.5,555444.3,87928.9,0.0
2014-02-14,6.25,104617.5,NA,NA,0.0
2014-02-17,6.6,110429.6,1338159.0,207158.1,0.0
2014-02-18,6.38,106797.0,1381714.0,215344.0,0.0
2014-02-19,6.38,106797.0,691046.9,107685.9,0.0
2014-02-20,6.25,104617.5,534041.2,84979.5,0.0
2014-02-21,6.3,105344.0,424950.8,67378.9,0.0
2014-02-24,6.34,106070.5,676189.4,106164.3,0.0
2014-02-25,6.3,105344.0,440869.9,69357.0,0.0
2014-02-26,6.34,106070.5,233148.2,36722.9,0.0
2014-02-27,6.34,106070.5,754218.1,118754.7,0.0
2014-02-28,6.34,106070.5,450240.9,71376.8,0.0
2014-03-03,6.3,105344.0,1742877.0,271973.8,0.0
2014-03-04,6.34,106070.5,936614.3,148096.1,0.0
2014-03-05,6.56,109703.1,1361851.0,211147.4,0.0
2014-03-06,6.34,106070.5,2285978.0,352340.7,0.0
2014-03-07,6.34,106070.5,530614.1,83387.0,0.0
2014-03-10,6.38,106797.0,722614.7,113169.4,0.0
2014-03-11,6.6,110429.6,2464050.0,375175.9,0.0
2014-03-12,6.47,108250.1,943991.6,144583.5,0.0
2014-03-13,6.64,111156.1,2275816.0,341830.1,0.0
2014-03-14,6.43,107523.6,2575599.0,394744.3,0.0
2014-03-17,6.38,106797.0,1239399.0,193986.7,0.0
2014-03-18,6.3,105344.0,1325592.0,207439.9,0.0
2014-03-19,6.21,103891.0,1217870.0,193724.8,0.0
2014-03-20,6.12,102437.9,1557651.0,254495.4,0.0
2014-03-21,5.99,100258.4,2310569.0,381091.3,0.0
2014-03-24,5.86,98078.88,930704.9,157879.2,0.0
2014-03-25,5.99,100258.4,579073.5,96910.4,0.0
2014-03-26,6.08,101711.4,671154.4,110818.4,0.0
