Date,Price,MV,VA,VO,DY,Date,Ticker,Sector,Industry,High,Low,Open,Close,Volume,Adj Close,FF-01,FF-02,FF-03,FF-04,FF-05,FF-06,FF-07,FF-08,FF-09,FF-11,FF-12
2014-01-02,3.75,9031.88,7216.3,1868.5,0.0,2014-01-02,U,Property Development,Property & Construction,4.5,3.75,4.5,3.75,1868479.0,3.75,,,,,,,,,,,
2014-01-03,4.5,10838.26,9247.6,2073.5,0.0,2014-01-03,U,Property Development,Property & Construction,4.5,3.75,4.5,4.5,2073459.0,4.5,3.75,-0.1823215567939546,,,,,,,,,
2014-01-06,3.75,9031.88,6053.1,1530.2,0.0,2014-01-06,U,Property Development,Property & Construction,4.5,3.75,3.75,3.75,1530179.0,3.75,4.5,0.1823215567939546,,,,,,,,,
2014-01-07,4.5,10838.26,4267.4,1024.1,0.0,2014-01-07,U,Property Development,Property & Construction,4.5,3.75,3.75,4.5,1024111.0,4.5,3.75,-0.1823215567939546,,,,,,,,,
2014-01-08,3.75,9031.88,6720.2,1674.1,0.0,2014-01-08,U,Property Development,Property & Construction,4.5,3.75,3.75,3.75,1674118.0,3.75,4.5,0.1823215567939546,4.05,4.05,4.05,,,,,,
2014-01-09,4.5,10838.26,6171.7,1494.3,0.0,2014-01-09,U,Property Development,Property & Construction,4.5,3.75,3.75,4.5,1494330.0,4.5,3.75,-0.1823215567939546,4.2,4.2,4.2,,,,,,
2014-01-10,3.75,9031.88,5835.3,1523.7,0.0,2014-01-10,U,Property Development,Property & Construction,4.5,3.75,3.75,3.75,1523663.0,3.75,4.5,0.1823215567939546,4.05,4.05,4.05,,,,,,
2014-01-13,3.75,9031.88,5418.7,1390.9,0.0,2014-01-13,U,Property Development,Property & Construction,4.5,3.75,3.75,3.75,1390944.0,3.75,3.75,0.0,4.05,3.95,3.9499999999999997,,,,,,
2014-01-14,4.5,10838.26,6372.9,1470.7,0.0,2014-01-14,U,Property Development,Property & Construction,4.5,3.75,4.5,4.5,878345.0,4.5,3.75,-0.1823215567939546,4.05,4.1,4.133333333333333,,,33.333333333333336,33.333333333333336,,
2014-01-15,4.5,10838.26,6021.9,1347.1,0.0,2014-01-15,U,Property Development,Property & Construction,4.5,3.75,4.5,4.5,1347114.0,4.5,4.5,0.0,4.2,4.25,4.2555555555555555,,,66.66666666666667,44.444444444444436,,
