Date,Price,MV,VA,VO,DY
2014-01-01,4.9,33633.49,NA,NA,3.02
2014-01-02,4.75,32603.9,134217.4,27837.9,3.11
2014-01-03,4.52,31059.5,70014.8,15341.6,3.26
2014-01-06,4.27,29343.51,146522.6,34483.4,3.46
2014-01-07,4.52,31059.5,121801.4,27042.3,3.26
2014-01-08,4.65,31917.5,230211.9,48530.9,3.18
2014-01-09,4.42,30373.11,220547.4,48265.9,3.34
2014-01-10,4.25,29171.91,96039.6,22416.9,3.48
2014-01-13,4.3,29515.11,164998.5,38827.3,3.44
2014-01-14,4.5,30887.91,360922.4,80926.3,3.28
2014-01-15,4.57,31402.7,394827.4,86202.1,3.23
2014-01-16,4.57,31402.7,169925.9,37253.8,3.23
2014-01-17,4.42,30373.11,202398.7,45080.0,3.34
2014-01-20,4.4,30201.5,52043.1,11717.6,3.36
2014-01-21,4.5,30887.91,113806.5,25331.0,3.28
2014-01-22,4.42,30373.11,41674.0,9397.1,3.34
2014-01-23,4.5,30887.91,202150.9,44767.0,3.28
2014-01-24,4.6,31574.3,213300.4,46489.8,3.21
2014-01-27,4.55,31231.1,176177.7,38750.9,3.25
2014-01-28,4.35,29858.31,217284.9,48706.6,3.4
2014-01-29,4.25,29171.91,90127.3,20860.5,3.48
2014-01-30,4.17,28657.11,169893.7,40450.6,3.54
2014-01-31,4.25,29171.91,107652.8,25241.2,3.48
2014-02-03,4.32,29686.71,102010.6,23635.7,3.42
2014-02-04,4.22,29000.31,96342.1,22734.8,3.5
2014-02-05,4.4,30201.5,405499.1,93342.9,3.36
2014-02-06,4.97,34148.29,1971712.0,408055.1,2.97
2014-02-07,4.7,32260.7,695857.6,144058.3,3.14
2014-02-10,4.75,32603.9,546781.7,114071.1,3.11
2014-02-11,4.72,32432.3,109624.2,23103.4,3.13
2014-02-12,4.95,33976.7,679082.2,139428.9,2.98
2014-02-13,4.88,33461.89,355497.4,72258.4,3.03
2014-02-14,4.88,33461.89,NA,NA,3.03
2014-02-17,5.1,35006.29,710522.4,138050.9,2.9
