,Symbol In SET100 Constituent,Company Name,Unnamed: 0,symbol,exchange,industry,sector,name
0,AAV,ASIA AVIATION,AAV,AAV,SET,Services,Transportation & Logistics,ASIA AVIATION PUBLIC COMPANY LIMITED
1,ADVANC,ADVANCED INFO SER.,ADVANC,ADVANC,SET,Technology,Information & Communication Technology,ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED
2,AEONTS,AE.THANA SINSAP (THAI.),AEONTS,AEONTS,SET,Financials,Finance & Securities,AEON THANA SINSAP (THAILAND) PUBLIC COMPANY LIMITED
3,AMATA,AMATA,AMATA,AMATA,SET,Property & Construction,Property Development,AMATA CORPORATION PUBLIC COMPANY LIMITED
4,ANAN,ANANDA DEVELOPMENT,ANAN,ANAN,SET,Property & Construction,Property Development,ANANDA DEVELOPMENT PUBLIC COMPANY LIMITED
5,AOT,AIRPORTS OF THAILAND,AOT,AOT,SET,Services,Transportation & Logistics,AIRPORTS OF THAILAND PUBLIC COMPANY LIMITED
6,AP,AP (THAILAND),AP,AP,SET,Property & Construction,Property Development,AP (THAILAND) PUBLIC COMPANY LIMITED
7,ASP,ASIA PLUS GROUP HDG.,ASP,ASP,SET,Financials,Finance & Securities,ASIA PLUS GROUP HOLDINGS PUBLIC COMPANY LIMITED
8,AWC,ASSET WORLD,AWC,AWC,SET,Property & Construction,Property Development,ASSET WORLD CORP PUBLIC COMPANY LIMITED
9,BA,BANGKOK AIRWAY,BA,BA,SET,Services,Transportation & Logistics,BANGKOK AIRWAYS PUBLIC COMPANY LIMITED
10,BANPU,BANPU,BANPU,BANPU,SET,Resources,Energy & Utilities,BANPU PUBLIC COMPANY LIMITED
11,BAY,BANK OF AYUDHYA,BAY,BAY,SET,Financials,Banking,BANK OF AYUDHYA PUBLIC COMPANY LIMITED
12,BBL,BANGKOK BANK,BBL,BBL,SET,Financials,Banking,BANGKOK BANK PUBLIC COMPANY LIMITED
13,BCH,BANGKOK CHAIN HOSPITAL,BCH,BCH,SET,Services,Health Care Services,BANGKOK CHAIN HOSPITAL PUBLIC COMPANY LIMITED
14,BCP,BANGCHAK CORPORATION ORS,BCP,BCP,SET,Resources,Energy & Utilities,BANGCHAK CORPORATION PUBLIC COMPANY LIMITED
15,BCPG,BCPG,BCPG,BCPG,SET,Resources,Energy & Utilities,BCPG PUBLIC COMPANY LIMITED
16,BDMS,BANGKOK DUSIT MED.SVS.,BDMS,BDMS,SET,Services,Health Care Services,BANGKOK DUSIT MEDICAL SERVICES PUBLIC COMPANY LIMITED
17,BEAUTY,BEAUTY COMMUNITY,BEAUTY,BEAUTY,SET,Services,Commerce,BEAUTY COMMUNITY PUBLIC COMPANY LIMITED
18,BEC,BEC WORLD,BEC,BEC,SET,Services,Media & Publishing,BEC WORLD PUBLIC COMPANY LIMITED
19,BECL,BANGKOK EXPRESSWAY DEAD - DELIST.31/12/15,BECL,BECL,SET,Services,Transportation & Logistics,BANGKOK EXPRESSWAY DEAD - DELIST.31/12/15 Become BEM. Merge with BMCL. BECL.BK^L15 Delisted
20,BEM,BANGKOK EXPRESSWAY AND METRO,BEM,BEM,SET,Services,Transportation & Logistics,BANGKOK EXPRESSWAY AND METRO  PUBLIC COMPANY LIMITED
21,BGRIM,B GRIMM POWER,BGRIM,BGRIM,SET,Resources,Energy & Utilities,B.GRIMM POWER PUBLIC COMPANY LIMITED
22,BH,BUMRUNGRAD HOSPITAL,BH,BH,SET,Services,Health Care Services,BUMRUNGRAD HOSPITAL PUBLIC COMPANY LIMITED
