,0
0,CPALL
1,ADVANC
2,BLAND
3,GPSC
4,TTW
5,PRM
6,CBG
7,VGI
8,SAPPE
9,TUF
10,MONO
11,MEGA
12,ORI
13,DEMCO
14,SAMART
15,LHFG
16,GLOBAL
17,MAJOR
18,KTIS
19,BGRIM
20,THAI
21,BEC
22,SF
23,TTCL
24,VIBHA
25,PSL
26,SGP
27,GOLD
28,RS
29,TPIPL
30,BH
31,MC
32,BTS
33,HEMRAJ
34,AEONTS
35,LPN
36,DTAC
37,BMCL
38,CENTEL
39,UV
40,HANA
41,BPP
42,PTL
43,BEM
44,ICHI
45,ERW
46,STEC
47,BA
48,STPI
49,BANPU
50,PS
51,JMART
52,SIRI
53,ESSO
54,EPG
55,AWC
56,THREL
57,COM7
58,EGCO
59,UNIQ
60,EARTH
61,BJCHI
62,AOT
63,THCOM
64,JWD
65,LOXLEY
66,SUPER
67,TPIPP
68,TRC
69,PTT
70,MINT
71,BCP
72,PTTGC
73,IRPC
74,ASP
75,STA
76,WORK
77,ANAN
78,AMATA
79,INTUCH
80,PTTEP
81,BIGC
82,CKP
83,SPALI
84,KBANK
85,JAS
86,HMPRO
87,KTB
88,SCB
89,BCH
90,SAWAD
91,OSP
92,KCE
93,WHAUP
94,TMB
95,TCAP
96,SPRC
97,BDMS
98,BBL
99,WHA
100,PLAT
101,SCCC
102,TU
103,BLA
104,S
105,PLANB
106,CK
107,TOP
108,MTLS
109,AP
110,ROBINS
111,SPCG
112,GL
113,EA
114,GGC
115,MBK
116,TOA
117,BJC
118,SVI
119,CHG
120,CPN
121,GFPT
122,TKN
123,BECL
124,GUNKUL
125,BEAUTY
126,RATCH
127,M
128,CPF
129,DELTA
130,KAMART
131,TVO
132,THANI
133,LH
134,TISCO
135,BAY
136,BCPG
137,SCN
138,TASCO
139,JMT
140,MALEE
141,BGH
142,TTA
143,KKP
144,GLOW
145,U
146,IFEC
147,PTG
148,TICON
149,VNG
150,KTC
151,ITD
152,IVL
153,BIG
154,TRUE
155,SCC
156,NOK
157,GULF
158,SAMTEL
159,PSH
160,QH
161,SIM
162,AAV
