,ISIN,RIC,name,symbol
0,TH0670A10Y03,TH:7UP,SEVEN UTILITIES AND POWER ORS,7UP
1,TH0770010Z08,TH:A,AREEYA PROPERTY,A
2,TH3437010004,TH:AAV,ASIA AVIATION,AAV
3,TH4745010009,TH:ABPIF,AMATA B GRIMM PWPL.IFCF.,ABPIF
4,TH0342010Y07,TH:ACC,ADVANCED CONNECTION CORPORATION,ACC
5,TH8906010005,TH:ACE,ABSOLUTE CLEAN ENERGY,ACE
6,TH9115010000,TH:ACG,AUTOCORP HOLDING,ACG
7,TH0268010Z03,TH:ADVANC,ADVANCED INFO SER.,ADVANC
8,TH0658010Z05,TH:AEC,AEC SECURITIES,AEC
9,TH0664010Z03,TH:AEONTS,AE.THANA SINSAP (THAI.),AEONTS
10,TH0011010004,TH:AFC,ASIA FIBER,AFC
11,TH0688A10Z02,TH:AH,AAPICO HITECH,AH
12,TH0281010Z06,TH:AHC,AIKCHOL HOSPITAL,AHC
13,TH0790A10Z07,TH:AI,ASIAN INSULATORS,AI
14,TH9278010003,TH:AIMCG,AIM COML.GW.FH.&. LH. REIT UNT.,AIMCG
15,TH8387010003,TH:AIMIRT,AIM INDL.GW.FH.&. LH. REIT,AIMIRT
16,TH0712010006,TH:AIT,ADVANCED INFO.TECH.,AIT
17,TH0214010Z07,TH:AJ,AJ PLAST,AJ
18,TH5178010Y00,TH:AJA,AJ ADVANCE TECHNOLOGY ORS,AJA
19,TH0914010Z02,TH:AKR,EKARAT ENGINEERING,AKR
20,TH7550010006,TH:ALLA,ALLA,ALLA
21,TH7312010005,TH:ALT,ALT TELECOM,ALT
22,TH0164010009,TH:ALUCON,ALUCON,ALUCON
23,TH0665A10Y00,TH:AMANAH,AMANAH LEASING,AMANAH
24,TH0277010Z04,TH:AMARIN,AMARIN PRINTING & PBL.,AMARIN
25,TH0617A10Z08,TH:AMATA,AMATA,AMATA
26,TH0617010R19,TH:AMATAR,AMATA NVDR,AMATAR
27,TH6896010001,TH:AMATAV,AMATA VN,AMATAV
28,TH0783010000,TH:AMC,ASIA METAL,AMC
29,TH4101010007,TH:ANAN,ANANDA DEVELOPMENT,ANAN
30,TH0765010Z08,TH:AOT,AIRPORTS OF THAILAND,AOT
31,TH0308010Y08,TH:AP,AP (THAILAND),AP
32,TH1077A10Z09,TH:APCO,ASIAN PHYTOCEUTICALS,APCO
33,TH1071010009,TH:APCS,ASIA PRECISION,APCS
34,TH0211B10Z07,TH:APEX,APEX DEVELOPMENT,APEX
35,TH0343010Z04,TH:APURE,AGRIPURE HOLDINGS,APURE
36,TH0231D10Z01,TH:AQ,AQ ESTATE,AQ
37,TH0793B10Y04,TH:AQUA,AQUA,AQUA
38,TH0963010Z09,TH:AS,ASIASOFT,AS
39,TH7851010002,TH:ASAP,SYNERGETIC AUTO PERFORMANCE,ASAP
40,TH6650010007,TH:ASEFA,ASEFA,ASEFA
41,TH0156010Z00,TH:ASIA,ASIA HOTEL,ASIA
42,TH0405010Y02,TH:ASIAN,ASIAN SEA CORPORATION,ASIAN
43,TH0544A10Z06,TH:ASIMAR,ASIAN MARINE SERVICES,ASIMAR
44,TH0816010001,TH:ASK,ASIA SERMKIJ LEASING,ASK
45,TH0137A10Y00,TH:ASP,ASIA PLUS GROUP HDG.,ASP
46,TH9436010002,TH:AWC,ASSET WORLD,AWC
47,TH0093A10Y02,TH:AYUD,ALLIANZ AYUDHYA CAPITAL,AYUD
48,TH8427010005,TH:BWORK,BUALUANG OFFE.LH. REIT.,BWORK
49,TH0709010Y07,TH:B,BEGISTICS ORS,B
50,TH0045B10Y00,TH:B52,B-52 CAPITAL,B52
51,TH4403010002,TH:BA,BANGKOK AIRWAY,BA
52,TH0669010Z02,TH:BAFS,BGK.AVIATION FUEL SVS.,BAFS
53,TH9479010000,TH:BAM,BANGKOK COMMERCIAL ASSET MANAGEMENT,BAM
54,TH0148A10Z06,TH:BANPU,BANPU,BANPU
55,TH0461010Y05,TH:BAT3K,HITACHI CHEMICALSTORAGE BATTERY,BAT3K
56,TH0023010000,TH:BAY,BANK OF AYUDHYA,BAY
57,TH0001010006,TH:BBL,BANGKOK BANK,BBL
