Date,High,Low,Open,Close,Volume,Adj Close
2014-01-02,30.25,29.75,29.75,29.75,1894300.0,24.682830810546875
2014-01-03,30.25,29.75,30.0,29.75,1533500.0,24.682830810546875
2014-01-06,30.0,29.75,30.0,30.0,1522700.0,24.89025115966797
2014-01-07,30.5,30.0,30.0,30.0,3043500.0,24.89025115966797
2014-01-08,30.25,30.0,30.0,30.0,2235900.0,24.89025115966797
2014-01-09,30.5,30.0,30.25,30.0,575700.0,24.89025115966797
2014-01-10,30.25,30.0,30.0,30.0,452100.0,24.89025115966797
2014-01-13,30.75,30.0,30.0,30.75,1267900.0,25.512508392333984
2014-01-14,31.0,30.25,30.75,31.0,825100.0,25.71992301940918
2014-01-15,33.25,31.25,31.75,32.75,2708400.0,27.171855926513672
2014-01-16,33.75,32.25,32.25,33.0,1737300.0,27.3792781829834
2014-01-17,33.0,31.5,32.75,32.25,1067600.0,26.75701904296875
2014-01-20,33.0,31.75,32.25,32.75,626200.0,27.171855926513672
2014-01-21,32.75,31.75,32.75,32.25,608700.0,26.75701904296875
2014-01-22,32.0,31.5,31.75,31.75,1413600.0,26.342182159423828
2014-01-23,32.0,31.5,31.5,31.75,1123200.0,26.342182159423828
2014-01-24,32.75,32.0,32.25,32.75,1027700.0,27.171855926513672
2014-01-27,33.0,32.25,32.75,32.5,1082700.0,26.964439392089844
2014-01-28,33.0,32.25,32.75,32.75,826400.0,27.171855926513672
2014-01-29,33.5,32.25,33.5,32.5,491500.0,26.964439392089844
2014-01-30,33.0,32.5,32.5,32.5,601700.0,26.964439392089844
2014-01-31,33.0,32.0,32.75,32.75,768600.0,27.171855926513672
2014-02-03,33.5,32.5,32.75,33.5,289300.0,27.794109344482422
2014-02-04,33.75,32.5,33.5,33.0,887100.0,27.3792781829834
2014-02-05,33.75,32.25,33.0,32.75,1647500.0,27.171855926513672
2014-02-06,33.25,32.25,33.0,33.0,1539400.0,27.3792781829834
2014-02-07,33.5,32.75,33.25,33.25,892700.0,27.58669090270996
2014-02-10,33.75,32.5,33.75,32.75,624400.0,27.171855926513672
2014-02-11,33.0,32.5,32.75,33.0,708800.0,27.3792781829834
2014-02-12,33.25,32.75,33.0,33.25,291200.0,27.58669090270996
2014-02-13,33.25,32.75,33.0,33.25,290800.0,27.58669090270996
2014-02-17,33.5,33.0,33.25,33.0,815300.0,27.3792781829834
2014-02-18,33.25,32.75,33.0,33.25,531000.0,27.58669090270996
2014-02-19,33.75,33.0,33.75,33.5,633300.0,27.794109344482422
2014-02-20,33.75,33.25,33.25,33.75,654400.0,28.00153350830078
2014-02-21,34.0,32.75,33.75,33.0,1362500.0,27.3792781829834
2014-02-24,34.0,33.0,33.5,34.0,469100.0,28.208955764770508
2014-02-25,34.0,33.5,34.0,33.5,110300.0,27.794109344482422
2014-02-26,34.0,33.5,33.75,34.0,93600.0,28.208955764770508
2014-02-27,36.25,33.5,33.5,35.25,1143800.0,29.24604606628418
2014-02-28,35.5,34.75,35.5,34.75,1086400.0,28.83121109008789
2014-03-03,35.25,34.5,34.75,35.25,350900.0,29.24604606628418
2014-03-04,35.75,34.75,34.75,35.75,315000.0,29.6608829498291
2014-03-05,36.0,35.75,35.75,35.75,352200.0,29.6608829498291
2014-03-06,36.75,35.5,35.5,36.75,487600.0,30.490556716918945
2014-03-07,36.75,36.25,36.5,36.5,337000.0,30.28313636779785
2014-03-10,36.5,35.25,36.25,36.5,419200.0,30.28313636779785
2014-03-11,36.5,35.75,36.5,35.75,281800.0,29.6608829498291
2014-03-12,36.25,35.5,36.0,35.75,149300.0,29.6608829498291
2014-03-13,36.0,35.75,35.75,35.75,235800.0,29.6608829498291
2014-03-14,36.0,35.75,36.0,36.0,299500.0,29.868301391601562
2014-03-17,36.75,35.75,36.25,36.25,279100.0,30.07571792602539
2014-03-18,36.5,35.25,36.5,35.25,778500.0,29.24604606628418
2014-03-19,35.5,35.0,35.0,35.25,318400.0,29.24604606628418
2014-03-20,35.25,35.0,35.0,35.25,185100.0,29.24604606628418
2014-03-21,35.25,34.5,35.0,34.5,3553600.0,28.623790740966797
2014-03-24,34.5,34.0,34.5,34.25,378900.0,28.416370391845703
2014-03-25,35.5,34.25,34.25,35.5,272200.0,29.453466415405273
2014-03-26,36.0,35.25,35.5,36.0,256700.0,29.868301391601562
2014-03-27,36.0,35.25,36.0,35.5,339500.0,29.453466415405273
2014-03-28,40.25,34.75,35.0,37.25,2327000.0,30.9053897857666
2014-03-31,37.5,37.0,37.5,37.5,999400.0,31.11280632019043
2014-04-01,38.0,37.0,37.75,37.5,1003100.0,31.11280632019043
2014-04-02,38.0,37.25,37.5,38.0,399600.0,31.527650833129883
2014-04-03,38.5,37.5,37.75,38.5,589600.0,31.942489624023438
2014-04-04,39.25,38.25,38.5,38.5,1378000.0,31.942489624023438
2014-04-08,39.0,38.25,38.5,38.5,440300.0,31.942489624023438
2014-04-09,39.5,38.5,38.75,38.75,1066300.0,32.149906158447266
2014-04-10,39.25,38.5,39.0,39.0,328200.0,32.35732650756836
2014-04-11,38.75,38.25,38.75,38.5,161600.0,31.942489624023438
2014-04-16,39.25,38.25,38.75,38.75,374900.0,32.149906158447266
2014-04-17,38.75,38.0,38.5,38.0,1026600.0,31.527650833129883
2014-04-18,37.75,37.5,37.75,37.75,221100.0,31.653427124023438
2014-04-21,37.75,37.0,37.5,37.5,377600.0,31.44379997253418
2014-04-22,38.0,37.5,37.5,37.5,203800.0,31.44379997253418
2014-04-23,37.75,37.5,37.5,37.5,469900.0,31.44379997253418
2014-04-24,37.75,37.25,37.5,37.25,306000.0,31.234176635742188
2014-04-25,38.0,37.25,37.25,38.0,510600.0,31.863056182861328
2014-04-28,38.75,38.0,38.5,38.75,197000.0,32.491920471191406
2014-04-29,38.5,38.0,38.5,38.0,186700.0,31.863056182861328
2014-04-30,38.25,37.75,37.75,37.75,376500.0,31.653427124023438
2014-05-02,37.75,37.25,37.75,37.25,452600.0,31.234176635742188
2014-05-06,37.75,36.25,37.25,37.5,418500.0,31.44379997253418
2014-05-07,38.0,37.25,37.25,38.0,583100.0,31.863056182861328
2014-05-08,37.75,36.75,37.75,37.5,1901200.0,31.44379997253418
2014-05-09,37.75,37.25,37.25,37.75,651100.0,31.653427124023438
2014-05-12,38.0,37.25,37.25,37.75,97600.0,31.653427124023438
2014-05-14,37.75,37.5,37.5,37.5,179300.0,31.44379997253418
2014-05-15,38.0,37.5,38.0,37.75,97300.0,31.653427124023438
2014-05-16,38.0,37.75,37.75,38.0,321100.0,31.863056182861328
2014-05-19,38.0,37.75,37.75,37.75,412800.0,31.653427124023438
2014-05-20,38.0,37.5,37.75,38.0,318000.0,31.863056182861328
2014-05-21,38.25,37.75,38.0,37.75,619700.0,31.653427124023438
2014-05-22,38.25,37.75,37.75,37.75,277500.0,31.653427124023438
2014-05-23,38.0,37.0,37.25,38.0,325000.0,31.863056182861328
2014-05-26,38.0,37.5,38.0,38.0,38800.0,31.863056182861328
2014-05-27,38.25,37.75,38.0,38.25,323500.0,32.07268524169922
2014-05-28,38.25,37.75,38.25,38.0,269500.0,31.863056182861328
2014-05-29,38.5,37.75,38.25,38.25,479400.0,32.07268524169922
2014-05-30,38.5,38.25,38.25,38.5,354700.0,32.28230285644531
2014-06-02,39.5,38.5,38.5,39.5,389500.0,33.12080001831055
2014-06-03,40.25,39.5,40.0,39.75,1065700.0,33.33042526245117
2014-06-04,40.25,39.75,39.75,39.75,329000.0,33.33042526245117
2014-06-05,44.5,40.0,40.0,42.75,1452000.0,35.845924377441406
2014-06-06,43.25,42.25,43.25,43.25,220200.0,36.26518249511719
2014-06-09,44.0,42.5,44.0,43.25,276700.0,36.26518249511719
2014-06-10,44.75,43.0,43.75,44.75,1370800.0,37.5229377746582
2014-06-11,45.0,44.25,45.0,44.75,478400.0,37.5229377746582
2014-06-12,45.25,44.0,44.75,44.0,364600.0,36.8940544128418
2014-06-13,45.25,43.5,44.0,44.0,174600.0,36.8940544128418
2014-06-16,45.0,43.75,44.0,45.0,87000.0,37.73255920410156
2014-06-17,45.25,44.0,45.25,44.0,222200.0,36.8940544128418
2014-06-18,44.75,44.0,44.0,44.25,164000.0,37.103675842285156
2014-06-19,44.5,42.5,43.75,43.5,447300.0,36.47480773925781
2014-06-20,44.0,40.5,44.0,42.0,1766200.0,35.2170524597168
2014-06-23,43.25,42.0,42.0,43.0,142900.0,36.05555725097656
2014-06-24,43.75,42.5,43.5,43.25,153100.0,36.26518249511719
2014-06-25,43.5,42.5,43.25,43.5,131000.0,36.47480773925781
2014-06-26,44.0,43.5,44.0,43.75,171100.0,36.6844367980957
2014-06-27,47.5,43.5,44.0,47.0,1103000.0,39.4095573425293
2014-06-30,48.25,46.5,47.0,46.5,783500.0,38.990318298339844
2014-07-02,46.75,44.25,46.5,45.75,735700.0,38.36143493652344
2014-07-03,46.0,45.0,45.75,45.5,607200.0,38.15180206298828
2014-07-04,46.5,45.5,45.5,46.0,376600.0,38.57106018066406
2014-07-07,46.0,45.5,45.5,46.0,247300.0,38.57106018066406
2014-07-08,47.0,45.5,45.5,47.0,281000.0,39.4095573425293
2014-07-09,47.0,46.25,47.0,46.75,858100.0,39.19994354248047
2014-07-10,47.0,46.0,46.75,46.5,188700.0,38.990318298339844
2014-07-14,47.0,46.25,46.25,47.0,189800.0,39.4095573425293
2014-07-15,47.25,46.75,47.0,47.0,445300.0,39.4095573425293
2014-07-16,47.25,46.5,46.5,47.0,249600.0,39.4095573425293
2014-07-17,47.25,46.75,46.75,47.0,234600.0,39.4095573425293
2014-07-18,47.25,46.75,46.75,47.0,153500.0,39.4095573425293
2014-07-21,47.5,47.0,47.25,47.25,348900.0,39.61918640136719
2014-07-22,47.5,46.75,46.75,47.5,441500.0,39.82880783081055
2014-07-23,49.0,47.25,47.25,49.0,622100.0,41.08656692504883
2014-07-24,49.0,48.0,49.0,48.0,76000.0,40.24806213378906
2014-07-25,48.75,47.25,47.25,48.75,213500.0,40.87693786621094
2014-07-28,49.5,48.0,48.75,49.5,462100.0,41.50581741333008
2014-07-29,50.5,49.0,49.25,50.5,470100.0,42.34431076049805
2014-07-30,52.5,50.0,50.75,52.5,873600.0,44.02132034301758
2014-07-31,53.25,51.25,53.25,51.25,632600.0,42.97319412231445
2014-08-01,52.0,50.0,50.0,51.0,969000.0,42.76356887817383
2014-08-04,51.25,50.0,50.0,50.0,858600.0,41.92506408691406
2014-08-05,50.5,48.5,50.5,48.75,1475800.0,40.87693786621094
2014-08-06,48.75,47.25,48.75,48.0,1730400.0,40.24806213378906
2014-08-07,48.75,47.5,47.5,48.75,178200.0,40.87693786621094
2014-08-08,49.0,47.75,49.0,48.0,271400.0,40.24806213378906
2014-08-13,49.5,48.0,48.5,49.5,425100.0,41.50581741333008
2014-08-14,50.0,49.0,49.5,50.0,296800.0,41.92506408691406
2014-08-15,51.0,49.5,50.5,50.25,541700.0,42.13469314575195
2014-08-18,51.0,50.25,50.25,51.0,220400.0,42.76356887817383
2014-08-19,51.75,50.75,51.25,51.75,375500.0,43.3924446105957
2014-08-20,51.5,50.5,51.5,50.5,329500.0,42.34431076049805
2014-08-21,51.0,50.5,51.0,51.0,187800.0,42.76356887817383
2014-08-22,51.5,50.25,50.25,50.5,215400.0,42.34431076049805
2014-08-25,51.0,50.5,50.5,51.0,142200.0,42.76356887817383
2014-08-26,51.0,50.75,51.0,51.0,82800.0,42.76356887817383
2014-08-27,51.25,50.5,50.75,51.25,247600.0,42.97319412231445
2014-08-28,51.5,50.5,51.5,50.5,274800.0,42.34431076049805
2014-08-29,51.0,49.75,51.0,50.25,954900.0,42.13469314575195
2014-09-01,50.25,49.0,50.0,49.75,949400.0,41.715431213378906
2014-09-02,50.0,49.0,49.25,50.0,472800.0,41.92506408691406
2014-09-03,50.25,49.25,49.25,50.25,508300.0,42.13469314575195
2014-09-04,53.0,50.0,50.25,53.0,991100.0,44.44057083129883
2014-09-05,54.25,51.75,52.25,53.5,1230300.0,44.85982131958008
2014-09-08,53.5,52.5,53.25,52.75,235800.0,44.56414031982422
2014-09-09,53.0,52.25,52.5,52.25,204500.0,44.1417236328125
2014-09-10,52.0,50.5,50.5,51.5,362400.0,43.50811004638672
2014-09-11,52.25,51.5,51.75,51.75,34800.0,43.71931076049805
2014-09-12,51.75,50.5,51.0,51.75,400900.0,43.71931076049805
2014-09-15,52.0,50.75,50.75,51.25,375100.0,43.29690933227539
2014-09-16,51.25,50.5,50.75,50.5,186800.0,42.663299560546875
2014-09-17,50.75,50.25,50.5,50.25,129900.0,42.452091217041016
2014-09-18,50.75,49.5,50.75,49.5,575100.0,41.818477630615234
2014-09-19,50.25,48.75,50.25,49.5,1898900.0,41.818477630615234
2014-09-22,49.75,49.0,49.0,49.5,213200.0,41.818477630615234
2014-09-23,49.75,49.25,49.75,49.25,252500.0,41.60727310180664
2014-09-24,49.75,49.0,49.0,49.5,383200.0,41.818477630615234
2014-09-25,50.0,49.5,49.5,49.5,383500.0,41.818477630615234
2014-09-26,50.0,49.25,49.5,50.0,264300.0,42.240882873535156
2014-09-29,49.75,49.0,49.25,49.25,545700.0,41.60727310180664
2014-09-30,49.75,48.75,49.0,48.75,202900.0,41.18486404418945
2014-10-01,49.25,48.5,48.75,48.75,118400.0,41.18486404418945
2014-10-02,49.25,48.25,48.75,49.25,149600.0,41.60727310180664
2014-10-03,49.0,48.25,48.5,49.0,188700.0,41.39606857299805
2014-10-06,50.0,48.5,49.0,50.0,541400.0,42.240882873535156
2014-10-07,50.0,47.5,50.0,48.25,445300.0,40.76245880126953
2014-10-08,48.75,47.25,48.0,48.25,546900.0,40.76245880126953
2014-10-09,49.5,47.0,48.5,47.0,1271700.0,39.7064323425293
2014-10-10,47.5,46.75,47.0,47.5,1117900.0,40.12884521484375
2014-10-13,47.75,47.0,47.0,47.5,46100.0,40.12884521484375
2014-10-14,47.75,47.0,47.25,47.0,211600.0,39.7064323425293
2014-10-15,47.5,46.75,47.0,47.0,137900.0,39.7064323425293
2014-10-16,47.0,45.5,46.5,45.5,390200.0,38.439205169677734
2014-10-17,46.0,43.0,46.0,44.75,483600.0,37.80559539794922
