Date,High,Low,Open,Close,Volume,Adj Close
2014-01-02,160.0,145.5,157.0,145.5,17348400.0,122.95448303222656
2014-01-03,152.0,146.5,146.5,151.0,14007700.0,127.60225677490234
2014-01-06,157.5,148.5,151.5,157.0,17816000.0,132.6725616455078
2014-01-07,162.0,156.0,158.0,162.0,11880600.0,136.89779663085938
2014-01-08,164.0,160.0,162.5,162.0,16142600.0,136.89779663085938
2014-01-09,163.0,160.5,162.0,161.5,7663000.0,136.4752655029297
2014-01-10,161.5,157.0,158.0,160.0,11389100.0,135.2077178955078
2014-01-13,164.0,158.0,158.5,164.0,12876000.0,138.58786010742188
2014-01-14,165.0,162.0,162.5,164.0,8240000.0,138.58786010742188
2014-01-15,164.0,160.5,163.0,160.5,6343000.0,135.6302032470703
2014-01-16,166.5,161.0,161.0,166.0,8592600.0,140.27796936035156
2014-01-17,168.0,165.0,167.0,168.0,11353500.0,141.9680633544922
2014-01-20,166.5,165.0,166.0,165.5,7905800.0,139.85545349121094
2014-01-21,170.0,166.0,167.0,169.0,9703400.0,142.81312561035156
2014-01-22,172.5,166.0,166.0,170.0,16678500.0,143.65814208984375
2014-01-23,175.5,168.5,170.5,175.0,15166700.0,147.8834228515625
2014-01-24,176.5,174.0,175.5,175.5,9651900.0,148.30592346191406
2014-01-27,172.5,170.5,171.5,171.5,10572200.0,144.9257049560547
2014-01-28,170.5,168.5,170.0,169.5,11195600.0,143.23565673828125
2014-01-29,172.0,168.5,170.0,170.0,5839800.0,143.65814208984375
2014-01-30,171.0,167.5,168.0,171.0,11221000.0,144.50318908691406
2014-01-31,170.5,169.5,170.0,170.0,6517100.0,143.65814208984375
2014-02-03,172.0,169.5,171.5,170.5,8878400.0,144.0806884765625
2014-02-04,169.0,165.0,168.5,166.0,9187700.0,140.27796936035156
2014-02-05,169.0,166.5,167.0,169.0,7509500.0,142.81312561035156
2014-02-06,169.5,167.5,169.0,168.0,8002000.0,141.9680633544922
2014-02-07,169.0,167.0,169.0,167.5,5333300.0,141.54556274414062
2014-02-10,168.5,165.5,168.0,165.5,7252400.0,139.85545349121094
2014-02-11,167.5,165.0,166.5,166.5,8444000.0,140.70053100585938
2014-02-12,171.0,166.0,167.0,170.0,9527100.0,143.65814208984375
2014-02-13,170.5,167.5,169.5,168.0,4154600.0,141.9680633544922
2014-02-17,172.0,167.0,168.0,171.0,11401700.0,144.50318908691406
2014-02-18,170.5,168.5,170.5,169.0,6677700.0,142.81312561035156
2014-02-19,170.0,168.0,169.5,168.5,5390100.0,142.3905792236328
2014-02-20,168.0,164.5,167.5,165.0,10522000.0,139.4329071044922
2014-02-21,166.5,165.0,165.5,166.0,3518800.0,140.27796936035156
2014-02-24,166.5,165.0,165.0,165.0,3753400.0,139.4329071044922
2014-02-25,166.5,165.0,165.5,166.0,3251100.0,140.27796936035156
2014-02-26,167.0,165.5,165.5,166.5,4138800.0,140.70053100585938
2014-02-27,170.5,166.5,166.5,169.5,6196300.0,143.23565673828125
2014-02-28,170.5,168.5,169.0,170.5,6103700.0,144.0806884765625
2014-03-03,174.0,170.5,171.0,172.0,9546700.0,145.3482666015625
2014-03-04,174.5,172.0,173.0,173.0,7743900.0,146.19332885742188
2014-03-05,176.0,174.0,174.5,174.5,6764700.0,147.4608917236328
2014-03-06,176.0,174.0,175.0,175.0,4291900.0,147.8834228515625
2014-03-07,175.5,174.0,175.5,175.0,3634200.0,147.8834228515625
2014-03-10,175.0,171.0,174.5,172.0,4769900.0,145.3482666015625
2014-03-11,174.5,172.0,173.0,173.0,4173200.0,146.19332885742188
2014-03-12,174.0,172.0,173.0,172.0,4325200.0,145.3482666015625
2014-03-13,173.0,171.5,172.5,172.0,6520700.0,145.3482666015625
2014-03-14,172.0,170.0,171.0,172.0,6589400.0,145.3482666015625
2014-03-17,173.5,171.0,172.5,173.5,3499600.0,146.6158447265625
2014-03-18,176.0,173.5,173.5,175.0,7067900.0,147.8834228515625
2014-03-19,178.5,175.0,175.5,175.5,10995900.0,148.30592346191406
2014-03-20,175.0,172.0,174.5,173.5,8067900.0,146.6158447265625
2014-03-21,173.5,171.0,173.0,171.5,6940300.0,144.9257049560547
2014-03-24,172.0,169.5,170.5,170.5,8305600.0,144.0806884765625
2014-03-25,172.0,169.5,170.5,171.0,5626300.0,144.50318908691406
2014-03-26,173.5,171.5,171.5,172.5,3021400.0,145.7707977294922
2014-03-27,173.0,171.0,172.5,171.0,2739300.0,144.50318908691406
2014-03-28,175.5,171.5,172.0,174.5,11703500.0,147.4608917236328
2014-03-31,178.0,175.0,175.5,178.0,7857200.0,150.4185791015625
2014-04-01,180.5,178.5,178.5,180.0,13138600.0,152.10865783691406
2014-04-02,184.0,180.0,180.0,183.5,10359200.0,155.06631469726562
2014-04-03,183.5,181.5,183.0,181.5,9590300.0,153.37619018554688
2014-04-04,185.0,181.5,182.5,184.5,7268000.0,155.91139221191406
2014-04-08,185.5,182.0,185.5,182.0,4829300.0,153.7987518310547
2014-04-09,184.5,182.0,182.5,184.5,6680600.0,155.91139221191406
2014-04-10,185.5,183.0,184.0,185.0,7793200.0,156.3338623046875
2014-04-11,182.0,180.0,182.0,181.0,5652200.0,155.47491455078125
2014-04-16,184.0,181.0,181.0,183.0,6981500.0,157.19284057617188
2014-04-17,189.0,182.5,183.0,188.0,8948700.0,161.4877471923828
2014-04-18,189.5,187.0,188.0,188.0,4566700.0,161.4877471923828
2014-04-21,192.5,188.0,189.0,190.5,6636400.0,163.6352081298828
2014-04-22,195.0,189.5,191.0,194.0,9146900.0,166.64163208007812
2014-04-23,197.0,195.0,196.5,196.5,8098700.0,168.78907775878906
2014-04-24,195.5,190.5,195.5,191.5,6386800.0,164.49417114257812
2014-04-25,191.0,186.5,190.0,186.5,5846500.0,160.1992950439453
2014-04-28,191.0,187.0,187.5,189.5,784700.0,162.77621459960938
2014-04-29,191.5,187.5,189.0,191.0,7077400.0,164.06468200683594
2014-04-30,192.5,190.0,191.5,191.5,6887900.0,164.49417114257812
2014-05-02,193.5,192.0,192.0,192.0,7394300.0,164.92367553710938
2014-05-06,194.0,192.0,193.5,192.5,3395200.0,165.35313415527344
2014-05-07,192.5,190.0,190.5,191.5,6269600.0,164.49417114257812
2014-05-08,192.0,186.5,191.5,187.5,10289300.0,161.0582733154297
2014-05-09,189.0,186.5,187.0,189.0,6158700.0,162.34671020507812
2014-05-12,189.0,187.0,188.5,188.0,5332600.0,161.4877471923828
2014-05-14,192.0,190.0,191.0,192.0,11890800.0,164.92367553710938
